epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4301,0.8168,0.8237,85.65,31.45,4.2765,0.8
20,0.4114,0.8169,0.8222,89.55,28.85,4.2589,1.5
30,0.4004,0.8165,0.8249,83.35,28.3,4.2913,2.2
40,0.3919,0.8128,0.815,92.15,29.8,4.3538,3.0
50,0.3827,0.8121,0.8188,73.6,29.0,4.431,3.8
60,0.3791,0.8137,0.8187,88.0,28.4,4.3655,4.6
70,0.3718,0.8139,0.82,78.5,29.35,4.4539,5.3
80,0.3652,0.81,0.8104,83.35,31.9,4.5731,6.1
90,0.3615,0.8129,0.817,82.8,28.9,4.4448,6.9
100,0.3596,0.8095,0.8096,101.6,30.3,4.658,7.7
