epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4285,0.8178,0.8312,70.6,29.8,4.1204,4.4
20,0.4103,0.8191,0.8263,76.55,25.9,4.0898,8.8
30,0.3971,0.8176,0.8269,76.2,28.4,4.3096,13.2
40,0.3886,0.8166,0.8233,77.5,29.45,4.186,17.6
50,0.3812,0.8141,0.8215,68.05,30.85,4.4174,22.0
60,0.3756,0.8145,0.8192,77.4,27.8,4.2723,26.4
70,0.3722,0.8131,0.818,83.65,29.25,4.1842,30.8
80,0.3656,0.8128,0.8194,87.8,27.65,4.4099,35.7
90,0.3586,0.8115,0.8152,81.45,28.6,4.2237,42.8
100,0.3575,0.8114,0.8132,83.05,29.65,4.2646,49.9
