epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4292,0.8188,0.8298,64.7,27.1,4.353,0.7
20,0.4095,0.8171,0.8233,75.45,23.4,4.3447,1.5
30,0.3967,0.8191,0.826,70.95,28.9,4.1804,2.2
40,0.3884,0.8154,0.8222,76.25,29.0,4.2052,2.9
50,0.384,0.8161,0.8231,70.6,26.8,4.3068,3.6
60,0.3739,0.8144,0.8194,82.15,26.4,4.3658,4.3
70,0.375,0.8151,0.8204,72.8,30.25,4.3856,5.0
80,0.3658,0.8122,0.8194,87.45,28.45,4.4866,5.7
90,0.3588,0.8115,0.8148,80.75,29.15,4.4567,6.4
100,0.358,0.8118,0.8156,82.55,29.5,4.4553,7.2
