epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4188,0.8145,0.8204,92.5,27.6,4.44,13.6
20,0.3867,0.8148,0.8186,89.75,27.35,4.1997,27.2
30,0.3621,0.8141,0.8191,84.25,27.9,4.3989,40.8
40,0.3412,0.8081,0.8081,85.75,29.3,4.2713,54.3
50,0.3168,0.808,0.8074,100.0,28.65,4.4198,68.0
60,0.3073,0.8039,0.802,104.2,29.3,4.5076,81.6
70,0.2945,0.8053,0.8016,109.85,29.1,4.2989,95.1
80,0.2869,0.8029,0.8008,84.7,30.05,4.6677,108.7
90,0.2747,0.8034,0.7995,102.9,30.05,4.513,122.2
100,0.27,0.803,0.7989,102.5,29.4,4.5954,135.8
