epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4183,0.8191,0.8272,70.9,28.05,3.9955,0.7
20,0.3855,0.8143,0.8169,93.15,27.5,4.1055,1.4
30,0.3634,0.8117,0.8172,100.05,25.8,4.4799,2.1
40,0.3437,0.8076,0.8064,74.85,28.45,4.6355,2.8
50,0.3171,0.8089,0.8094,89.5,27.95,4.4603,3.6
60,0.3121,0.8068,0.8029,98.8,26.4,4.5282,4.3
70,0.2945,0.8063,0.8041,104.15,25.35,4.4931,5.0
80,0.2872,0.8008,0.7965,101.25,28.15,4.6359,5.7
90,0.2777,0.8034,0.7974,104.35,28.05,4.639,6.5
100,0.2719,0.8047,0.7997,103.55,28.7,4.4734,7.2
