epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4156,0.8204,0.8304,63.15,27.45,3.9449,1.4
20,0.3838,0.817,0.8213,63.5,27.15,4.2203,2.7
30,0.3529,0.8181,0.8238,66.45,26.3,4.2193,4.1
40,0.3153,0.8078,0.8046,108.65,28.5,3.941,5.5
50,0.2775,0.8079,0.8077,110.25,28.15,3.8676,6.8
60,0.2585,0.8064,0.8046,113.4,25.65,3.8832,8.2
70,0.2289,0.8037,0.8016,136.6,27.6,4.0049,9.5
80,0.2179,0.8004,0.7949,118.8,26.9,4.2561,10.9
90,0.1986,0.804,0.8004,124.15,23.9,4.0239,12.2
100,0.1917,0.8044,0.8013,135.45,24.0,4.1228,13.6
