epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4133,0.8126,0.8187,39.5,31.35,7.5726,1.4
20,0.3813,0.8175,0.8191,64.25,28.6,4.9018,2.8
30,0.3544,0.8175,0.8184,84.2,27.7,4.0402,4.1
40,0.3204,0.8128,0.8095,111.15,29.7,4.0075,5.5
50,0.2924,0.8039,0.7973,127.85,29.25,3.9741,6.9
60,0.2624,0.8075,0.8034,117.75,25.95,4.1079,8.2
70,0.2424,0.8044,0.8032,136.75,26.75,3.9255,9.6
80,0.2261,0.8007,0.7945,179.05,24.0,4.3552,10.9
90,0.2141,0.8018,0.7949,155.4,26.2,4.0291,12.3
100,0.201,0.8022,0.7948,147.9,26.6,4.1215,13.6
