epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4187,0.8144,0.8302,63.75,27.7,4.3047,1.1
20,0.3928,0.8173,0.8281,56.9,29.15,4.2412,2.1
30,0.3809,0.8136,0.8238,58.0,29.5,4.5354,3.2
40,0.3724,0.8143,0.83,45.25,26.3,4.7567,4.3
50,0.3653,0.8131,0.8214,66.5,30.2,4.2853,5.3
60,0.3619,0.8134,0.8232,60.45,28.5,4.3059,6.3
70,0.3523,0.8139,0.8216,58.65,27.35,4.3563,7.4
80,0.3488,0.8138,0.8213,66.55,26.45,4.2803,8.4
90,0.3469,0.8094,0.8139,72.6,29.5,4.3735,9.5
100,0.3454,0.8126,0.818,64.75,26.95,4.5116,10.5
