epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4157,0.8144,0.8376,42.5,28.4,4.8361,1.2
20,0.3944,0.8154,0.8288,55.6,25.25,4.4696,2.3
30,0.3871,0.8161,0.8284,58.0,28.75,4.488,3.4
40,0.3738,0.8169,0.8293,55.15,25.55,4.2713,4.5
50,0.3644,0.8146,0.8281,60.3,25.15,4.1784,5.6
60,0.3622,0.8155,0.8256,59.95,26.0,4.428,6.8
70,0.3551,0.8142,0.8222,64.95,26.95,4.2982,7.9
80,0.3531,0.8115,0.819,71.45,26.15,4.5124,9.0
90,0.3481,0.8133,0.8183,71.1,26.35,4.3427,10.1
100,0.3429,0.8109,0.8181,66.8,27.3,4.4156,11.2
