epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4017,0.8169,0.8276,58.85,29.85,4.3443,15.6
20,0.3698,0.8169,0.8223,61.65,26.35,4.5432,31.1
30,0.3483,0.815,0.8255,66.2,29.2,4.1619,46.7
40,0.3275,0.8089,0.8074,74.0,30.95,4.4891,62.2
50,0.3049,0.8078,0.8044,80.95,29.9,4.5811,77.7
60,0.2976,0.8091,0.8102,73.3,27.7,4.6131,93.2
70,0.2805,0.8082,0.8052,83.1,27.95,4.5014,108.7
80,0.2741,0.8071,0.802,77.85,28.45,4.4852,124.2
90,0.2631,0.8048,0.8007,92.65,27.75,4.4394,205.9
100,0.2619,0.8043,0.7989,86.15,27.9,4.604,234.7
