epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.3985,0.8152,0.8271,62.7,30.7,4.2181,1.1
20,0.3738,0.8152,0.825,66.35,26.5,4.0919,2.1
30,0.3476,0.8133,0.8197,68.5,24.3,4.4001,3.2
40,0.325,0.8098,0.8119,75.95,26.2,4.3925,4.2
50,0.3092,0.8094,0.8114,70.45,28.65,4.7151,5.3
60,0.2988,0.8048,0.8015,76.9,29.45,4.5512,6.4
70,0.2845,0.8053,0.8009,81.35,27.15,4.3761,7.4
80,0.2739,0.8053,0.8046,76.5,28.25,4.3702,8.5
90,0.2689,0.7994,0.7958,87.45,28.7,4.5163,9.6
100,0.2626,0.8003,0.7953,97.3,29.95,4.5974,10.6
