epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.3998,0.815,0.8299,47.6,27.1,5.1052,1.7
20,0.3657,0.8163,0.8285,45.7,23.55,4.6599,3.4
30,0.3441,0.8194,0.8254,54.5,27.4,3.9899,5.1
40,0.315,0.8127,0.8081,85.25,26.7,4.0056,6.7
50,0.2773,0.8129,0.81,90.9,25.85,4.094,8.4
60,0.2519,0.8059,0.8016,119.15,24.95,4.4664,10.0
70,0.2298,0.8068,0.8015,108.8,25.7,3.9617,11.7
80,0.2098,0.8056,0.7999,94.6,25.05,4.1513,13.3
90,0.1928,0.8059,0.8016,97.35,25.55,4.1701,15.0
100,0.1846,0.7953,0.7867,142.55,25.45,4.1392,16.6
