epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.3918,0.8186,0.8329,47.7,26.0,4.322,1.7
20,0.3664,0.8187,0.828,54.4,22.1,3.8036,3.3
30,0.3381,0.8195,0.8248,56.5,24.55,4.0703,5.0
40,0.3014,0.815,0.8163,68.2,23.4,4.2171,6.6
50,0.2665,0.8075,0.8014,106.55,26.3,4.195,8.3
60,0.249,0.8029,0.7949,105.95,27.85,4.3585,9.9
70,0.2179,0.8028,0.7934,111.45,24.45,4.1839,11.6
80,0.2019,0.8049,0.8047,89.65,26.3,4.3213,13.2
90,0.1881,0.8042,0.7975,109.5,25.05,4.307,14.9
100,0.1742,0.8031,0.798,103.5,24.4,4.4424,16.5
