epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4291,0.8161,0.8238,92.6,29.25,4.2183,7.2
20,0.4097,0.817,0.8238,88.35,28.25,4.1788,14.4
30,0.4002,0.8182,0.8262,70.9,27.35,4.0187,22.0
40,0.3928,0.8171,0.8214,74.85,28.1,4.0685,29.4
50,0.3823,0.813,0.8203,74.8,30.7,4.2715,37.1
60,0.3782,0.8112,0.8168,88.2,29.45,4.2526,44.6
70,0.3711,0.8143,0.8183,87.85,27.95,4.2154,52.1
80,0.3673,0.8132,0.8179,74.8,30.05,4.4756,59.4
90,0.3621,0.813,0.8178,77.7,29.6,4.2873,66.8
100,0.3577,0.8137,0.8168,80.25,29.7,4.4737,74.2
