epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4273,0.8153,0.8246,83.0,28.65,4.2086,0.7
20,0.4113,0.8158,0.8228,84.55,29.05,4.0137,1.3
30,0.398,0.817,0.8245,75.35,27.6,4.1442,2.0
40,0.3873,0.8169,0.8223,78.0,29.1,4.1783,2.6
50,0.3774,0.8156,0.8223,78.65,28.55,4.1227,3.3
60,0.3834,0.8137,0.8153,76.45,30.3,4.3872,3.9
70,0.3696,0.8143,0.8196,79.3,28.95,4.2833,4.5
80,0.3635,0.8133,0.8161,79.75,29.25,4.3321,5.2
90,0.3616,0.8121,0.8145,85.0,30.45,4.3475,5.9
100,0.3585,0.8088,0.8119,90.85,29.25,4.412,6.6
