epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4363,0.813,0.8212,90.75,27.3,4.4657,5.7
20,0.4081,0.8176,0.8267,72.0,27.0,4.1452,11.4
30,0.3914,0.8128,0.8203,75.6,29.4,4.5354,17.2
40,0.3747,0.8126,0.8186,85.7,28.05,4.7868,22.9
50,0.3717,0.8123,0.8166,84.5,29.0,4.5695,28.6
60,0.3654,0.8087,0.8094,106.35,29.1,4.8426,34.3
70,0.354,0.8063,0.8049,99.65,28.6,4.9396,40.0
80,0.3486,0.8067,0.8101,85.6,27.2,4.7984,45.7
90,0.3437,0.8079,0.8106,83.95,30.25,4.5984,51.4
100,0.3444,0.8077,0.8079,75.85,28.65,4.9433,57.2
