epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4269,0.8149,0.824,79.8,29.4,4.2808,0.7
20,0.405,0.8086,0.815,90.05,31.85,4.4543,1.4
30,0.3915,0.8128,0.8205,97.95,27.55,4.6023,2.1
40,0.3782,0.8103,0.8116,104.5,28.55,4.7915,2.7
50,0.3656,0.8105,0.8144,93.2,29.75,4.7377,3.4
60,0.3616,0.8105,0.8112,79.7,29.5,4.6282,4.0
70,0.3547,0.81,0.8127,87.85,27.75,4.5486,4.7
80,0.3495,0.8091,0.8098,69.6,29.35,4.9362,5.3
90,0.3446,0.808,0.8062,96.3,27.5,4.64,6.0
100,0.3404,0.8066,0.808,94.25,30.4,4.562,6.7
