epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4309,0.8133,0.8253,66.95,34.45,4.5355,1.2
20,0.4078,0.8141,0.8304,63.65,27.25,4.3181,2.4
30,0.3957,0.8131,0.8338,59.55,28.1,4.0499,3.5
40,0.3872,0.8154,0.8273,54.35,26.95,4.3813,4.7
50,0.3764,0.814,0.8263,58.15,29.9,4.3502,5.9
60,0.3743,0.8116,0.8264,57.15,27.3,4.545,7.1
70,0.3668,0.8138,0.8243,60.6,26.15,4.2592,8.2
80,0.3609,0.8134,0.8212,58.35,29.9,4.5691,9.4
90,0.3567,0.8128,0.8212,61.0,29.9,4.3801,10.6
100,0.3561,0.8119,0.8197,73.35,29.15,4.4118,11.7
