epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4334,0.8101,0.8256,75.15,29.35,4.739,7.7
20,0.4088,0.8153,0.8308,59.55,24.15,4.375,15.4
30,0.3965,0.8117,0.8263,65.7,26.55,4.5749,23.2
40,0.3814,0.8127,0.8267,78.25,25.6,4.2524,30.9
50,0.3787,0.8127,0.8229,68.5,24.95,4.2185,38.6
60,0.375,0.8113,0.8258,67.85,24.0,4.4911,46.3
70,0.3665,0.8129,0.8165,75.3,26.2,4.4714,54.0
80,0.3623,0.8131,0.8243,52.5,25.35,4.6512,61.7
90,0.3569,0.8119,0.8208,63.0,26.85,4.3376,69.4
100,0.3583,0.8121,0.8199,66.5,26.15,4.3434,77.1
