epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4263,0.8096,0.8306,57.8,34.4,4.9186,10.3
20,0.4059,0.8056,0.8351,63.25,25.2,4.6166,20.3
30,0.3938,0.8027,0.8434,49.75,24.05,4.2903,28.4
40,0.386,0.8085,0.8372,51.2,26.2,4.3505,34.4
50,0.3754,0.8009,0.8346,62.6,29.05,4.5265,40.5
60,0.375,0.7984,0.8335,62.2,26.65,4.6602,46.6
70,0.3663,0.7999,0.8348,60.15,25.75,4.5106,52.7
80,0.3652,0.8065,0.8328,51.6,27.55,4.504,58.8
90,0.3598,0.8058,0.8319,56.2,27.05,4.5574,65.0
100,0.3564,0.8055,0.8283,62.05,27.4,4.4635,71.1
