epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.425,0.8109,0.8295,60.95,33.05,4.7894,1.2
20,0.4053,0.8079,0.8356,64.25,25.05,4.358,2.3
30,0.3935,0.8042,0.8376,55.95,25.25,4.3816,3.4
40,0.3849,0.807,0.8346,57.35,24.2,4.2131,4.5
50,0.3731,0.8034,0.833,57.4,28.3,4.5021,5.7
60,0.3727,0.802,0.8356,55.6,25.8,4.4606,6.7
70,0.3653,0.805,0.832,56.05,25.1,4.4529,7.7
80,0.3617,0.8076,0.8314,54.35,25.4,4.5899,8.8
90,0.3554,0.807,0.8305,52.6,24.8,4.4971,9.8
100,0.3546,0.8088,0.8253,65.75,26.85,4.4969,10.9
