epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4641,0.8188,0.8297,91.85,28.75,3.994,0.9
20,0.4559,0.819,0.8302,70.35,29.6,3.9582,1.7
30,0.4477,0.8217,0.8319,66.9,27.05,3.8843,2.5
40,0.4478,0.8223,0.831,68.15,27.65,3.7898,3.3
50,0.4391,0.8232,0.8337,74.55,26.25,3.6342,4.2
60,0.4379,0.8239,0.8322,69.05,28.6,3.7463,5.0
70,0.4377,0.822,0.8311,67.55,28.1,3.727,5.8
80,0.4336,0.8224,0.8331,75.6,27.85,3.5173,6.7
90,0.437,0.8214,0.8308,67.5,29.55,3.5064,7.5
100,0.4332,0.8231,0.8349,63.05,27.15,3.8822,8.4
