epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4656,0.8191,0.8316,69.35,27.15,4.0716,0.8
20,0.4528,0.8156,0.8267,75.85,27.35,4.0711,1.7
30,0.4445,0.8207,0.8292,73.05,28.3,3.6566,2.5
40,0.4397,0.8215,0.8302,67.65,28.75,3.7842,3.3
50,0.4456,0.8219,0.8309,67.4,26.55,3.692,4.1
60,0.4345,0.8235,0.8335,57.0,28.05,3.7409,4.9
70,0.4334,0.824,0.8344,57.75,27.15,3.7647,5.8
80,0.4288,0.8208,0.83,64.0,28.45,3.5982,6.6
90,0.4308,0.8219,0.8339,59.85,27.65,3.59,7.4
100,0.4269,0.8228,0.835,59.0,26.25,3.6235,8.2
