epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4553,0.8204,0.8335,53.95,26.25,3.9826,21.9
20,0.4404,0.822,0.8313,64.8,28.05,3.6889,44.2
30,0.4365,0.8225,0.8351,59.2,26.95,3.8426,65.9
40,0.4286,0.8244,0.8328,53.6,26.25,3.7252,87.5
50,0.4308,0.8245,0.8366,58.2,25.9,3.6298,109.3
60,0.4271,0.8254,0.8355,54.9,25.4,3.7606,132.4
70,0.4284,0.8245,0.8303,52.25,27.35,3.7464,155.0
80,0.4178,0.8258,0.8362,59.25,25.95,3.3735,169.8
90,0.4202,0.8232,0.8318,60.75,27.3,3.6798,187.1
100,0.4181,0.8242,0.8338,51.35,28.05,3.6606,209.0
