epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4563,0.8225,0.8334,58.8,26.85,4.1154,0.9
20,0.4407,0.8204,0.8298,62.1,29.15,4.0175,1.7
30,0.4336,0.8234,0.8315,68.2,29.0,3.5385,2.6
40,0.4282,0.8224,0.8325,62.95,26.3,3.7087,3.4
50,0.432,0.8235,0.8315,66.45,28.0,3.5828,4.2
60,0.4219,0.8262,0.8356,54.85,26.35,3.6273,5.1
70,0.42,0.8254,0.8342,61.5,27.85,3.6266,5.9
80,0.4156,0.8223,0.8312,64.05,29.05,3.4057,6.8
90,0.4159,0.8237,0.8343,59.3,27.65,3.5629,7.6
100,0.4135,0.8249,0.8365,57.0,27.4,3.623,8.5
