epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4521,0.808,0.8143,56.0,35.75,5.8238,1.5
20,0.4371,0.815,0.8187,46.65,33.45,6.1147,3.0
30,0.4295,0.818,0.8206,47.95,31.65,5.8547,4.4
40,0.4212,0.8241,0.8237,48.75,29.3,5.0124,5.8
50,0.4205,0.8282,0.8379,46.7,25.35,3.8781,7.3
60,0.4176,0.8274,0.833,53.6,24.5,3.7407,8.7
70,0.4199,0.8269,0.8285,52.2,25.45,3.8921,10.1
80,0.4127,0.8271,0.8327,59.85,24.75,3.5805,11.6
90,0.4093,0.828,0.833,56.05,24.05,3.5503,13.0
100,0.4066,0.8276,0.8353,54.1,24.85,3.3811,14.4
