epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.453,0.8172,0.8266,57.8,31.55,4.4056,1.5
20,0.4337,0.8089,0.8168,59.95,35.5,5.3522,3.0
30,0.4292,0.8191,0.8225,54.6,32.25,5.212,4.4
40,0.4207,0.8233,0.8284,48.25,29.15,4.504,5.9
50,0.4224,0.823,0.8285,46.2,29.55,4.7179,7.3
60,0.4187,0.8232,0.8234,53.4,27.35,4.9433,8.8
70,0.4203,0.8253,0.8269,49.5,26.15,4.5278,10.3
80,0.4068,0.828,0.8352,58.9,24.75,3.5611,11.7
90,0.4108,0.8275,0.8308,55.75,26.1,4.0524,13.2
100,0.4052,0.8272,0.8286,60.75,25.65,3.7888,14.7
