epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.47,0.8123,0.8144,57.55,31.5,6.4342,8.0
20,0.4534,0.8177,0.8274,68.55,29.4,4.309,16.0
30,0.4479,0.818,0.8261,64.4,28.7,4.4327,24.0
40,0.4426,0.8196,0.823,47.0,27.85,5.6233,32.0
50,0.4365,0.8229,0.8316,51.9,25.6,4.5709,39.9
60,0.4327,0.8188,0.8249,55.15,30.7,4.9448,47.9
70,0.433,0.8223,0.8286,58.1,25.35,4.5112,55.9
80,0.4321,0.8228,0.829,57.2,28.75,4.5608,64.3
90,0.4312,0.8219,0.8295,51.3,29.1,4.6234,72.8
100,0.429,0.8245,0.8312,53.6,25.4,4.5995,81.3
