epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4698,0.818,0.8243,63.4,29.55,5.0198,1.0
20,0.4538,0.8172,0.8258,67.15,29.6,4.4751,1.9
30,0.4476,0.8186,0.8272,61.45,27.35,4.3193,2.8
40,0.4418,0.8195,0.8231,50.25,26.15,5.5173,3.8
50,0.4366,0.8231,0.8287,55.25,25.55,4.7849,4.7
60,0.4338,0.8182,0.8226,54.4,30.05,5.2004,5.6
70,0.4323,0.8236,0.8311,52.5,25.15,4.5642,6.5
80,0.4313,0.8225,0.8291,61.65,28.55,4.3501,7.5
90,0.4306,0.8229,0.8293,55.25,28.8,4.5552,8.4
100,0.4292,0.8241,0.8306,56.9,26.55,4.461,9.3
