epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5036,0.8019,0.8126,79.85,33.65,5.8935,8.9
20,0.487,0.803,0.817,66.65,36.0,5.3847,16.8
30,0.4773,0.8062,0.8164,63.3,33.3,5.3373,24.7
40,0.4736,0.8085,0.8174,65.7,35.2,5.1069,32.7
50,0.4735,0.8055,0.8111,68.15,35.7,5.1055,40.6
60,0.4643,0.8111,0.8215,56.25,32.45,4.9912,48.5
70,0.4605,0.8102,0.8189,66.85,32.95,4.632,56.5
80,0.4581,0.808,0.8225,62.6,30.45,4.5743,64.4
90,0.4563,0.8105,0.8196,57.1,32.7,5.1129,72.3
100,0.4526,0.8092,0.8216,63.35,32.05,4.453,80.2
