epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5068,0.8,0.8149,103.95,34.2,4.9205,3.1
20,0.487,0.805,0.817,79.0,32.05,5.0335,6.2
30,0.4825,0.807,0.8179,68.5,35.6,4.9416,9.3
40,0.4746,0.8044,0.8178,77.35,31.95,4.8236,12.4
50,0.4715,0.8049,0.8199,64.6,35.3,4.5635,15.4
60,0.4638,0.8111,0.8206,61.7,34.05,5.0346,18.5
70,0.4638,0.8122,0.8272,59.65,32.3,4.4569,21.6
80,0.4592,0.8071,0.8176,70.65,34.35,4.6635,24.6
90,0.4585,0.8108,0.8202,62.45,34.3,4.7496,27.7
100,0.4547,0.8121,0.8258,58.25,32.9,4.3369,30.8
