epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4582,0.8083,0.8433,46.0,26.8,4.4441,1.1
20,0.4388,0.7989,0.8464,45.7,28.45,4.1761,2.2
30,0.4325,0.8038,0.8462,49.4,27.6,4.0478,3.2
40,0.4263,0.8005,0.8512,39.7,26.35,4.1197,4.3
50,0.4305,0.7978,0.8524,42.1,25.65,4.041,5.3
60,0.4211,0.8015,0.8528,37.6,26.1,4.0867,6.4
70,0.4208,0.7999,0.8536,38.5,23.95,3.9482,7.4
80,0.4153,0.8015,0.8524,43.4,25.95,3.8187,8.6
90,0.4175,0.7995,0.852,41.15,25.75,3.9652,9.6
100,0.4134,0.7966,0.8542,38.65,23.5,3.9862,10.7
