epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4559,0.806,0.8426,48.35,25.65,4.5113,1.0
20,0.444,0.8029,0.8412,49.2,28.6,4.5123,2.0
30,0.4363,0.8024,0.8485,46.65,26.7,3.9958,2.9
40,0.4312,0.8035,0.8493,39.4,27.8,4.399,3.9
50,0.4253,0.8,0.8542,38.6,25.6,3.9658,4.9
60,0.4289,0.7987,0.8516,40.35,27.4,4.1771,5.9
70,0.4257,0.8,0.8547,37.15,25.05,3.9305,6.8
80,0.4173,0.7976,0.8554,43.25,26.3,3.7832,7.8
90,0.4191,0.7974,0.8543,45.35,26.0,3.8529,8.8
100,0.4156,0.8009,0.855,37.15,25.7,4.0678,9.8
