run,config,image,length,depth,kind,band
A_dice_s0,A_dice,01,3,1.414,intact,Q1_dimmest
A_dice_s0,A_dice,01,3,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,1,1.0,intact,Q2
A_dice_s0,A_dice,01,3,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,6,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,2,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,7,7.28,intact,Q1_dimmest
A_dice_s0,A_dice,01,3,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,2,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,3,1.0,intact,Q2
A_dice_s0,A_dice,01,6,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,2,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,1,1.0,severs,Q1_dimmest
A_dice_s0,A_dice,01,10,5.0,severs,Q1_dimmest
A_dice_s0,A_dice,01,1,1.0,intact,Q2
A_dice_s0,A_dice,01,2,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,3,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,55,25.06,intact,Q1_dimmest
A_dice_s0,A_dice,01,13,8.944,intact,Q1_dimmest
A_dice_s0,A_dice,01,11,6.708,intact,Q3
A_dice_s0,A_dice,01,9,8.944,intact,Q1_dimmest
A_dice_s0,A_dice,01,1,1.0,intact,Q3
A_dice_s0,A_dice,01,8,2.828,intact,Q1_dimmest
A_dice_s0,A_dice,01,1,2.0,absent,Q1_dimmest
A_dice_s0,A_dice,01,7,6.083,intact,Q2
A_dice_s0,A_dice,01,1,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,1,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,6,3.606,intact,Q1_dimmest
A_dice_s0,A_dice,01,2,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,1,1.0,intact,Q2
A_dice_s0,A_dice,01,1,1.0,intact,Q2
A_dice_s0,A_dice,01,2,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,15,7.071,intact,Q2
A_dice_s0,A_dice,01,1,1.0,intact,Q2
A_dice_s0,A_dice,01,3,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,1,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,4,4.243,intact,Q1_dimmest
A_dice_s0,A_dice,01,1,1.0,intact,Q2
A_dice_s0,A_dice,01,2,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,3,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,2,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,1,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,1,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,1,1.0,intact,Q2
A_dice_s0,A_dice,01,9,5.657,severs,Q1_dimmest
A_dice_s0,A_dice,01,1,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,1,1.0,intact,Q1_dimmest
A_dice_s0,A_dice,01,1,1.0,intact,Q1_dimmest
