config,radius_bin,contrast_bin,detection_rate,n_points
A_dice,<=1.5,Q1 程穞睭,0.34547,119016
A_dice,<=1.5,Q2,0.74295,103224
A_dice,<=1.5,Q3,0.94757,56211
A_dice,<=1.5,Q4 程睲贰,0.98953,16047
A_dice,1.5-2.5,Q1 程穞睭,0.76132,8082
A_dice,1.5-2.5,Q2,0.95192,23232
A_dice,1.5-2.5,Q3,0.99046,51261
A_dice,1.5-2.5,Q4 程睲贰,0.99849,52272
A_dice,2.5-3.5,Q1 程穞睭,0.82672,2193
A_dice,2.5-3.5,Q2,0.94712,6657
A_dice,2.5-3.5,Q3,0.98903,21339
A_dice,2.5-3.5,Q4 程睲贰,0.99826,44133
A_dice,>3.5,Q1 程穞睭,0.56061,594
A_dice,>3.5,Q2,0.83544,1422
A_dice,>3.5,Q3,0.96879,4806
A_dice,>3.5,Q4 程睲贰,0.99678,21729
B_cldice,<=1.5,Q1 程穞睭,0.36292,119016
B_cldice,<=1.5,Q2,0.76068,103224
B_cldice,<=1.5,Q3,0.95328,56211
B_cldice,<=1.5,Q4 程睲贰,0.99209,16047
B_cldice,1.5-2.5,Q1 程穞睭,0.77976,8082
B_cldice,1.5-2.5,Q2,0.96191,23232
B_cldice,1.5-2.5,Q3,0.99329,51261
B_cldice,1.5-2.5,Q4 程睲贰,0.99816,52272
B_cldice,2.5-3.5,Q1 程穞睭,0.85408,2193
B_cldice,2.5-3.5,Q2,0.9629,6657
B_cldice,2.5-3.5,Q3,0.98988,21339
B_cldice,2.5-3.5,Q4 程睲贰,0.99748,44133
B_cldice,>3.5,Q1 程穞睭,0.56061,594
B_cldice,>3.5,Q2,0.84669,1422
B_cldice,>3.5,Q3,0.96442,4806
B_cldice,>3.5,Q4 程睲贰,0.9954,21729
C_boundary,<=1.5,Q1 程穞睭,0.34671,119016
C_boundary,<=1.5,Q2,0.74205,103224
C_boundary,<=1.5,Q3,0.94761,56211
C_boundary,<=1.5,Q4 程睲贰,0.98816,16047
C_boundary,1.5-2.5,Q1 程穞睭,0.76281,8082
C_boundary,1.5-2.5,Q2,0.95356,23232
C_boundary,1.5-2.5,Q3,0.99034,51261
C_boundary,1.5-2.5,Q4 程睲贰,0.99782,52272
C_boundary,2.5-3.5,Q1 程穞睭,0.82307,2193
C_boundary,2.5-3.5,Q2,0.94908,6657
C_boundary,2.5-3.5,Q3,0.98894,21339
C_boundary,2.5-3.5,Q4 程睲贰,0.99744,44133
C_boundary,>3.5,Q1 程穞睭,0.59428,594
C_boundary,>3.5,Q2,0.8474,1422
C_boundary,>3.5,Q3,0.97212,4806
C_boundary,>3.5,Q4 程睲贰,0.99595,21729
D_blurpool,<=1.5,Q1 程穞睭,0.31218,119016
D_blurpool,<=1.5,Q2,0.70781,103224
D_blurpool,<=1.5,Q3,0.93857,56211
D_blurpool,<=1.5,Q4 程睲贰,0.98835,16047
D_blurpool,1.5-2.5,Q1 程穞睭,0.73744,8082
D_blurpool,1.5-2.5,Q2,0.93987,23232
D_blurpool,1.5-2.5,Q3,0.98911,51261
D_blurpool,1.5-2.5,Q4 程睲贰,0.99774,52272
D_blurpool,2.5-3.5,Q1 程穞睭,0.79708,2193
D_blurpool,2.5-3.5,Q2,0.93435,6657
D_blurpool,2.5-3.5,Q3,0.98571,21339
D_blurpool,2.5-3.5,Q4 程睲贰,0.99712,44133
D_blurpool,>3.5,Q1 程穞睭,0.54209,594
D_blurpool,>3.5,Q2,0.83896,1422
D_blurpool,>3.5,Q3,0.96733,4806
D_blurpool,>3.5,Q4 程睲贰,0.99379,21729
