run,config,image,radius,kind_before,bucket,thickness,kind_after,covered,n,betti0_err_raw,betti0_err_bridged,betti1_err_raw,betti1_err_bridged
A_dice_s0,A_dice,01,1,intact,3-6,3,intact,0,7,16,12,20,20
A_dice_s0,A_dice,01,1,intact,1-1,3,intact,0,8,16,12,20,20
A_dice_s0,A_dice,01,1,intact,3-6,<=2,intact,0,39,16,12,20,20
A_dice_s0,A_dice,01,1,intact,2-2,<=2,intact,0,32,16,12,20,20
A_dice_s0,A_dice,01,1,intact,7-12,<=2,intact,0,16,16,12,20,20
A_dice_s0,A_dice,01,1,intact,2-2,3,intact,0,3,16,12,20,20
A_dice_s0,A_dice,01,1,severs,1-1,4-5,intact,0,1,16,12,20,20
A_dice_s0,A_dice,01,1,severs,7-12,4-5,severs,0,3,16,12,20,20
A_dice_s0,A_dice,01,1,intact,1-1,6+,intact,0,4,16,12,20,20
A_dice_s0,A_dice,01,1,intact,2-2,6+,intact,0,3,16,12,20,20
A_dice_s0,A_dice,01,1,intact,3-6,6+,intact,0,4,16,12,20,20
A_dice_s0,A_dice,01,1,intact,13+,4-5,intact,0,6,16,12,20,20
A_dice_s0,A_dice,01,1,intact,7-12,6+,intact,0,2,16,12,20,20
A_dice_s0,A_dice,01,1,intact,7-12,4-5,intact,0,4,16,12,20,20
A_dice_s0,A_dice,01,1,absent,1-1,<=2,absent,0,1,16,12,20,20
A_dice_s0,A_dice,01,1,intact,1-1,<=2,intact,0,102,16,12,20,20
A_dice_s0,A_dice,01,1,intact,1-1,4-5,intact,0,11,16,12,20,20
A_dice_s0,A_dice,01,1,intact,13+,6+,intact,0,2,16,12,20,20
A_dice_s0,A_dice,01,1,intact,1-1,4-5,intact,1,2,16,12,20,20
A_dice_s0,A_dice,01,1,intact,13+,<=2,intact,0,10,16,12,20,20
A_dice_s0,A_dice,01,1,severs,13+,<=2,severs,0,2,16,12,20,20
A_dice_s0,A_dice,01,1,intact,13+,3,intact,0,3,16,12,20,20
A_dice_s0,A_dice,01,1,severs,1-1,<=2,intact,0,1,16,12,20,20
A_dice_s0,A_dice,01,1,severs,2-2,<=2,severs,0,2,16,12,20,20
A_dice_s0,A_dice,01,1,intact,7-12,3,intact,0,5,16,12,20,20
A_dice_s0,A_dice,01,1,severs,7-12,<=2,severs,0,5,16,12,20,20
A_dice_s0,A_dice,01,1,severs,13+,6+,severs,0,3,16,12,20,20
A_dice_s0,A_dice,01,1,intact,2-2,4-5,intact,0,4,16,12,20,20
A_dice_s0,A_dice,01,1,intact,1-1,3,intact,1,1,16,12,20,20
A_dice_s0,A_dice,01,1,intact,3-6,4-5,intact,0,1,16,12,20,20
A_dice_s0,A_dice,01,1,severs,7-12,3,severs,0,1,16,12,20,20
A_dice_s0,A_dice,01,1,intact,1-1,<=2,intact,1,1,16,12,20,20
A_dice_s0,A_dice,01,1,severs,3-6,3,severs,0,1,16,12,20,20
A_dice_s0,A_dice,01,1,severs,3-6,<=2,intact,0,1,16,12,20,20
A_dice_s0,A_dice,01,2,intact,3-6,3,intact,0,7,16,9,20,17
A_dice_s0,A_dice,01,2,intact,1-1,3,intact,0,6,16,9,20,17
A_dice_s0,A_dice,01,2,intact,3-6,<=2,intact,0,39,16,9,20,17
A_dice_s0,A_dice,01,2,intact,2-2,<=2,intact,0,32,16,9,20,17
A_dice_s0,A_dice,01,2,intact,7-12,<=2,intact,0,16,16,9,20,17
A_dice_s0,A_dice,01,2,intact,2-2,3,intact,0,3,16,9,20,17
A_dice_s0,A_dice,01,2,severs,1-1,4-5,intact,1,1,16,9,20,17
A_dice_s0,A_dice,01,2,severs,7-12,4-5,severs,0,3,16,9,20,17
A_dice_s0,A_dice,01,2,intact,1-1,6+,intact,0,4,16,9,20,17
A_dice_s0,A_dice,01,2,intact,2-2,6+,intact,0,3,16,9,20,17
A_dice_s0,A_dice,01,2,intact,3-6,6+,intact,0,4,16,9,20,17
A_dice_s0,A_dice,01,2,intact,13+,4-5,intact,0,6,16,9,20,17
A_dice_s0,A_dice,01,2,intact,7-12,6+,intact,0,2,16,9,20,17
A_dice_s0,A_dice,01,2,intact,7-12,4-5,intact,0,4,16,9,20,17
A_dice_s0,A_dice,01,2,absent,1-1,<=2,absent,0,1,16,9,20,17
A_dice_s0,A_dice,01,2,intact,1-1,<=2,intact,0,101,16,9,20,17
A_dice_s0,A_dice,01,2,intact,1-1,4-5,intact,0,10,16,9,20,17
A_dice_s0,A_dice,01,2,intact,13+,6+,intact,0,2,16,9,20,17
A_dice_s0,A_dice,01,2,intact,1-1,4-5,intact,1,3,16,9,20,17
A_dice_s0,A_dice,01,2,intact,13+,<=2,intact,0,10,16,9,20,17
A_dice_s0,A_dice,01,2,severs,13+,<=2,severs,0,2,16,9,20,17
A_dice_s0,A_dice,01,2,intact,1-1,3,intact,1,3,16,9,20,17
A_dice_s0,A_dice,01,2,intact,13+,3,intact,0,3,16,9,20,17
A_dice_s0,A_dice,01,2,severs,1-1,<=2,intact,1,1,16,9,20,17
A_dice_s0,A_dice,01,2,severs,2-2,<=2,severs,0,2,16,9,20,17
A_dice_s0,A_dice,01,2,intact,7-12,3,intact,0,5,16,9,20,17
A_dice_s0,A_dice,01,2,severs,7-12,<=2,severs,0,5,16,9,20,17
A_dice_s0,A_dice,01,2,severs,13+,6+,severs,0,3,16,9,20,17
A_dice_s0,A_dice,01,2,intact,2-2,4-5,intact,0,3,16,9,20,17
A_dice_s0,A_dice,01,2,intact,1-1,<=2,intact,1,2,16,9,20,17
A_dice_s0,A_dice,01,2,intact,2-2,4-5,intact,1,1,16,9,20,17
A_dice_s0,A_dice,01,2,intact,3-6,4-5,intact,0,1,16,9,20,17
A_dice_s0,A_dice,01,2,severs,7-12,3,severs,0,1,16,9,20,17
A_dice_s0,A_dice,01,2,severs,3-6,3,intact,0,1,16,9,20,17
