run,config,image,operation,width_fraction,radius_px,dice,cldice,betti0_err,betti1_err,betti1_signed
A_dice_s0,A_dice,01,closing,0.0,0,0.82535,0.86091,16,20,-20
A_dice_s0,A_dice,01,closing,0.25,1,0.82368,0.8573,12,24,-24
A_dice_s0,A_dice,01,closing,0.5,1,0.82368,0.8573,12,24,-24
A_dice_s0,A_dice,01,closing,0.75,2,0.81714,0.84667,9,31,-31
A_dice_s0,A_dice,01,closing,1.0,3,0.8021,0.83068,4,29,-29
A_dice_s0,A_dice,01,closing,1.5,4,0.77859,0.80783,2,32,-32
A_dice_s0,A_dice,01,closing,2.0,6,0.72425,0.76415,2,31,-31
A_dice_s0,A_dice,01,bridge_only,0.0,0,0.82535,0.86091,16,20,-20
A_dice_s0,A_dice,01,bridge_only,0.25,1,0.82531,0.86107,12,20,-20
A_dice_s0,A_dice,01,bridge_only,0.5,1,0.82531,0.86107,12,20,-20
A_dice_s0,A_dice,01,bridge_only,0.75,2,0.8228,0.85877,9,17,-17
A_dice_s0,A_dice,01,bridge_only,1.0,3,0.81387,0.84982,7,13,-13
A_dice_s0,A_dice,01,bridge_only,1.5,4,0.80245,0.84103,5,14,-14
A_dice_s0,A_dice,01,bridge_only,2.0,6,0.77112,0.82063,2,13,-13
A_dice_s0,A_dice,02,closing,0.0,0,0.84859,0.85105,20,19,-19
A_dice_s0,A_dice,02,closing,0.25,1,0.84836,0.84969,17,19,-19
A_dice_s0,A_dice,02,closing,0.5,1,0.84836,0.84969,17,19,-19
A_dice_s0,A_dice,02,closing,0.75,2,0.84387,0.84391,13,19,-19
A_dice_s0,A_dice,02,closing,1.0,3,0.83147,0.83119,10,21,-21
A_dice_s0,A_dice,02,closing,1.5,4,0.81706,0.8194,7,23,-23
A_dice_s0,A_dice,02,closing,2.0,6,0.76346,0.77253,5,26,-26
A_dice_s0,A_dice,02,bridge_only,0.0,0,0.84859,0.85105,20,19,-19
A_dice_s0,A_dice,02,bridge_only,0.25,1,0.8486,0.85107,17,19,-19
A_dice_s0,A_dice,02,bridge_only,0.5,1,0.8486,0.85107,17,19,-19
A_dice_s0,A_dice,02,bridge_only,0.75,2,0.84663,0.8503,14,16,-16
A_dice_s0,A_dice,02,bridge_only,1.0,3,0.84095,0.84532,11,16,-16
A_dice_s0,A_dice,02,bridge_only,1.5,4,0.83377,0.8412,9,15,-15
A_dice_s0,A_dice,02,bridge_only,2.0,6,0.80162,0.81823,7,14,-14
A_dice_s0,A_dice,03,closing,0.0,0,0.78024,0.76883,40,50,-50
