method,image,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
frangi_s1-3_f0.08,21,0.5580143267783,0.6190366614191339,703,12,722,19,18.601075237738275
frangi_s1-3_f0.1,21,0.5852183926955663,0.6265518986879113,1181,2,1200,19,18.027756377319946
frangi_s1-3_f0.12,21,0.5808202766702233,0.591374870296276,1859,2,1878,19,18.35755975068582
frangi_s1-3_f0.14,21,0.5635660912136048,0.5457624785948901,2640,7,2659,19,18.439088914585774
frangi_s1-5_f0.08,21,0.5580143267783,0.6190366614191339,703,12,722,19,18.601075237738275
frangi_s1-5_f0.1,21,0.5852183926955663,0.6265518986879113,1181,2,1200,19,18.027756377319946
frangi_s1-5_f0.12,21,0.5808202766702233,0.591374870296276,1859,2,1878,19,18.35755975068582
frangi_s1-5_f0.14,21,0.5635660912136048,0.5457624785948901,2640,7,2659,19,18.439088914585774
frangi_s1-7_f0.08,21,0.5632157685814665,0.615365252655235,773,0,792,19,18.24828759089466
frangi_s1-7_f0.1,21,0.5844369499054043,0.616248625085843,1331,36,1350,19,18.0
frangi_s1-7_f0.12,21,0.57610303064338,0.582307257957282,2059,44,2078,19,18.24828759089466
frangi_s1-7_f0.14,21,0.558756334278107,0.5374722283884946,2802,36,2821,19,18.384776310850235
sato_s1-3_f0.08,21,0.45193229000319385,0.47579211506156543,122,48,141,19,37.938097375967835
sato_s1-3_f0.1,21,0.5442543390639137,0.5741692609370971,133,48,152,19,27.459060435491963
sato_s1-3_f0.12,21,0.6039198068175436,0.6443927410372925,193,41,212,19,23.323807579381203
sato_s1-3_f0.14,21,0.6328609464914541,0.6765164525058276,338,29,357,19,20.248456731316587
sato_s1-5_f0.08,21,0.3420176118994388,0.3504781966430283,56,48,75,19,49.16805933738011
sato_s1-5_f0.1,21,0.44311919058978366,0.45483736672067504,114,46,133,19,39.429045661361826
sato_s1-5_f0.12,21,0.520432039834522,0.5468966083768149,128,40,147,19,30.62350924409358
sato_s1-5_f0.14,21,0.5692347333161556,0.6084152559001497,147,35,166,19,26.0
sato_s1-7_f0.08,21,0.28854314002828857,0.2875579935646483,48,45,67,19,60.00958249437767
sato_s1-7_f0.1,21,0.39417619478489757,0.3840769830426072,99,46,118,19,42.01190307520001
sato_s1-7_f0.12,21,0.469964995039404,0.47567535933104577,150,41,169,19,34.0
sato_s1-7_f0.14,21,0.5147470583183028,0.5451352021857205,162,40,181,19,29.68164415931166
meijering_s1-3_f0.08,21,0.4560843181092303,0.5025159186544265,230,50,249,19,28.42973693199179
meijering_s1-3_f0.1,21,0.5484905815579502,0.6030650818935881,301,46,320,19,23.769728648009426
meijering_s1-3_f0.12,21,0.6005129069092678,0.6506212029618161,529,42,548,19,20.396078054371138
meijering_s1-3_f0.14,21,0.619805891952246,0.6542032078374649,983,37,1002,19,19.4164878389476
meijering_s1-5_f0.08,21,0.33594926312907786,0.36582708259070207,122,48,141,19,42.419331870638985
meijering_s1-5_f0.1,21,0.4445175618984947,0.47442162720281794,187,47,206,19,31.622776601683793
meijering_s1-5_f0.12,21,0.5224911551636997,0.5688255135224811,242,43,261,19,26.419689627245813
meijering_s1-5_f0.14,21,0.5702310401099373,0.6226035783311626,420,40,439,19,23.021728866442675
meijering_s1-7_f0.08,21,0.27389697495095133,0.27273509184648,94,21,113,19,50.32891812864648
meijering_s1-7_f0.1,21,0.3832771242905322,0.39354453296037745,175,43,194,19,37.48332962798263
meijering_s1-7_f0.12,21,0.4564497107878924,0.48150642915478603,247,40,266,19,30.083217912982647
meijering_s1-7_f0.14,21,0.49963067937816713,0.5504787933449987,283,41,302,19,26.866333489579592
otsu,21,0.19740202065060508,0.20776551004414642,266,19,285,19,50.32891812864648
frangi_s1-3_f0.08,22,0.5421328133018577,0.5896584998983642,539,10,541,2,16.140004959000304
frangi_s1-3_f0.1,22,0.5906700847663778,0.6267864209208256,970,2,972,2,13.038404810405298
frangi_s1-3_f0.12,22,0.5987484527575299,0.6090440026264138,1617,15,1619,2,12.806248474865697
frangi_s1-3_f0.14,22,0.5880688141953128,0.5752656445644034,2297,16,2299,2,13.038404810405298
frangi_s1-5_f0.08,22,0.5421328133018577,0.5896584998983642,539,10,541,2,16.140004959000304
frangi_s1-5_f0.1,22,0.5906700847663778,0.6267864209208256,970,2,972,2,13.038404810405298
frangi_s1-5_f0.12,22,0.5987484527575299,0.6090440026264138,1617,15,1619,2,12.806248474865697
frangi_s1-5_f0.14,22,0.5880688141953128,0.5752656445644034,2297,16,2299,2,13.038404810405298
frangi_s1-7_f0.08,22,0.5507954428820692,0.5930337135497161,573,17,575,2,15.556349186104045
frangi_s1-7_f0.1,22,0.5948241986489774,0.6225511691346306,1086,26,1088,2,12.806248474865697
frangi_s1-7_f0.12,22,0.5986453032595241,0.6023036050665594,1770,20,1772,2,12.806248474865697
frangi_s1-7_f0.14,22,0.586606035551881,0.5707056192305465,2430,28,2432,2,13.038404810405298
sato_s1-3_f0.08,22,0.4589551472852304,0.4538241613468932,111,52,113,2,34.22279642353804
sato_s1-3_f0.1,22,0.5518983551954492,0.5403889553333588,164,49,166,2,25.96150997149434
sato_s1-3_f0.12,22,0.6168339980745428,0.611252885675161,203,41,205,2,22.561028345356956
sato_s1-3_f0.14,22,0.6516996851845963,0.6530234302052492,301,30,303,2,17.88854381999832
sato_s1-5_f0.08,22,0.3951144411372267,0.38828408648626306,106,53,108,2,37.73592452822641
sato_s1-5_f0.1,22,0.48793997118317395,0.47009173721953856,115,49,117,2,31.953090617340916
sato_s1-5_f0.12,22,0.5569041397331866,0.5384619109186477,158,45,160,2,26.1725046566048
sato_s1-5_f0.14,22,0.6000572391643082,0.5935987488020456,194,37,196,2,23.53720459187964
sato_s1-7_f0.08,22,0.357384789079339,0.33914820639144466,122,48,124,2,40.59062464253699
sato_s1-7_f0.1,22,0.4443404876405756,0.42135271240405414,137,45,139,2,33.301651610693426
sato_s1-7_f0.12,22,0.5100742676385641,0.4918860301170687,181,45,183,2,28.284271247461902
sato_s1-7_f0.14,22,0.5501637676089929,0.5457110079212414,199,38,201,2,25.298221281347036
meijering_s1-3_f0.08,22,0.4614595093913579,0.47975163047270586,240,48,242,2,27.018512172212592
meijering_s1-3_f0.1,22,0.5527965419808761,0.5639638337938879,332,50,334,2,22.47220505424423
meijering_s1-3_f0.12,22,0.6136019804703617,0.6252667955610557,502,47,504,2,17.0
meijering_s1-3_f0.14,22,0.6419372277164753,0.6452897148417772,854,40,856,2,14.422205101855956
meijering_s1-5_f0.08,22,0.3818536385096993,0.36544637081553416,141,50,143,2,37.64306044943742
meijering_s1-5_f0.1,22,0.4743923205029846,0.45744397506798345,206,50,208,2,29.068883707497267
meijering_s1-5_f0.12,22,0.5449387979645166,0.5334905495591388,255,43,257,2,25.632011235952593
meijering_s1-5_f0.14,22,0.5889910007313893,0.5850469568599214,354,40,356,2,21.37755832643195
meijering_s1-7_f0.08,22,0.3441239864518116,0.3152187629333585,168,24,170,2,39.05124837953327
meijering_s1-7_f0.1,22,0.4228214292397223,0.39996626438645616,198,38,200,2,31.89043743820395
meijering_s1-7_f0.12,22,0.4809517260349333,0.4716090196034768,260,37,262,2,27.018512172212592
meijering_s1-7_f0.14,22,0.523324959455592,0.5306372852989377,327,43,329,2,24.186773244895647
otsu,22,0.3741729022542237,0.3571164712823272,1304,1438,1306,2,18.681541692269406
frangi_s1-3_f0.08,23,0.47858527131782946,0.5545907656566834,834,4,835,1,31.11269837220809
frangi_s1-3_f0.1,23,0.4863003313911932,0.528254868264866,1105,14,1106,1,32.28002478313795
frangi_s1-3_f0.12,23,0.47659524462376124,0.4929387394637371,1477,4,1478,1,33.015148038438355
frangi_s1-3_f0.14,23,0.4598637996675425,0.4560447229697519,1805,15,1806,1,33.24154027718932
frangi_s1-5_f0.08,23,0.47858527131782946,0.5545907656566834,834,4,835,1,31.11269837220809
frangi_s1-5_f0.1,23,0.4863003313911932,0.528254868264866,1105,14,1106,1,32.28002478313795
frangi_s1-5_f0.12,23,0.47659524462376124,0.4929387394637371,1477,4,1478,1,33.015148038438355
frangi_s1-5_f0.14,23,0.4598637996675425,0.4560447229697519,1805,15,1806,1,33.24154027718932
frangi_s1-7_f0.08,23,0.4875,0.551919516242133,871,0,872,1,31.304951684997057
frangi_s1-7_f0.1,23,0.4900690939808096,0.5242542747175134,1162,2,1163,1,32.30789243684004
frangi_s1-7_f0.12,23,0.47859297269771633,0.49026497456343304,1536,11,1537,1,33.0
frangi_s1-7_f0.14,23,0.4607217545176685,0.4532145272586079,1853,31,1854,1,33.24154027718932
sato_s1-3_f0.08,23,0.40411821705426354,0.4884291595219695,162,30,163,1,35.510561809129406
sato_s1-3_f0.1,23,0.44761636595984317,0.5230538577660836,225,27,226,1,32.55764119219941
sato_s1-3_f0.12,23,0.47036703356966586,0.5321867358560999,232,25,233,1,32.31098884280702
sato_s1-3_f0.14,23,0.4781668364702307,0.5295757467491271,281,16,282,1,32.526911934581186
sato_s1-5_f0.08,23,0.3177325581395349,0.40459146639242605,125,19,126,1,44.28317965096906
sato_s1-5_f0.1,23,0.372241114167515,0.46367378404982335,151,12,152,1,37.0
sato_s1-5_f0.12,23,0.4098867954091425,0.49423270960617627,178,16,179,1,34.91130986989744
sato_s1-5_f0.14,23,0.42912041753802704,0.5099878244489681,222,12,223,1,33.95585369269929
sato_s1-7_f0.08,23,0.268265503875969,0.33080079300768245,128,11,129,1,51.66236541235796
sato_s1-7_f0.1,23,0.3156230371028179,0.39066155321833046,143,5,144,1,44.94107182578002
sato_s1-7_f0.12,23,0.3584942614281797,0.4323388830174972,155,7,156,1,39.45883931389772
sato_s1-7_f0.14,23,0.38436377285645346,0.4574288723741856,200,5,201,1,36.22154055254967
meijering_s1-3_f0.08,23,0.4005329457364341,0.4930191421712413,219,31,220,1,33.95953414525599
meijering_s1-3_f0.1,23,0.4473997704087158,0.5292664921987612,290,27,291,1,32.02498476648399
meijering_s1-3_f0.12,23,0.4695836107955658,0.5392891620725323,350,24,351,1,32.01562118716424
meijering_s1-3_f0.14,23,0.47766636280765723,0.534839355984551,444,19,445,1,32.89376840679705
meijering_s1-5_f0.08,23,0.30324612403100776,0.3871551676514357,144,19,145,1,42.3337726711877
meijering_s1-5_f0.1,23,0.3585522753362646,0.44747300913062027,170,17,171,1,37.48332962798263
meijering_s1-5_f0.12,23,0.39731285988483683,0.48836937169129957,220,12,221,1,34.655446902326915
meijering_s1-5_f0.14,23,0.41996889913668295,0.5043413920699125,274,10,275,1,34.0
meijering_s1-7_f0.08,23,0.257218992248062,0.31828666635695246,177,16,178,1,52.77878239222333
meijering_s1-7_f0.1,23,0.3034070480192337,0.370475052113753,167,16,168,1,43.37337404465282
meijering_s1-7_f0.12,23,0.3437267421363939,0.42125393057531096,183,1,184,1,39.20459156782532
meijering_s1-7_f0.14,23,0.371172717035766,0.4534951057486181,219,5,220,1,36.6742416417845
otsu,23,0.30142470694319207,0.3120514172630788,856,1037,857,1,36.89173349139343
frangi_s1-3_f0.08,24,0.48216976393771976,0.5374759331506471,429,35,430,1,16.97056274847714
frangi_s1-3_f0.1,24,0.5528618883352497,0.6099677560831309,664,22,665,1,14.0
frangi_s1-3_f0.12,24,0.5882980457232602,0.6284275784021774,1166,22,1167,1,12.206555615733702
frangi_s1-3_f0.14,24,0.5998341854359541,0.6174647015054203,1787,37,1788,1,12.206555615733702
frangi_s1-5_f0.08,24,0.48216976393771976,0.5374759331506471,429,35,430,1,16.97056274847714
frangi_s1-5_f0.1,24,0.5528618883352497,0.6099677560831309,664,22,665,1,14.0
frangi_s1-5_f0.12,24,0.5882980457232602,0.6284275784021774,1166,22,1167,1,12.206555615733702
frangi_s1-5_f0.14,24,0.5998341854359541,0.6174647015054203,1787,37,1788,1,12.206555615733702
frangi_s1-7_f0.08,24,0.4981728121373768,0.5439958551736818,447,21,448,1,15.652475842498529
frangi_s1-7_f0.1,24,0.5655104126740769,0.608695601341584,803,42,804,1,13.0
frangi_s1-7_f0.12,24,0.5908464581512157,0.6223571603843056,1315,45,1316,1,12.083045973594572
frangi_s1-7_f0.14,24,0.5967389802404311,0.6118186833780701,1919,44,1920,1,12.083045973594572
sato_s1-3_f0.08,24,0.36536829525970316,0.4065444896678512,105,85,106,1,42.05948168962618
sato_s1-3_f0.1,24,0.46643030535326435,0.49784421061531553,91,81,92,1,31.25699921617557
sato_s1-3_f0.12,24,0.5469011601203088,0.5666434230967423,101,74,102,1,24.698178070456937
sato_s1-3_f0.14,24,0.6097830592787067,0.6191137934858515,149,66,150,1,21.02379604162864
sato_s1-5_f0.08,24,0.2614177592268657,0.29165784014426344,93,83,94,1,55.00909015790027
sato_s1-5_f0.1,24,0.3597163664239172,0.3918578637099814,108,80,109,1,42.654412713841836
sato_s1-5_f0.12,24,0.4482242602936601,0.4734953003286396,96,75,97,1,32.7566787083184
sato_s1-5_f0.14,24,0.5189995854635899,0.5342481860302154,103,71,104,1,29.068883707497267
sato_s1-7_f0.08,24,0.20900950830461212,0.21066426440136313,70,74,71,1,79.78971975101345
sato_s1-7_f0.1,24,0.29896512073591414,0.312681288572499,118,79,119,1,51.62363799656123
