image,width_multiple,min_size,dice,cldice,betti0_err,betti1_err
11_dr,0.0,0,0.81344,0.82585,181,33
11_dr,0.21,3,0.81348,0.82616,148,33
11_dr,0.52,8,0.81355,0.82639,119,33
11_dr,1.04,17,0.81365,0.8266,99,33
11_dr,2.08,33,0.81456,0.82847,64,33
11_dr,5.21,83,0.81565,0.82901,11,33
11_dr,10.42,167,0.81382,0.82136,15,33
11_g,0.0,0,0.81522,0.82476,122,47
11_g,0.21,3,0.81519,0.82467,99,47
11_g,0.52,8,0.81522,0.82464,70,47
11_g,1.04,17,0.81541,0.82501,49,47
11_g,2.08,33,0.81564,0.82528,31,47
11_g,5.21,83,0.81578,0.82281,12,47
11_g,10.42,167,0.81492,0.81719,35,47
11_h,0.0,0,0.86135,0.88857,242,2
11_h,0.21,3,0.8614,0.88893,208,2
11_h,0.52,8,0.86156,0.88981,169,2
11_h,1.04,17,0.86266,0.89375,125,2
11_h,2.08,33,0.86443,0.89884,82,2
11_h,5.21,83,0.86747,0.90709,30,2
11_h,10.42,167,0.86823,0.90908,6,2
12_dr,0.0,0,0.76555,0.74831,161,107
12_dr,0.21,3,0.76561,0.74867,118,107
12_dr,0.52,8,0.76583,0.74944,78,107
12_dr,1.04,17,0.76641,0.75071,44,107
12_dr,2.08,33,0.76725,0.75216,16,107
12_dr,5.21,83,0.76878,0.75215,36,107
12_dr,10.42,167,0.76861,0.7457,76,107
12_g,0.0,0,0.81453,0.81573,192,47
12_g,0.21,3,0.81455,0.81593,165,47
12_g,0.52,8,0.81464,0.81624,134,47
12_g,1.04,17,0.81497,0.81706,105,47
12_g,2.08,33,0.81495,0.81652,80,47
12_g,5.21,83,0.8144,0.81226,36,47
12_g,10.42,167,0.81329,0.80603,9,47
12_h,0.0,0,0.86663,0.89716,259,11
12_h,0.21,3,0.86678,0.89812,206,11
12_h,0.52,8,0.86702,0.89935,159,11
12_h,1.04,17,0.86771,0.90201,117,11
12_h,2.08,33,0.86897,0.9061,90,11
12_h,5.21,83,0.87099,0.91242,30,11
12_h,10.42,167,0.86957,0.90778,7,11
13_dr,0.0,0,0.79619,0.77388,158,32
13_dr,0.21,3,0.79622,0.77411,139,32
13_dr,0.52,8,0.79628,0.77424,113,32
13_dr,1.04,17,0.79651,0.77466,92,32
13_dr,2.08,33,0.79734,0.77605,62,32
13_dr,5.21,83,0.79789,0.77349,21,33
13_dr,10.42,167,0.79666,0.76579,7,33
13_g,0.0,0,0.77956,0.79651,197,80
13_g,0.21,3,0.7796,0.79684,160,80
13_g,0.52,8,0.77964,0.79707,126,80
13_g,1.04,17,0.78019,0.79836,97,80
13_g,2.08,33,0.78081,0.79941,60,80
13_g,5.21,83,0.78343,0.80221,13,80
13_g,10.42,167,0.78316,0.79884,5,80
13_h,0.0,0,0.8451,0.87656,272,10
13_h,0.21,3,0.84521,0.87727,231,10
13_h,0.52,8,0.84566,0.87904,174,10
13_h,1.04,17,0.84641,0.8814,139,10
13_h,2.08,33,0.84786,0.88627,87,10
13_h,5.21,83,0.85037,0.89189,35,9
13_h,10.42,167,0.85151,0.89388,7,9
14_dr,0.0,0,0.77144,0.76557,210,98
14_dr,0.21,3,0.77151,0.76617,146,98
14_dr,0.52,8,0.77162,0.7668,107,98
14_dr,1.04,17,0.77209,0.76804,70,98
14_dr,2.08,33,0.77275,0.76894,37,98
14_dr,5.21,83,0.77509,0.77241,14,98
14_dr,10.42,167,0.77471,0.76744,44,98
14_g,0.0,0,0.771,0.77712,232,96
14_g,0.21,3,0.77109,0.77768,183,96
14_g,0.52,8,0.77133,0.77854,144,96
14_g,1.04,17,0.77166,0.77942,110,96
14_g,2.08,33,0.77244,0.78111,84,96
14_g,5.21,83,0.77323,0.77954,35,96
14_g,10.42,167,0.77311,0.77662,6,96
14_h,0.0,0,0.8465,0.888,262,3
14_h,0.21,3,0.84658,0.8886,222,3
14_h,0.52,8,0.84685,0.88985,163,3
14_h,1.04,17,0.84741,0.89156,132,3
14_h,2.08,33,0.84907,0.89616,92,3
14_h,5.21,83,0.85389,0.90799,35,3
14_h,10.42,167,0.85192,0.90409,8,3
15_dr,0.0,0,0.73648,0.72776,364,46
15_dr,0.21,3,0.73668,0.72886,292,46
15_dr,0.52,8,0.73711,0.7304,235,46
15_dr,1.04,17,0.73808,0.73294,186,46
15_dr,2.08,33,0.73981,0.73682,146,46
15_dr,5.21,83,0.74552,0.74623,70,46
15_dr,10.42,167,0.74947,0.74742,34,46
15_g,0.0,0,0.78788,0.77377,155,48
15_g,0.21,3,0.78789,0.77391,131,48
15_g,0.52,8,0.78799,0.77425,106,48
15_g,1.04,17,0.78818,0.77467,86,48
15_g,2.08,33,0.7891,0.77696,66,48
15_g,5.21,83,0.78953,0.7746,16,48
15_g,10.42,167,0.78961,0.77055,11,48
15_h,0.0,0,0.85384,0.90278,167,11
15_h,0.21,3,0.85392,0.90328,141,11
15_h,0.52,8,0.85404,0.90373,126,11
15_h,1.04,17,0.85469,0.90596,95,11
15_h,2.08,33,0.85567,0.9092,70,11
15_h,5.21,83,0.85766,0.91489,33,11
15_h,10.42,167,0.86044,0.92097,18,11
