image,width_multiple,min_size,dice,cldice,betti0_err,betti1_err
11_dr,0.0,0,0.80485,0.84517,131,38
11_dr,0.21,3,0.80488,0.84538,114,38
11_dr,0.52,8,0.80493,0.84553,105,38
11_dr,1.04,17,0.80516,0.84602,83,38
11_dr,2.08,33,0.80611,0.8471,50,38
11_dr,5.21,83,0.80728,0.84695,8,39
11_dr,10.42,167,0.80811,0.84481,11,39
11_g,0.0,0,0.80494,0.8415,96,55
11_g,0.21,3,0.80491,0.84143,86,55
11_g,0.52,8,0.80491,0.84131,72,55
11_g,1.04,17,0.8049,0.84074,50,55
11_g,2.08,33,0.80527,0.84114,32,55
11_g,5.21,83,0.80611,0.83871,8,55
11_g,10.42,167,0.80665,0.83546,30,55
11_h,0.0,0,0.85664,0.90044,193,2
11_h,0.21,3,0.85667,0.90065,171,2
11_h,0.52,8,0.85684,0.9013,151,2
11_h,1.04,17,0.85728,0.90224,127,2
11_h,2.08,33,0.85894,0.90565,92,2
11_h,5.21,83,0.86392,0.91468,31,2
11_h,10.42,167,0.86696,0.9193,6,2
12_dr,0.0,0,0.75345,0.76649,148,112
12_dr,0.21,3,0.75345,0.76659,127,112
12_dr,0.52,8,0.75351,0.76677,102,112
12_dr,1.04,17,0.75413,0.76772,72,112
12_dr,2.08,33,0.7553,0.76893,38,112
12_dr,5.21,83,0.75916,0.77113,27,113
12_dr,10.42,167,0.76021,0.76308,71,113
12_g,0.0,0,0.80467,0.83416,155,57
12_g,0.21,3,0.80469,0.83433,138,57
12_g,0.52,8,0.80475,0.83442,126,57
12_g,1.04,17,0.80479,0.83434,111,57
12_g,2.08,33,0.80505,0.83425,88,57
12_g,5.21,83,0.80517,0.83142,51,57
12_g,10.42,167,0.8055,0.8234,12,57
12_h,0.0,0,0.86575,0.90922,202,7
12_h,0.21,3,0.8658,0.90956,179,7
12_h,0.52,8,0.86596,0.9101,158,7
12_h,1.04,17,0.86648,0.9112,134,7
12_h,2.08,33,0.86778,0.91364,101,7
12_h,5.21,83,0.87124,0.91999,39,7
12_h,10.42,167,0.87386,0.92268,7,7
13_dr,0.0,0,0.79078,0.79377,160,39
13_dr,0.21,3,0.7908,0.79392,148,39
13_dr,0.52,8,0.79091,0.79428,128,39
13_dr,1.04,17,0.79125,0.79472,110,39
13_dr,2.08,33,0.7918,0.795,91,39
13_dr,5.21,83,0.79359,0.79351,39,39
13_dr,10.42,167,0.79343,0.78436,2,39
13_g,0.0,0,0.77355,0.81969,157,88
13_g,0.21,3,0.77354,0.81971,141,88
13_g,0.52,8,0.77372,0.82009,122,88
13_g,1.04,17,0.77384,0.82015,102,88
13_g,2.08,33,0.77462,0.82067,76,88
13_g,5.21,83,0.77623,0.82026,30,88
13_g,10.42,167,0.77689,0.81521,3,88
13_h,0.0,0,0.83889,0.8885,233,9
13_h,0.21,3,0.83892,0.88885,201,9
13_h,0.52,8,0.83918,0.8897,174,9
13_h,1.04,17,0.83993,0.89148,134,9
13_h,2.08,33,0.8409,0.89334,108,9
13_h,5.21,83,0.84651,0.90324,49,8
13_h,10.42,167,0.84869,0.90427,12,8
14_dr,0.0,0,0.76342,0.78686,183,103
14_dr,0.21,3,0.76349,0.78729,148,103
14_dr,0.52,8,0.76361,0.78763,118,103
14_dr,1.04,17,0.76408,0.78832,83,104
14_dr,2.08,33,0.765,0.78975,47,104
14_dr,5.21,83,0.76781,0.79125,7,104
14_dr,10.42,167,0.76917,0.78476,52,105
14_g,0.0,0,0.76323,0.79567,190,101
14_g,0.21,3,0.76321,0.79566,171,101
14_g,0.52,8,0.76325,0.79586,152,101
14_g,1.04,17,0.76331,0.79577,133,101
14_g,2.08,33,0.76408,0.79614,102,101
14_g,5.21,83,0.7659,0.79689,65,101
14_g,10.42,167,0.76664,0.79023,17,102
14_h,0.0,0,0.84257,0.89822,224,1
14_h,0.21,3,0.84263,0.89866,196,1
14_h,0.52,8,0.84281,0.89919,172,1
14_h,1.04,17,0.84363,0.90098,135,1
14_h,2.08,33,0.84508,0.90395,106,1
14_h,5.21,83,0.85028,0.9125,45,1
14_h,10.42,167,0.84907,0.90917,8,1
15_dr,0.0,0,0.72782,0.74942,326,10
15_dr,0.21,3,0.72791,0.74997,282,10
15_dr,0.52,8,0.72828,0.75105,237,10
15_dr,1.04,17,0.7292,0.75264,199,10
15_dr,2.08,33,0.73034,0.7544,170,10
15_dr,5.21,83,0.7378,0.76638,94,9
15_dr,10.42,167,0.74485,0.77011,35,9
15_g,0.0,0,0.77948,0.79251,126,57
15_g,0.21,3,0.7795,0.79259,115,57
15_g,0.52,8,0.77953,0.79271,102,57
15_g,1.04,17,0.77967,0.7929,93,57
15_g,2.08,33,0.78005,0.79286,74,57
15_g,5.21,83,0.78251,0.79279,19,57
15_g,10.42,167,0.7836,0.78765,10,57
15_h,0.0,0,0.85285,0.91312,141,3
15_h,0.21,3,0.85286,0.91322,132,3
15_h,0.52,8,0.85297,0.91364,118,3
15_h,1.04,17,0.8532,0.91414,107,3
15_h,2.08,33,0.85471,0.91707,81,3
15_h,5.21,83,0.85827,0.92386,41,3
15_h,10.42,167,0.86172,0.92906,16,3
