image,width_multiple,min_size,dice,cldice,betti0_err,betti1_err
11_dr,0.0,0,0.81841,0.8281,172,42
11_dr,0.21,3,0.81841,0.82827,109,42
11_dr,0.52,8,0.81851,0.82889,68,42
11_dr,1.04,17,0.81875,0.8297,39,42
11_dr,2.08,33,0.81891,0.82992,13,42
11_dr,5.21,83,0.81866,0.82786,8,42
11_dr,10.42,167,0.81739,0.82308,21,42
11_g,0.0,0,0.81911,0.82602,112,49
11_g,0.21,3,0.81913,0.82625,66,49
11_g,0.52,8,0.81915,0.82635,42,49
11_g,1.04,17,0.81935,0.82691,20,49
11_g,2.08,33,0.81927,0.82653,2,49
11_g,5.21,83,0.81877,0.82315,29,49
11_g,10.42,167,0.81702,0.81726,43,49
11_h,0.0,0,0.86783,0.9025,210,5
11_h,0.21,3,0.86796,0.9034,145,5
11_h,0.52,8,0.86822,0.90484,103,5
11_h,1.04,17,0.86842,0.90628,66,5
11_h,2.08,33,0.86886,0.90768,46,5
11_h,5.21,83,0.87071,0.91292,15,5
11_h,10.42,167,0.87125,0.91485,0,5
12_dr,0.0,0,0.77044,0.74422,216,113
12_dr,0.21,3,0.77049,0.74475,126,113
12_dr,0.52,8,0.7706,0.7451,70,113
12_dr,1.04,17,0.7711,0.74633,18,113
12_dr,2.08,33,0.77142,0.74694,10,113
12_dr,5.21,83,0.77035,0.74233,56,113
12_dr,10.42,167,0.76858,0.73476,83,113
12_g,0.0,0,0.81642,0.81361,196,49
12_g,0.21,3,0.81641,0.81372,138,49
12_g,0.52,8,0.8164,0.81394,97,49
12_g,1.04,17,0.81649,0.81412,75,49
12_g,2.08,33,0.81651,0.814,54,49
12_g,5.21,83,0.81543,0.80943,17,49
12_g,10.42,167,0.81438,0.80477,0,49
12_h,0.0,0,0.87125,0.90887,240,9
12_h,0.21,3,0.8714,0.90987,175,9
12_h,0.52,8,0.87173,0.91154,116,9
12_h,1.04,17,0.87213,0.91326,84,9
12_h,2.08,33,0.87281,0.91585,57,9
12_h,5.21,83,0.87288,0.91649,20,9
12_h,10.42,167,0.87218,0.91447,2,9
13_dr,0.0,0,0.79861,0.76332,185,38
13_dr,0.21,3,0.79862,0.76346,137,38
13_dr,0.52,8,0.79849,0.76315,88,38
13_dr,1.04,17,0.79861,0.76346,67,38
13_dr,2.08,33,0.7987,0.76331,48,38
13_dr,5.21,83,0.79795,0.7588,7,38
13_dr,10.42,167,0.79508,0.74624,22,38
13_g,0.0,0,0.7867,0.80065,188,81
13_g,0.21,3,0.78666,0.80083,127,81
13_g,0.52,8,0.78671,0.80145,69,81
13_g,1.04,17,0.78704,0.80224,43,81
13_g,2.08,33,0.78737,0.80271,27,81
13_g,5.21,83,0.7875,0.80137,2,81
13_g,10.42,167,0.78683,0.79869,11,81
13_h,0.0,0,0.85104,0.89261,253,7
13_h,0.21,3,0.85117,0.89352,181,7
13_h,0.52,8,0.85151,0.89506,129,7
13_h,1.04,17,0.85214,0.89678,88,7
13_h,2.08,33,0.85298,0.89934,63,7
13_h,5.21,83,0.85404,0.90141,26,6
13_h,10.42,167,0.85476,0.90307,3,6
14_dr,0.0,0,0.77502,0.76311,195,116
14_dr,0.21,3,0.77504,0.76346,116,116
14_dr,0.52,8,0.77491,0.76335,57,116
14_dr,1.04,17,0.77495,0.76319,26,116
14_dr,2.08,33,0.7748,0.76307,4,116
14_dr,5.21,83,0.7742,0.75922,35,116
14_dr,10.42,167,0.77331,0.75402,55,116
14_g,0.0,0,0.77309,0.7784,242,98
14_g,0.21,3,0.77311,0.77876,178,98
14_g,0.52,8,0.77322,0.77933,127,98
14_g,1.04,17,0.77371,0.78065,92,98
14_g,2.08,33,0.7741,0.78088,65,98
14_g,5.21,83,0.77446,0.77958,25,98
14_g,10.42,167,0.77355,0.77519,2,98
14_h,0.0,0,0.8544,0.89961,250,6
14_h,0.21,3,0.85456,0.90076,175,6
14_h,0.52,8,0.85499,0.90272,121,6
14_h,1.04,17,0.85543,0.90441,83,6
14_h,2.08,33,0.85608,0.90643,56,6
14_h,5.21,83,0.85804,0.91222,22,6
14_h,10.42,167,0.85451,0.90489,3,6
15_dr,0.0,0,0.75622,0.74615,355,21
15_dr,0.21,3,0.7564,0.74734,242,21
15_dr,0.52,8,0.75684,0.74891,178,21
15_dr,1.04,17,0.75765,0.75074,125,20
15_dr,2.08,33,0.75847,0.75225,94,20
15_dr,5.21,83,0.76113,0.75554,40,19
15_dr,10.42,167,0.76272,0.75479,24,19
15_g,0.0,0,0.79043,0.77661,171,49
15_g,0.21,3,0.79045,0.77689,111,49
15_g,0.52,8,0.79057,0.77725,79,49
15_g,1.04,17,0.79076,0.77788,58,49
15_g,2.08,33,0.79098,0.77822,38,49
15_g,5.21,83,0.79095,0.77579,5,49
15_g,10.42,167,0.79074,0.77182,15,49
15_h,0.0,0,0.85969,0.91299,175,8
15_h,0.21,3,0.85983,0.91392,114,8
15_h,0.52,8,0.85994,0.91461,95,8
15_h,1.04,17,0.86024,0.91604,74,8
15_h,2.08,33,0.86124,0.91975,45,8
15_h,5.21,83,0.86225,0.92339,21,8
15_h,10.42,167,0.86275,0.92557,9,8
