run,config,image,operation,width_fraction,radius_px,dice,cldice,betti0_err,betti1_err,betti1_signed
A_dice_s0,A_dice,11_dr,closing,0.0,0,0.81456,0.82847,64,33,-33
A_dice_s0,A_dice,11_dr,closing,0.25,1,0.81413,0.82816,59,54,-54
A_dice_s0,A_dice,11_dr,closing,0.5,2,0.81293,0.82668,43,53,-53
A_dice_s0,A_dice,11_dr,closing,0.75,3,0.80901,0.82257,34,55,-55
A_dice_s0,A_dice,11_dr,closing,1.0,4,0.80467,0.81928,26,57,-57
A_dice_s0,A_dice,11_dr,closing,1.5,6,0.78914,0.8092,15,58,-58
A_dice_s0,A_dice,11_dr,closing,2.0,8,0.76635,0.79485,15,56,-56
A_dice_s0,A_dice,11_dr,bridge_only,0.0,0,0.81456,0.82847,64,33,-33
A_dice_s0,A_dice,11_dr,bridge_only,0.25,1,0.81409,0.8285,59,31,-31
A_dice_s0,A_dice,11_dr,bridge_only,0.5,2,0.81338,0.82769,47,30,-30
A_dice_s0,A_dice,11_dr,bridge_only,0.75,3,0.81158,0.82659,42,30,-30
A_dice_s0,A_dice,11_dr,bridge_only,1.0,4,0.80932,0.8248,37,29,-29
A_dice_s0,A_dice,11_dr,bridge_only,1.5,6,0.80009,0.81926,28,25,-25
A_dice_s0,A_dice,11_dr,bridge_only,2.0,8,0.78639,0.81087,27,24,-24
A_dice_s0,A_dice,11_g,closing,0.0,0,0.81564,0.82528,31,47,-47
A_dice_s0,A_dice,11_g,closing,0.25,1,0.81476,0.82508,26,54,-54
A_dice_s0,A_dice,11_g,closing,0.5,2,0.81311,0.82341,4,51,-51
A_dice_s0,A_dice,11_g,closing,0.75,3,0.80985,0.82065,8,52,-52
A_dice_s0,A_dice,11_g,closing,1.0,4,0.80594,0.81731,17,55,-55
A_dice_s0,A_dice,11_g,closing,1.5,6,0.7934,0.80654,21,57,-57
A_dice_s0,A_dice,11_g,closing,2.0,8,0.77532,0.79616,29,58,-58
A_dice_s0,A_dice,11_g,bridge_only,0.0,0,0.81564,0.82528,31,47,-47
A_dice_s0,A_dice,11_g,bridge_only,0.25,1,0.81475,0.82499,28,46,-46
A_dice_s0,A_dice,11_g,bridge_only,0.5,2,0.81341,0.82395,17,44,-44
A_dice_s0,A_dice,11_g,bridge_only,0.75,3,0.81166,0.82328,8,43,-43
A_dice_s0,A_dice,11_g,bridge_only,1.0,4,0.8089,0.82145,1,41,-41
A_dice_s0,A_dice,11_g,bridge_only,1.5,6,0.80097,0.8162,1,39,-39
A_dice_s0,A_dice,11_g,bridge_only,2.0,8,0.79049,0.81035,3,39,-39
A_dice_s0,A_dice,11_h,closing,0.0,0,0.86443,0.89884,82,2,2
A_dice_s0,A_dice,11_h,closing,0.25,1,0.86434,0.89984,67,5,-5
A_dice_s0,A_dice,11_h,closing,0.5,2,0.86397,0.89999,56,3,-3
A_dice_s0,A_dice,11_h,closing,0.75,3,0.86249,0.89752,46,3,-3
A_dice_s0,A_dice,11_h,closing,1.0,4,0.8598,0.89534,41,3,-3
