run,config,image,component_multiple,hole_multiple,hole_area,dice,cldice,betti0_err,betti1_err
A_dice_s0,A_dice,11_dr,0.0,0.0,0,0.81344,0.82585,181,33
A_dice_s0,A_dice,11_dr,0.0,0.21,3,0.81346,0.82587,181,44
A_dice_s0,A_dice,11_dr,0.0,0.52,8,0.81359,0.82547,181,56
A_dice_s0,A_dice,11_dr,0.0,1.04,17,0.8136,0.82538,181,58
A_dice_s0,A_dice,11_dr,0.0,2.08,33,0.81364,0.8251,181,61
A_dice_s0,A_dice,11_dr,0.0,5.21,83,0.81351,0.82496,181,62
A_dice_s0,A_dice,11_dr,0.0,10.42,167,0.81338,0.82477,181,65
A_dice_s0,A_dice,11_dr,2.08,0.0,0,0.81456,0.82847,64,33
A_dice_s0,A_dice,11_dr,2.08,0.21,3,0.81458,0.8285,64,44
A_dice_s0,A_dice,11_dr,2.08,0.52,8,0.81471,0.82813,64,56
A_dice_s0,A_dice,11_dr,2.08,1.04,17,0.81472,0.82804,64,58
A_dice_s0,A_dice,11_dr,2.08,2.08,33,0.81476,0.82778,64,61
A_dice_s0,A_dice,11_dr,2.08,5.21,83,0.81463,0.82764,64,62
A_dice_s0,A_dice,11_dr,2.08,10.42,167,0.81449,0.82746,64,65
A_dice_s0,A_dice,11_g,0.0,0.0,0,0.81522,0.82476,122,47
A_dice_s0,A_dice,11_g,0.0,0.21,3,0.81524,0.82478,122,53
A_dice_s0,A_dice,11_g,0.0,0.52,8,0.81529,0.82481,122,55
A_dice_s0,A_dice,11_g,0.0,1.04,17,0.81527,0.82478,122,56
A_dice_s0,A_dice,11_g,0.0,2.08,33,0.81543,0.8248,122,57
A_dice_s0,A_dice,11_g,0.0,5.21,83,0.8156,0.82482,121,58
A_dice_s0,A_dice,11_g,0.0,10.42,167,0.81541,0.8235,121,62
A_dice_s0,A_dice,11_g,2.08,0.0,0,0.81564,0.82528,31,47
A_dice_s0,A_dice,11_g,2.08,0.21,3,0.81567,0.8253,31,53
A_dice_s0,A_dice,11_g,2.08,0.52,8,0.81571,0.82533,31,55
A_dice_s0,A_dice,11_g,2.08,1.04,17,0.81569,0.82531,31,56
A_dice_s0,A_dice,11_g,2.08,2.08,33,0.81585,0.82532,31,57
A_dice_s0,A_dice,11_g,2.08,5.21,83,0.81602,0.82535,31,58
A_dice_s0,A_dice,11_g,2.08,10.42,167,0.81584,0.82404,31,62
A_dice_s0,A_dice,11_h,0.0,0.0,0,0.86135,0.88857,242,2
A_dice_s0,A_dice,11_h,0.0,0.21,3,0.86135,0.88865,242,2
A_dice_s0,A_dice,11_h,0.0,0.52,8,0.86134,0.88901,242,6
A_dice_s0,A_dice,11_h,0.0,1.04,17,0.86138,0.8891,242,9
A_dice_s0,A_dice,11_h,0.0,2.08,33,0.86132,0.889,242,10
A_dice_s0,A_dice,11_h,0.0,5.21,83,0.86124,0.88884,242,11
A_dice_s0,A_dice,11_h,0.0,10.42,167,0.86102,0.88853,242,11
A_dice_s0,A_dice,11_h,2.08,0.0,0,0.86443,0.89884,82,2
A_dice_s0,A_dice,11_h,2.08,0.21,3,0.86443,0.89893,82,2
A_dice_s0,A_dice,11_h,2.08,0.52,8,0.86442,0.89931,82,6
A_dice_s0,A_dice,11_h,2.08,1.04,17,0.86446,0.89941,82,9
A_dice_s0,A_dice,11_h,2.08,2.08,33,0.8644,0.89933,82,10
A_dice_s0,A_dice,11_h,2.08,5.21,83,0.86432,0.89917,82,11
A_dice_s0,A_dice,11_h,2.08,10.42,167,0.86409,0.89886,82,11
A_dice_s0,A_dice,12_dr,0.0,0.0,0,0.76555,0.74831,161,107
A_dice_s0,A_dice,12_dr,0.0,0.21,3,0.76557,0.74837,161,113
A_dice_s0,A_dice,12_dr,0.0,0.52,8,0.7656,0.74828,161,116
A_dice_s0,A_dice,12_dr,0.0,1.04,17,0.76566,0.74829,161,117
A_dice_s0,A_dice,12_dr,0.0,2.08,33,0.76561,0.74816,161,119
A_dice_s0,A_dice,12_dr,0.0,5.21,83,0.76588,0.74837,161,120
A_dice_s0,A_dice,12_dr,0.0,10.42,167,0.76534,0.74796,161,122
A_dice_s0,A_dice,12_dr,2.08,0.0,0,0.76725,0.75216,16,107
A_dice_s0,A_dice,12_dr,2.08,0.21,3,0.76726,0.75222,16,113
A_dice_s0,A_dice,12_dr,2.08,0.52,8,0.76729,0.75213,16,116
A_dice_s0,A_dice,12_dr,2.08,1.04,17,0.76735,0.75215,16,117
A_dice_s0,A_dice,12_dr,2.08,2.08,33,0.76731,0.75203,16,119
A_dice_s0,A_dice,12_dr,2.08,5.21,83,0.76757,0.75225,16,120
A_dice_s0,A_dice,12_dr,2.08,10.42,167,0.76703,0.75184,16,122
A_dice_s0,A_dice,12_g,0.0,0.0,0,0.81453,0.81573,192,47
A_dice_s0,A_dice,12_g,0.0,0.21,3,0.81454,0.81581,192,51
A_dice_s0,A_dice,12_g,0.0,0.52,8,0.81455,0.81584,192,56
A_dice_s0,A_dice,12_g,0.0,1.04,17,0.81458,0.8158,192,57
A_dice_s0,A_dice,12_g,0.0,2.08,33,0.81458,0.8158,192,57
A_dice_s0,A_dice,12_g,0.0,5.21,83,0.81439,0.8154,192,59
A_dice_s0,A_dice,12_g,0.0,10.42,167,0.81416,0.81526,192,59
A_dice_s0,A_dice,12_g,2.08,0.0,0,0.81495,0.81652,80,47
A_dice_s0,A_dice,12_g,2.08,0.21,3,0.81496,0.81661,80,51
A_dice_s0,A_dice,12_g,2.08,0.52,8,0.81497,0.81664,80,56
A_dice_s0,A_dice,12_g,2.08,1.04,17,0.81501,0.81661,80,57
A_dice_s0,A_dice,12_g,2.08,2.08,33,0.81501,0.81661,80,57
A_dice_s0,A_dice,12_g,2.08,5.21,83,0.81481,0.81621,80,59
A_dice_s0,A_dice,12_g,2.08,10.42,167,0.81458,0.81607,80,59
A_dice_s0,A_dice,12_h,0.0,0.0,0,0.86663,0.89716,259,11
A_dice_s0,A_dice,12_h,0.0,0.21,3,0.86662,0.89768,259,1
A_dice_s0,A_dice,12_h,0.0,0.52,8,0.86663,0.89767,259,0
A_dice_s0,A_dice,12_h,0.0,1.04,17,0.86666,0.89756,259,1
A_dice_s0,A_dice,12_h,0.0,2.08,33,0.86666,0.89747,259,2
A_dice_s0,A_dice,12_h,0.0,5.21,83,0.86669,0.89765,259,4
A_dice_s0,A_dice,12_h,0.0,10.42,167,0.86669,0.89765,259,4
A_dice_s0,A_dice,12_h,2.08,0.0,0,0.86897,0.9061,90,11
A_dice_s0,A_dice,12_h,2.08,0.21,3,0.86896,0.90663,90,1
A_dice_s0,A_dice,12_h,2.08,0.52,8,0.86897,0.90663,90,0
A_dice_s0,A_dice,12_h,2.08,1.04,17,0.869,0.90652,90,1
A_dice_s0,A_dice,12_h,2.08,2.08,33,0.86899,0.90644,90,2
A_dice_s0,A_dice,12_h,2.08,5.21,83,0.86903,0.90664,90,4
A_dice_s0,A_dice,12_h,2.08,10.42,167,0.86903,0.90664,90,4
A_dice_s0,A_dice,13_dr,0.0,0.0,0,0.79619,0.77388,158,32
A_dice_s0,A_dice,13_dr,0.0,0.21,3,0.79617,0.77413,158,42
A_dice_s0,A_dice,13_dr,0.0,0.52,8,0.79624,0.77409,158,46
A_dice_s0,A_dice,13_dr,0.0,1.04,17,0.79617,0.77384,158,50
A_dice_s0,A_dice,13_dr,0.0,2.08,33,0.7961,0.77351,158,51
A_dice_s0,A_dice,13_dr,0.0,5.21,83,0.79599,0.77304,158,53
A_dice_s0,A_dice,13_dr,0.0,10.42,167,0.79598,0.77276,158,54
A_dice_s0,A_dice,13_dr,2.08,0.0,0,0.79734,0.77605,62,32
A_dice_s0,A_dice,13_dr,2.08,0.21,3,0.79732,0.77632,62,42
A_dice_s0,A_dice,13_dr,2.08,0.52,8,0.79739,0.77629,62,46
A_dice_s0,A_dice,13_dr,2.08,1.04,17,0.79732,0.77605,62,50
A_dice_s0,A_dice,13_dr,2.08,2.08,33,0.79725,0.77573,62,51
A_dice_s0,A_dice,13_dr,2.08,5.21,83,0.79713,0.77527,62,53
A_dice_s0,A_dice,13_dr,2.08,10.42,167,0.79713,0.775,62,54
A_dice_s0,A_dice,13_g,0.0,0.0,0,0.77956,0.79651,197,80
A_dice_s0,A_dice,13_g,0.0,0.21,3,0.77955,0.79663,197,84
A_dice_s0,A_dice,13_g,0.0,0.52,8,0.77957,0.79662,197,85
A_dice_s0,A_dice,13_g,0.0,1.04,17,0.77958,0.79662,197,87
A_dice_s0,A_dice,13_g,0.0,2.08,33,0.77958,0.79662,197,87
A_dice_s0,A_dice,13_g,0.0,5.21,83,0.77938,0.79613,197,89
A_dice_s0,A_dice,13_g,0.0,10.42,167,0.77895,0.79508,197,91
A_dice_s0,A_dice,13_g,2.08,0.0,0,0.78081,0.79941,60,80
A_dice_s0,A_dice,13_g,2.08,0.21,3,0.78081,0.79954,60,84
A_dice_s0,A_dice,13_g,2.08,0.52,8,0.78082,0.79953,60,85
A_dice_s0,A_dice,13_g,2.08,1.04,17,0.78083,0.79954,60,87
A_dice_s0,A_dice,13_g,2.08,2.08,33,0.78083,0.79954,60,87
A_dice_s0,A_dice,13_g,2.08,5.21,83,0.78063,0.79905,60,89
A_dice_s0,A_dice,13_g,2.08,10.42,167,0.7802,0.79802,60,91
A_dice_s0,A_dice,13_h,0.0,0.0,0,0.8451,0.87656,272,10
A_dice_s0,A_dice,13_h,0.0,0.21,3,0.8451,0.87678,272,3
A_dice_s0,A_dice,13_h,0.0,0.52,8,0.84515,0.87685,272,1
A_dice_s0,A_dice,13_h,0.0,1.04,17,0.84522,0.87681,272,3
A_dice_s0,A_dice,13_h,0.0,2.08,33,0.84529,0.87686,272,4
A_dice_s0,A_dice,13_h,0.0,5.21,83,0.84516,0.87675,271,4
A_dice_s0,A_dice,13_h,0.0,10.42,167,0.8449,0.8762,271,5
A_dice_s0,A_dice,13_h,2.08,0.0,0,0.84786,0.88627,87,10
A_dice_s0,A_dice,13_h,2.08,0.21,3,0.84785,0.88651,87,3
A_dice_s0,A_dice,13_h,2.08,0.52,8,0.8479,0.88659,87,1
A_dice_s0,A_dice,13_h,2.08,1.04,17,0.84798,0.88657,87,3
A_dice_s0,A_dice,13_h,2.08,2.08,33,0.84805,0.88663,87,4
A_dice_s0,A_dice,13_h,2.08,5.21,83,0.84791,0.88649,87,4
A_dice_s0,A_dice,13_h,2.08,10.42,167,0.84765,0.88596,87,5
A_dice_s0,A_dice,14_dr,0.0,0.0,0,0.77144,0.76557,210,98
A_dice_s0,A_dice,14_dr,0.0,0.21,3,0.77146,0.76581,210,115
A_dice_s0,A_dice,14_dr,0.0,0.52,8,0.77155,0.76591,210,124
A_dice_s0,A_dice,14_dr,0.0,1.04,17,0.77166,0.766,210,128
A_dice_s0,A_dice,14_dr,0.0,2.08,33,0.77151,0.76635,210,132
A_dice_s0,A_dice,14_dr,0.0,5.21,83,0.77169,0.7651,209,139
A_dice_s0,A_dice,14_dr,0.0,10.42,167,0.77121,0.76421,209,141
A_dice_s0,A_dice,14_dr,2.08,0.0,0,0.77275,0.76894,37,98
A_dice_s0,A_dice,14_dr,2.08,0.21,3,0.77277,0.7692,37,115
A_dice_s0,A_dice,14_dr,2.08,0.52,8,0.77286,0.76932,37,124
A_dice_s0,A_dice,14_dr,2.08,1.04,17,0.77297,0.76943,37,128
A_dice_s0,A_dice,14_dr,2.08,2.08,33,0.77282,0.76979,37,132
A_dice_s0,A_dice,14_dr,2.08,5.21,83,0.773,0.76857,37,139
A_dice_s0,A_dice,14_dr,2.08,10.42,167,0.77252,0.7677,37,141
A_dice_s0,A_dice,14_g,0.0,0.0,0,0.771,0.77712,232,96
A_dice_s0,A_dice,14_g,0.0,0.21,3,0.77099,0.77726,232,100
A_dice_s0,A_dice,14_g,0.0,0.52,8,0.77098,0.77721,232,101
A_dice_s0,A_dice,14_g,0.0,1.04,17,0.77098,0.77721,232,101
A_dice_s0,A_dice,14_g,0.0,2.08,33,0.77098,0.77721,232,101
A_dice_s0,A_dice,14_g,0.0,5.21,83,0.7706,0.77632,232,105
A_dice_s0,A_dice,14_g,0.0,10.42,167,0.7703,0.77576,232,106
A_dice_s0,A_dice,14_g,2.08,0.0,0,0.77244,0.78111,84,96
A_dice_s0,A_dice,14_g,2.08,0.21,3,0.77242,0.78125,84,100
A_dice_s0,A_dice,14_g,2.08,0.52,8,0.77241,0.7812,84,101
A_dice_s0,A_dice,14_g,2.08,1.04,17,0.77241,0.7812,84,101
A_dice_s0,A_dice,14_g,2.08,2.08,33,0.77241,0.7812,84,101
A_dice_s0,A_dice,14_g,2.08,5.21,83,0.77203,0.78034,84,105
A_dice_s0,A_dice,14_g,2.08,10.42,167,0.77173,0.77978,84,106
A_dice_s0,A_dice,14_h,0.0,0.0,0,0.8465,0.888,262,3
A_dice_s0,A_dice,14_h,0.0,0.21,3,0.84648,0.88821,262,5
A_dice_s0,A_dice,14_h,0.0,0.52,8,0.84648,0.88821,262,5
A_dice_s0,A_dice,14_h,0.0,1.04,17,0.84645,0.88842,262,8
A_dice_s0,A_dice,14_h,0.0,2.08,33,0.8464,0.88832,262,9
A_dice_s0,A_dice,14_h,0.0,5.21,83,0.84622,0.88799,262,10
A_dice_s0,A_dice,14_h,0.0,10.42,167,0.84605,0.88757,262,11
A_dice_s0,A_dice,14_h,2.08,0.0,0,0.84907,0.89616,92,3
A_dice_s0,A_dice,14_h,2.08,0.21,3,0.84905,0.89639,92,5
A_dice_s0,A_dice,14_h,2.08,0.52,8,0.84905,0.89639,92,5
A_dice_s0,A_dice,14_h,2.08,1.04,17,0.84902,0.89661,92,8
A_dice_s0,A_dice,14_h,2.08,2.08,33,0.84897,0.89652,92,9
A_dice_s0,A_dice,14_h,2.08,5.21,83,0.84878,0.8962,92,10
A_dice_s0,A_dice,14_h,2.08,10.42,167,0.84861,0.89579,92,11
A_dice_s0,A_dice,15_dr,0.0,0.0,0,0.73648,0.72776,364,46
A_dice_s0,A_dice,15_dr,0.0,0.21,3,0.7365,0.72831,364,15
A_dice_s0,A_dice,15_dr,0.0,0.52,8,0.73655,0.72894,364,4
A_dice_s0,A_dice,15_dr,0.0,1.04,17,0.73645,0.72967,364,15
A_dice_s0,A_dice,15_dr,0.0,2.08,33,0.73654,0.72956,364,19
A_dice_s0,A_dice,15_dr,0.0,5.21,83,0.73634,0.72965,364,23
A_dice_s0,A_dice,15_dr,0.0,10.42,167,0.7352,0.73101,363,27
A_dice_s0,A_dice,15_dr,2.08,0.0,0,0.73981,0.73682,146,46
A_dice_s0,A_dice,15_dr,2.08,0.21,3,0.73983,0.73741,146,15
A_dice_s0,A_dice,15_dr,2.08,0.52,8,0.73988,0.73812,146,4
A_dice_s0,A_dice,15_dr,2.08,1.04,17,0.73977,0.7389,146,15
A_dice_s0,A_dice,15_dr,2.08,2.08,33,0.73986,0.73882,146,19
A_dice_s0,A_dice,15_dr,2.08,5.21,83,0.73966,0.73894,146,23
A_dice_s0,A_dice,15_dr,2.08,10.42,167,0.7385,0.74034,146,27
A_dice_s0,A_dice,15_g,0.0,0.0,0,0.78788,0.77377,155,48
A_dice_s0,A_dice,15_g,0.0,0.21,3,0.78788,0.77372,155,53
A_dice_s0,A_dice,15_g,0.0,0.52,8,0.78792,0.77383,155,55
A_dice_s0,A_dice,15_g,0.0,1.04,17,0.78796,0.774,155,56
A_dice_s0,A_dice,15_g,0.0,2.08,33,0.78796,0.774,155,56
A_dice_s0,A_dice,15_g,0.0,5.21,83,0.78781,0.77398,155,57
A_dice_s0,A_dice,15_g,0.0,10.42,167,0.7876,0.7737,155,58
A_dice_s0,A_dice,15_g,2.08,0.0,0,0.7891,0.77696,66,48
A_dice_s0,A_dice,15_g,2.08,0.21,3,0.7891,0.77691,66,53
A_dice_s0,A_dice,15_g,2.08,0.52,8,0.78914,0.77703,66,55
A_dice_s0,A_dice,15_g,2.08,1.04,17,0.78918,0.7772,66,56
A_dice_s0,A_dice,15_g,2.08,2.08,33,0.78918,0.7772,66,56
A_dice_s0,A_dice,15_g,2.08,5.21,83,0.78902,0.77719,66,57
A_dice_s0,A_dice,15_g,2.08,10.42,167,0.78882,0.77691,66,58
A_dice_s0,A_dice,15_h,0.0,0.0,0,0.85384,0.90278,167,11
A_dice_s0,A_dice,15_h,0.0,0.21,3,0.85385,0.90278,167,15
A_dice_s0,A_dice,15_h,0.0,0.52,8,0.85386,0.90281,167,16
A_dice_s0,A_dice,15_h,0.0,1.04,17,0.85391,0.90285,167,17
A_dice_s0,A_dice,15_h,0.0,2.08,33,0.85391,0.90285,167,17
A_dice_s0,A_dice,15_h,0.0,5.21,83,0.85372,0.90266,167,17
A_dice_s0,A_dice,15_h,0.0,10.42,167,0.85372,0.90266,167,17
A_dice_s0,A_dice,15_h,2.08,0.0,0,0.85567,0.9092,70,11
A_dice_s0,A_dice,15_h,2.08,0.21,3,0.85568,0.90921,70,15
A_dice_s0,A_dice,15_h,2.08,0.52,8,0.85569,0.90924,70,16
A_dice_s0,A_dice,15_h,2.08,1.04,17,0.85574,0.90929,70,17
