image,width_multiple,min_size,dice,cldice,betti0_err,betti1_err
test_071.png,0.0,0,0.82128,0.97964,12,3
test_071.png,0.21,8,0.82133,0.98028,3,3
test_071.png,0.52,19,0.82133,0.98028,3,3
test_071.png,1.04,37,0.82141,0.98088,1,3
test_071.png,2.08,75,0.82173,0.98173,0,3
test_071.png,5.21,188,0.82173,0.98173,0,3
test_071.png,10.42,375,0.82173,0.98173,0,3
test_072.png,0.0,0,0.90858,0.96759,26,5
test_072.png,0.21,8,0.90871,0.96924,10,5
test_072.png,0.52,19,0.909,0.97075,5,5
test_072.png,1.04,37,0.90892,0.97088,3,5
test_072.png,2.08,75,0.90922,0.9715,2,5
test_072.png,5.21,188,0.91002,0.97296,1,5
test_072.png,10.42,375,0.90871,0.97119,0,5
test_073.png,0.0,0,0.93874,0.99088,1,7
test_073.png,0.21,8,0.93874,0.99088,1,7
test_073.png,0.52,19,0.93874,0.99088,1,7
test_073.png,1.04,37,0.93874,0.99088,1,7
test_073.png,2.08,75,0.93874,0.99088,1,7
test_073.png,5.21,188,0.93874,0.99088,1,7
test_073.png,10.42,375,0.93874,0.99088,1,7
test_074.png,0.0,0,0.97213,0.99618,6,3
test_074.png,0.21,8,0.97219,0.99659,0,3
test_074.png,0.52,19,0.97219,0.99659,0,3
test_074.png,1.04,37,0.97219,0.99659,0,3
test_074.png,2.08,75,0.97219,0.99659,0,3
test_074.png,5.21,188,0.97219,0.99659,0,3
test_074.png,10.42,375,0.97219,0.99659,0,3
test_075.png,0.0,0,0.92414,0.99384,6,0
test_075.png,0.21,8,0.92421,0.99406,3,0
test_075.png,0.52,19,0.92432,0.99505,1,0
test_075.png,1.04,37,0.92444,0.99572,0,0
test_075.png,2.08,75,0.92444,0.99572,0,0
test_075.png,5.21,188,0.92444,0.99572,0,0
test_075.png,10.42,375,0.92444,0.99572,0,0
test_076.png,0.0,0,0.88515,0.9977,0,0
test_076.png,0.21,8,0.88515,0.9977,0,0
test_076.png,0.52,19,0.88515,0.9977,0,0
test_076.png,1.04,37,0.88515,0.9977,0,0
test_076.png,2.08,75,0.88515,0.9977,0,0
test_076.png,5.21,188,0.88515,0.9977,0,0
test_076.png,10.42,375,0.88515,0.9977,0,0
test_077.png,0.0,0,0.91768,0.99996,0,0
test_077.png,0.21,8,0.91768,0.99996,0,0
test_077.png,0.52,19,0.91768,0.99996,0,0
test_077.png,1.04,37,0.91768,0.99996,0,0
test_077.png,2.08,75,0.91768,0.99996,0,0
test_077.png,5.21,188,0.91768,0.99996,0,0
test_077.png,10.42,375,0.91768,0.99996,0,0
test_078.png,0.0,0,0.84045,0.97905,7,1
test_078.png,0.21,8,0.84053,0.97943,2,1
test_078.png,0.52,19,0.84061,0.97948,1,1
test_078.png,1.04,37,0.84083,0.98033,0,1
test_078.png,2.08,75,0.84083,0.98033,0,1
test_078.png,5.21,188,0.84083,0.98033,0,1
test_078.png,10.42,375,0.84083,0.98033,0,1
test_079.png,0.0,0,0.93016,0.99106,4,3
test_079.png,0.21,8,0.93018,0.99137,1,3
test_079.png,0.52,19,0.93026,0.99252,0,3
test_079.png,1.04,37,0.93026,0.99252,0,3
test_079.png,2.08,75,0.93026,0.99252,0,3
test_079.png,5.21,188,0.93026,0.99252,0,3
test_079.png,10.42,375,0.93026,0.99252,0,3
test_080.png,0.0,0,0.86131,0.99603,1,0
test_080.png,0.21,8,0.86131,0.99603,1,0
test_080.png,0.52,19,0.86131,0.99603,1,0
test_080.png,1.04,37,0.86131,0.99603,1,0
test_080.png,2.08,75,0.86131,0.99603,1,0
test_080.png,5.21,188,0.86188,0.9967,0,1
test_080.png,10.42,375,0.86188,0.9967,0,1
test_081.png,0.0,0,0.84457,0.98492,13,2
test_081.png,0.21,8,0.84465,0.98556,4,2
test_081.png,0.52,19,0.84474,0.98586,1,2
test_081.png,1.04,37,0.84492,0.98611,0,2
test_081.png,2.08,75,0.84492,0.98611,0,2
test_081.png,5.21,188,0.84492,0.98611,0,2
test_081.png,10.42,375,0.84492,0.98611,0,2
test_082.png,0.0,0,0.82833,0.9717,27,41
test_082.png,0.21,8,0.82838,0.97202,4,41
test_082.png,0.52,19,0.82824,0.97174,2,41
test_082.png,1.04,37,0.82836,0.97208,1,41
test_082.png,2.08,75,0.82811,0.97161,0,41
test_082.png,5.21,188,0.82811,0.97161,0,41
test_082.png,10.42,375,0.82811,0.97161,0,41
test_083.png,0.0,0,0.93802,0.98585,11,2
test_083.png,0.21,8,0.93801,0.98601,7,2
test_083.png,0.52,19,0.93791,0.98601,6,2
test_083.png,1.04,37,0.93768,0.986,4,2
test_083.png,2.08,75,0.93763,0.98676,2,2
test_083.png,5.21,188,0.93768,0.98745,0,2
test_083.png,10.42,375,0.93768,0.98745,0,2
test_084.png,0.0,0,0.96488,0.99812,3,2
test_084.png,0.21,8,0.96488,0.99822,1,2
test_084.png,0.52,19,0.96483,0.99807,0,2
test_084.png,1.04,37,0.96483,0.99807,0,2
test_084.png,2.08,75,0.96483,0.99807,0,2
test_084.png,5.21,188,0.96483,0.99807,0,2
test_084.png,10.42,375,0.96483,0.99807,0,2
test_085.png,0.0,0,0.92484,0.997,1,1
test_085.png,0.21,8,0.92484,0.997,1,1
test_085.png,0.52,19,0.9249,0.9973,0,1
test_085.png,1.04,37,0.9249,0.9973,0,1
test_085.png,2.08,75,0.9249,0.9973,0,1
test_085.png,5.21,188,0.9249,0.9973,0,1
test_085.png,10.42,375,0.9249,0.9973,0,1
test_086.png,0.0,0,0.91764,0.98491,1,6
test_086.png,0.21,8,0.91765,0.98496,0,6
test_086.png,0.52,19,0.91765,0.98496,0,6
test_086.png,1.04,37,0.91765,0.98496,0,6
test_086.png,2.08,75,0.91765,0.98496,0,6
test_086.png,5.21,188,0.91765,0.98496,0,6
test_086.png,10.42,375,0.91765,0.98496,0,6
test_087.png,0.0,0,0.84889,0.97746,18,5
test_087.png,0.21,8,0.84901,0.9784,7,5
test_087.png,0.52,19,0.8491,0.97875,5,5
test_087.png,1.04,37,0.84934,0.97938,3,5
test_087.png,2.08,75,0.85003,0.98032,0,5
test_087.png,5.21,188,0.85003,0.98032,0,5
test_087.png,10.42,375,0.85003,0.98032,0,5
test_088.png,0.0,0,0.91525,0.98908,6,3
test_088.png,0.21,8,0.91538,0.99065,1,3
test_088.png,0.52,19,0.91538,0.99065,1,3
test_088.png,1.04,37,0.91555,0.99118,0,3
test_088.png,2.08,75,0.91555,0.99118,0,3
test_088.png,5.21,188,0.91555,0.99118,0,3
test_088.png,10.42,375,0.91555,0.99118,0,3
test_089.png,0.0,0,0.86277,0.99101,6,6
test_089.png,0.21,8,0.8628,0.99155,0,6
test_089.png,0.52,19,0.8628,0.99155,0,6
test_089.png,1.04,37,0.8628,0.99155,0,6
test_089.png,2.08,75,0.8628,0.99155,0,6
test_089.png,5.21,188,0.8628,0.99155,0,6
test_089.png,10.42,375,0.8604,0.98459,1,6
test_090.png,0.0,0,0.83756,0.97509,20,5
test_090.png,0.21,8,0.83759,0.97576,8,5
test_090.png,0.52,19,0.83782,0.97634,3,5
test_090.png,1.04,37,0.83736,0.97552,0,6
test_090.png,2.08,75,0.83736,0.97552,0,6
test_090.png,5.21,188,0.83736,0.97552,0,6
test_090.png,10.42,375,0.83736,0.97552,0,6
test_091.png,0.0,0,0.88414,0.98582,9,6
test_091.png,0.21,8,0.88416,0.98608,0,6
test_091.png,0.52,19,0.88416,0.98608,0,6
test_091.png,1.04,37,0.88416,0.98608,0,6
test_091.png,2.08,75,0.88416,0.98608,0,6
test_091.png,5.21,188,0.88416,0.98608,0,6
test_091.png,10.42,375,0.88416,0.98608,0,6
test_092.png,0.0,0,0.95036,0.99723,4,0
test_092.png,0.21,8,0.9504,0.99766,2,0
test_092.png,0.52,19,0.95046,0.99842,1,0
test_092.png,1.04,37,0.95062,0.99891,0,0
test_092.png,2.08,75,0.95062,0.99891,0,0
test_092.png,5.21,188,0.95062,0.99891,0,0
test_092.png,10.42,375,0.95062,0.99891,0,0
test_093.png,0.0,0,0.96175,0.98546,5,8
test_093.png,0.21,8,0.9618,0.98591,1,8
test_093.png,0.52,19,0.9618,0.98591,1,8
test_093.png,1.04,37,0.9619,0.9864,0,8
test_093.png,2.08,75,0.9619,0.9864,0,8
test_093.png,5.21,188,0.9619,0.9864,0,8
test_093.png,10.42,375,0.9619,0.9864,0,8
test_094.png,0.0,0,0.93521,0.99915,0,0
test_094.png,0.21,8,0.93521,0.99915,0,0
test_094.png,0.52,19,0.93521,0.99915,0,0
test_094.png,1.04,37,0.93521,0.99915,0,0
test_094.png,2.08,75,0.93521,0.99915,0,0
test_094.png,5.21,188,0.93521,0.99915,0,0
test_094.png,10.42,375,0.93521,0.99915,0,0
test_095.png,0.0,0,0.93448,0.99721,0,2
test_095.png,0.21,8,0.93448,0.99721,0,2
test_095.png,0.52,19,0.93448,0.99721,0,2
test_095.png,1.04,37,0.93448,0.99721,0,2
test_095.png,2.08,75,0.93448,0.99721,0,2
test_095.png,5.21,188,0.93448,0.99721,0,2
test_095.png,10.42,375,0.93448,0.99721,0,2
test_096.png,0.0,0,0.903,0.99724,1,0
test_096.png,0.21,8,0.903,0.99724,1,0
test_096.png,0.52,19,0.903,0.99724,1,0
test_096.png,1.04,37,0.90317,0.99824,0,0
test_096.png,2.08,75,0.90317,0.99824,0,0
test_096.png,5.21,188,0.90317,0.99824,0,0
test_096.png,10.42,375,0.90317,0.99824,0,0
test_097.png,0.0,0,0.89335,0.99195,5,0
test_097.png,0.21,8,0.89337,0.99216,2,0
test_097.png,0.52,19,0.89347,0.99248,0,0
test_097.png,1.04,37,0.89347,0.99248,0,0
test_097.png,2.08,75,0.89347,0.99248,0,0
test_097.png,5.21,188,0.89347,0.99248,0,0
test_097.png,10.42,375,0.89347,0.99248,0,0
test_098.png,0.0,0,0.91306,0.972,14,14
test_098.png,0.21,8,0.91314,0.97298,3,14
test_098.png,0.52,19,0.91327,0.97348,1,14
test_098.png,1.04,37,0.91327,0.97348,1,14
test_098.png,2.08,75,0.91355,0.97542,0,14
test_098.png,5.21,188,0.91355,0.97542,0,14
test_098.png,10.42,375,0.91355,0.97542,0,14
test_099.png,0.0,0,0.91206,0.994,4,3
test_099.png,0.21,8,0.91212,0.99429,2,3
test_099.png,0.52,19,0.91234,0.99522,0,3
test_099.png,1.04,37,0.91234,0.99522,0,3
test_099.png,2.08,75,0.91234,0.99522,0,3
test_099.png,5.21,188,0.91234,0.99522,0,3
test_099.png,10.42,375,0.91234,0.99522,0,3
test_100.png,0.0,0,0.95764,0.9965,0,1
test_100.png,0.21,8,0.95764,0.9965,0,1
test_100.png,0.52,19,0.95764,0.9965,0,1
test_100.png,1.04,37,0.95764,0.9965,0,1
test_100.png,2.08,75,0.95764,0.9965,0,1
test_100.png,5.21,188,0.95764,0.9965,0,1
test_100.png,10.42,375,0.95764,0.9965,0,1
test_101.png,0.0,0,0.9234,0.99773,1,2
test_101.png,0.21,8,0.92341,0.99778,0,2
test_101.png,0.52,19,0.92341,0.99778,0,2
test_101.png,1.04,37,0.92341,0.99778,0,2
test_101.png,2.08,75,0.92341,0.99778,0,2
test_101.png,5.21,188,0.92341,0.99778,0,2
test_101.png,10.42,375,0.92341,0.99778,0,2
test_102.png,0.0,0,0.88708,0.98439,12,2
test_102.png,0.21,8,0.88716,0.98505,4,2
test_102.png,0.52,19,0.88716,0.98505,4,2
test_102.png,1.04,37,0.8876,0.9866,1,2
test_102.png,2.08,75,0.8876,0.9866,1,2
test_102.png,5.21,188,0.8876,0.9866,1,2
test_102.png,10.42,375,0.88741,0.98629,0,1
test_103.png,0.0,0,0.8736,0.98146,16,1
test_103.png,0.21,8,0.8738,0.98343,4,1
test_103.png,0.52,19,0.87387,0.98408,3,1
test_103.png,1.04,37,0.87409,0.98474,2,1
test_103.png,2.08,75,0.87449,0.98651,1,1
test_103.png,5.21,188,0.87536,0.9879,0,1
test_103.png,10.42,375,0.87536,0.9879,0,1
test_104.png,0.0,0,0.86261,0.97863,14,11
test_104.png,0.21,8,0.86271,0.97964,1,11
test_104.png,0.52,19,0.86271,0.97964,1,11
test_104.png,1.04,37,0.86271,0.97964,1,11
test_104.png,2.08,75,0.86245,0.97936,0,11
test_104.png,5.21,188,0.86245,0.97936,0,11
test_104.png,10.42,375,0.86245,0.97936,0,11
test_105.png,0.0,0,0.96598,0.99996,0,0
