image,width_multiple,min_size,dice,cldice,betti0_err,betti1_err
test_071.png,0.0,0,0.81955,0.98362,1,2
test_071.png,0.21,8,0.81955,0.98362,1,2
test_071.png,0.52,19,0.81955,0.98362,1,2
test_071.png,1.04,37,0.81967,0.98413,0,2
test_071.png,2.08,75,0.81967,0.98413,0,2
test_071.png,5.21,188,0.81967,0.98413,0,2
test_071.png,10.42,375,0.81967,0.98413,0,2
test_072.png,0.0,0,0.91241,0.97711,15,3
test_072.png,0.21,8,0.91243,0.97757,10,3
test_072.png,0.52,19,0.91247,0.97796,6,3
test_072.png,1.04,37,0.91285,0.97942,3,3
test_072.png,2.08,75,0.91285,0.97942,3,3
test_072.png,5.21,188,0.91422,0.98257,1,3
test_072.png,10.42,375,0.9133,0.98137,0,3
test_073.png,0.0,0,0.93729,0.99081,0,4
test_073.png,0.21,8,0.93732,0.9909,1,4
test_073.png,0.52,19,0.93732,0.9909,1,4
test_073.png,1.04,37,0.93732,0.9909,1,4
test_073.png,2.08,75,0.93732,0.9909,1,4
test_073.png,5.21,188,0.93732,0.9909,1,4
test_073.png,10.42,375,0.93732,0.9909,1,4
test_074.png,0.0,0,0.97122,0.99629,1,3
test_074.png,0.21,8,0.97122,0.99629,1,3
test_074.png,0.52,19,0.97132,0.99662,0,3
test_074.png,1.04,37,0.97132,0.99662,0,3
test_074.png,2.08,75,0.97132,0.99662,0,3
test_074.png,5.21,188,0.97132,0.99662,0,3
test_074.png,10.42,375,0.97132,0.99662,0,3
test_075.png,0.0,0,0.91981,0.99481,0,1
test_075.png,0.21,8,0.91981,0.99481,0,1
test_075.png,0.52,19,0.91981,0.99481,0,1
test_075.png,1.04,37,0.91981,0.99481,0,1
test_075.png,2.08,75,0.91981,0.99481,0,1
test_075.png,5.21,188,0.91981,0.99481,0,1
test_075.png,10.42,375,0.91981,0.99481,0,1
test_076.png,0.0,0,0.89142,0.99809,0,0
test_076.png,0.21,8,0.89142,0.99809,0,0
test_076.png,0.52,19,0.89142,0.99809,0,0
test_076.png,1.04,37,0.89142,0.99809,0,0
test_076.png,2.08,75,0.89142,0.99809,0,0
test_076.png,5.21,188,0.89142,0.99809,0,0
test_076.png,10.42,375,0.89142,0.99809,0,0
test_077.png,0.0,0,0.91806,0.99996,0,0
test_077.png,0.21,8,0.91806,0.99996,0,0
test_077.png,0.52,19,0.91806,0.99996,0,0
test_077.png,1.04,37,0.91806,0.99996,0,0
test_077.png,2.08,75,0.91806,0.99996,0,0
test_077.png,5.21,188,0.91806,0.99996,0,0
test_077.png,10.42,375,0.91806,0.99996,0,0
test_078.png,0.0,0,0.83683,0.98565,1,1
test_078.png,0.21,8,0.83683,0.98565,1,1
test_078.png,0.52,19,0.83695,0.98608,0,1
test_078.png,1.04,37,0.83695,0.98608,0,1
test_078.png,2.08,75,0.83695,0.98608,0,1
test_078.png,5.21,188,0.83695,0.98608,0,1
test_078.png,10.42,375,0.83695,0.98608,0,1
test_079.png,0.0,0,0.92739,0.99439,1,4
test_079.png,0.21,8,0.92743,0.99491,0,4
test_079.png,0.52,19,0.92743,0.99491,0,4
test_079.png,1.04,37,0.92743,0.99491,0,4
test_079.png,2.08,75,0.92743,0.99491,0,4
test_079.png,5.21,188,0.92743,0.99491,0,4
test_079.png,10.42,375,0.92743,0.99491,0,4
test_080.png,0.0,0,0.85837,0.99705,1,0
test_080.png,0.21,8,0.85837,0.99705,1,0
test_080.png,0.52,19,0.85845,0.99723,0,0
test_080.png,1.04,37,0.85845,0.99723,0,0
test_080.png,2.08,75,0.85845,0.99723,0,0
test_080.png,5.21,188,0.85845,0.99723,0,0
test_080.png,10.42,375,0.85845,0.99723,0,0
test_081.png,0.0,0,0.84073,0.98868,2,1
test_081.png,0.21,8,0.84075,0.98883,0,1
test_081.png,0.52,19,0.84075,0.98883,0,1
test_081.png,1.04,37,0.84075,0.98883,0,1
test_081.png,2.08,75,0.84075,0.98883,0,1
test_081.png,5.21,188,0.84075,0.98883,0,1
test_081.png,10.42,375,0.84075,0.98883,0,1
test_082.png,0.0,0,0.8232,0.97344,14,44
test_082.png,0.21,8,0.8231,0.97336,9,44
test_082.png,0.52,19,0.82307,0.97325,4,44
test_082.png,1.04,37,0.82284,0.97326,1,44
test_082.png,2.08,75,0.82278,0.97303,0,44
test_082.png,5.21,188,0.82278,0.97303,0,44
test_082.png,10.42,375,0.82278,0.97303,0,44
test_083.png,0.0,0,0.9398,0.99291,5,7
test_083.png,0.21,8,0.93981,0.99307,3,7
test_083.png,0.52,19,0.9398,0.99323,1,7
test_083.png,1.04,37,0.9398,0.99323,1,7
test_083.png,2.08,75,0.9398,0.99323,1,7
test_083.png,5.21,188,0.93934,0.99272,0,7
test_083.png,10.42,375,0.93934,0.99272,0,7
test_084.png,0.0,0,0.96412,0.99855,0,0
test_084.png,0.21,8,0.96412,0.99855,0,0
test_084.png,0.52,19,0.96412,0.99855,0,0
test_084.png,1.04,37,0.96412,0.99855,0,0
test_084.png,2.08,75,0.96412,0.99855,0,0
test_084.png,5.21,188,0.96412,0.99855,0,0
test_084.png,10.42,375,0.96412,0.99855,0,0
test_085.png,0.0,0,0.91706,0.99809,0,0
test_085.png,0.21,8,0.91706,0.99809,0,0
test_085.png,0.52,19,0.91706,0.99809,0,0
test_085.png,1.04,37,0.91706,0.99809,0,0
test_085.png,2.08,75,0.91706,0.99809,0,0
test_085.png,5.21,188,0.91706,0.99809,0,0
test_085.png,10.42,375,0.91706,0.99809,0,0
test_086.png,0.0,0,0.91184,0.98779,1,1
test_086.png,0.21,8,0.91184,0.98779,1,1
test_086.png,0.52,19,0.9119,0.98794,0,1
test_086.png,1.04,37,0.9119,0.98794,0,1
test_086.png,2.08,75,0.9119,0.98794,0,1
test_086.png,5.21,188,0.9119,0.98794,0,1
test_086.png,10.42,375,0.9119,0.98794,0,1
test_087.png,0.0,0,0.84688,0.98277,5,5
test_087.png,0.21,8,0.84692,0.98304,2,5
test_087.png,0.52,19,0.84703,0.98345,0,5
test_087.png,1.04,37,0.84703,0.98345,0,5
test_087.png,2.08,75,0.84703,0.98345,0,5
test_087.png,5.21,188,0.84703,0.98345,0,5
test_087.png,10.42,375,0.84703,0.98345,0,5
test_088.png,0.0,0,0.90889,0.98728,4,1
test_088.png,0.21,8,0.90887,0.98745,1,1
test_088.png,0.52,19,0.90898,0.98866,0,1
test_088.png,1.04,37,0.90898,0.98866,0,1
