image,width_multiple,min_size,dice,cldice,betti0_err,betti1_err
test_071.png,0.0,0,0.82416,0.98071,6,6
test_071.png,0.21,8,0.82417,0.9809,2,6
test_071.png,0.52,19,0.82421,0.981,1,6
test_071.png,1.04,37,0.82433,0.98145,0,6
test_071.png,2.08,75,0.82433,0.98145,0,6
test_071.png,5.21,188,0.82433,0.98145,0,6
test_071.png,10.42,375,0.82433,0.98145,0,6
test_072.png,0.0,0,0.90519,0.96066,37,17
test_072.png,0.21,8,0.90528,0.96194,11,17
test_072.png,0.52,19,0.9056,0.96329,6,17
test_072.png,1.04,37,0.9056,0.96329,6,17
test_072.png,2.08,75,0.90603,0.96476,4,17
test_072.png,5.21,188,0.90764,0.96889,1,16
test_072.png,10.42,375,0.90666,0.96811,0,16
test_073.png,0.0,0,0.93717,0.99034,3,3
test_073.png,0.21,8,0.93723,0.99053,1,3
test_073.png,0.52,19,0.93723,0.99053,1,3
test_073.png,1.04,37,0.93723,0.99053,1,3
test_073.png,2.08,75,0.93723,0.99053,1,3
test_073.png,5.21,188,0.93723,0.99053,1,3
test_073.png,10.42,375,0.93723,0.99053,1,3
test_074.png,0.0,0,0.97133,0.99666,3,3
test_074.png,0.21,8,0.97135,0.99677,0,3
test_074.png,0.52,19,0.97135,0.99677,0,3
test_074.png,1.04,37,0.97135,0.99677,0,3
test_074.png,2.08,75,0.97135,0.99677,0,3
test_074.png,5.21,188,0.97135,0.99677,0,3
test_074.png,10.42,375,0.97135,0.99677,0,3
test_075.png,0.0,0,0.91885,0.9945,3,1
test_075.png,0.21,8,0.91889,0.99489,1,1
test_075.png,0.52,19,0.91894,0.99505,0,1
test_075.png,1.04,37,0.91894,0.99505,0,1
test_075.png,2.08,75,0.91894,0.99505,0,1
test_075.png,5.21,188,0.91894,0.99505,0,1
test_075.png,10.42,375,0.91894,0.99505,0,1
test_076.png,0.0,0,0.88552,0.99779,2,1
test_076.png,0.21,8,0.88555,0.99787,0,1
test_076.png,0.52,19,0.88555,0.99787,0,1
test_076.png,1.04,37,0.88555,0.99787,0,1
test_076.png,2.08,75,0.88555,0.99787,0,1
test_076.png,5.21,188,0.88555,0.99787,0,1
test_076.png,10.42,375,0.88555,0.99787,0,1
test_077.png,0.0,0,0.91637,0.99991,0,0
test_077.png,0.21,8,0.91637,0.99991,0,0
test_077.png,0.52,19,0.91637,0.99991,0,0
test_077.png,1.04,37,0.91637,0.99991,0,0
test_077.png,2.08,75,0.91637,0.99991,0,0
test_077.png,5.21,188,0.91637,0.99991,0,0
test_077.png,10.42,375,0.91637,0.99991,0,0
test_078.png,0.0,0,0.84725,0.98343,2,0
test_078.png,0.21,8,0.84727,0.98352,1,0
test_078.png,0.52,19,0.84737,0.98369,0,0
test_078.png,1.04,37,0.84737,0.98369,0,0
test_078.png,2.08,75,0.84737,0.98369,0,0
test_078.png,5.21,188,0.84737,0.98369,0,0
test_078.png,10.42,375,0.84737,0.98369,0,0
test_079.png,0.0,0,0.92904,0.99179,8,6
test_079.png,0.21,8,0.92912,0.99326,1,6
test_079.png,0.52,19,0.92922,0.99347,0,6
test_079.png,1.04,37,0.92922,0.99347,0,6
test_079.png,2.08,75,0.92922,0.99347,0,6
test_079.png,5.21,188,0.92922,0.99347,0,6
test_079.png,10.42,375,0.92922,0.99347,0,6
test_080.png,0.0,0,0.86285,0.99714,2,1
test_080.png,0.21,8,0.86285,0.99719,1,1
test_080.png,0.52,19,0.86296,0.99737,0,1
test_080.png,1.04,37,0.86296,0.99737,0,1
test_080.png,2.08,75,0.86296,0.99737,0,1
test_080.png,5.21,188,0.86296,0.99737,0,1
test_080.png,10.42,375,0.86296,0.99737,0,1
test_081.png,0.0,0,0.84463,0.98709,3,2
test_081.png,0.21,8,0.84464,0.98714,2,2
test_081.png,0.52,19,0.84474,0.98735,0,2
test_081.png,1.04,37,0.84474,0.98735,0,2
test_081.png,2.08,75,0.84474,0.98735,0,2
test_081.png,5.21,188,0.84474,0.98735,0,2
test_081.png,10.42,375,0.84474,0.98735,0,2
test_082.png,0.0,0,0.82855,0.97197,27,32
test_082.png,0.21,8,0.82854,0.97227,6,32
test_082.png,0.52,19,0.82847,0.97224,3,32
test_082.png,1.04,37,0.82837,0.97196,2,32
test_082.png,2.08,75,0.82893,0.97284,0,33
test_082.png,5.21,188,0.82893,0.97284,0,33
test_082.png,10.42,375,0.82893,0.97284,0,33
test_083.png,0.0,0,0.938,0.98383,15,8
test_083.png,0.21,8,0.93791,0.98397,4,8
test_083.png,0.52,19,0.93796,0.98424,3,8
test_083.png,1.04,37,0.93829,0.98547,1,8
test_083.png,2.08,75,0.9385,0.98627,0,7
test_083.png,5.21,188,0.9385,0.98627,0,7
test_083.png,10.42,375,0.9385,0.98627,0,7
test_084.png,0.0,0,0.96512,0.99797,1,1
test_084.png,0.21,8,0.96513,0.99802,0,1
test_084.png,0.52,19,0.96513,0.99802,0,1
test_084.png,1.04,37,0.96513,0.99802,0,1
test_084.png,2.08,75,0.96513,0.99802,0,1
test_084.png,5.21,188,0.96513,0.99802,0,1
test_084.png,10.42,375,0.96513,0.99802,0,1
test_085.png,0.0,0,0.91601,0.99804,0,0
test_085.png,0.21,8,0.91601,0.99804,0,0
test_085.png,0.52,19,0.91601,0.99804,0,0
test_085.png,1.04,37,0.91601,0.99804,0,0
test_085.png,2.08,75,0.91601,0.99804,0,0
test_085.png,5.21,188,0.91601,0.99804,0,0
test_085.png,10.42,375,0.91601,0.99804,0,0
test_086.png,0.0,0,0.90993,0.9835,4,9
test_086.png,0.21,8,0.90998,0.9839,0,9
test_086.png,0.52,19,0.90998,0.9839,0,9
test_086.png,1.04,37,0.90998,0.9839,0,9
test_086.png,2.08,75,0.90998,0.9839,0,9
test_086.png,5.21,188,0.90998,0.9839,0,9
test_086.png,10.42,375,0.90998,0.9839,0,9
test_087.png,0.0,0,0.84243,0.96739,26,12
test_087.png,0.21,8,0.84261,0.96873,6,12
test_087.png,0.52,19,0.84292,0.96934,1,12
test_087.png,1.04,37,0.84309,0.96995,0,12
test_087.png,2.08,75,0.84309,0.96995,0,12
test_087.png,5.21,188,0.84309,0.96995,0,12
test_087.png,10.42,375,0.84309,0.96995,0,12
test_088.png,0.0,0,0.91233,0.99192,4,2
test_088.png,0.21,8,0.91237,0.99245,2,2
test_088.png,0.52,19,0.91246,0.99351,1,2
