run,config,image,operation,width_fraction,radius_px,dice,cldice,betti0_err,betti1_err,betti1_signed
A_dice_s0,A_dice,test_071.png,closing,0.0,0,0.82173,0.98173,0,3,-3
A_dice_s0,A_dice,test_071.png,closing,0.25,2,0.81468,0.97293,2,5,-5
A_dice_s0,A_dice,test_071.png,closing,0.5,3,0.81102,0.96717,0,5,-5
A_dice_s0,A_dice,test_071.png,closing,0.75,4,0.80645,0.96113,0,5,-5
A_dice_s0,A_dice,test_071.png,closing,1.0,6,0.7967,0.95434,4,6,-6
A_dice_s0,A_dice,test_071.png,closing,1.5,9,0.7724,0.94281,3,5,-5
A_dice_s0,A_dice,test_071.png,closing,2.0,12,0.5731,0.69843,6,10,10
A_dice_s0,A_dice,test_071.png,bridge_only,0.0,0,0.82173,0.98173,0,3,-3
A_dice_s0,A_dice,test_071.png,bridge_only,0.25,2,0.8161,0.97147,2,5,-5
A_dice_s0,A_dice,test_071.png,bridge_only,0.5,3,0.81344,0.96633,1,5,-5
A_dice_s0,A_dice,test_071.png,bridge_only,0.75,4,0.81038,0.96023,1,5,-5
A_dice_s0,A_dice,test_071.png,bridge_only,1.0,6,0.80426,0.95301,4,6,-6
A_dice_s0,A_dice,test_071.png,bridge_only,1.5,9,0.78994,0.9417,4,5,-5
A_dice_s0,A_dice,test_071.png,bridge_only,2.0,12,0.6995,0.86043,6,2,2
A_dice_s0,A_dice,test_072.png,closing,0.0,0,0.90922,0.9715,2,5,5
A_dice_s0,A_dice,test_072.png,closing,0.25,2,0.90217,0.97782,2,5,-5
A_dice_s0,A_dice,test_072.png,closing,0.5,3,0.89825,0.97766,0,4,-4
A_dice_s0,A_dice,test_072.png,closing,0.75,4,0.89366,0.97517,0,4,-4
A_dice_s0,A_dice,test_072.png,closing,1.0,6,0.88333,0.94487,1,2,-2
A_dice_s0,A_dice,test_072.png,closing,1.5,9,0.86553,0.93656,2,2,-2
A_dice_s0,A_dice,test_072.png,closing,2.0,12,0.83629,0.91762,1,2,-2
A_dice_s0,A_dice,test_072.png,bridge_only,0.0,0,0.90922,0.9715,2,5,5
A_dice_s0,A_dice,test_072.png,bridge_only,0.25,2,0.90125,0.97455,2,4,4
A_dice_s0,A_dice,test_072.png,bridge_only,0.5,3,0.897,0.97449,0,5,5
A_dice_s0,A_dice,test_072.png,bridge_only,0.75,4,0.89224,0.97172,0,5,5
A_dice_s0,A_dice,test_072.png,bridge_only,1.0,6,0.88193,0.94024,1,7,7
A_dice_s0,A_dice,test_072.png,bridge_only,1.5,9,0.86686,0.93164,2,4,4
A_dice_s0,A_dice,test_072.png,bridge_only,2.0,12,0.84847,0.91706,0,5,5
A_dice_s0,A_dice,test_073.png,closing,0.0,0,0.93874,0.99088,1,7,7
A_dice_s0,A_dice,test_073.png,closing,0.25,2,0.92705,0.99028,1,1,-1
A_dice_s0,A_dice,test_073.png,closing,0.5,3,0.91814,0.9876,1,0,0
A_dice_s0,A_dice,test_073.png,closing,0.75,4,0.90158,0.98191,0,1,-1
