run,config,image,component_multiple,hole_multiple,hole_area,dice,cldice,betti0_err,betti1_err
A_dice_s0,A_dice,test_071.png,0.0,0.0,0,0.82128,0.97964,12,3
A_dice_s0,A_dice,test_071.png,0.0,0.21,8,0.82125,0.97964,12,3
A_dice_s0,A_dice,test_071.png,0.0,0.52,19,0.82112,0.97964,12,3
A_dice_s0,A_dice,test_071.png,0.0,1.04,37,0.82112,0.97964,12,3
A_dice_s0,A_dice,test_071.png,0.0,2.08,75,0.82112,0.97964,12,3
A_dice_s0,A_dice,test_071.png,0.0,5.21,188,0.81975,0.97962,12,3
A_dice_s0,A_dice,test_071.png,0.0,10.42,375,0.81799,0.97769,12,3
A_dice_s0,A_dice,test_071.png,2.08,0.0,0,0.82173,0.98173,0,3
A_dice_s0,A_dice,test_071.png,2.08,0.21,8,0.8217,0.98173,0,3
A_dice_s0,A_dice,test_071.png,2.08,0.52,19,0.82157,0.98173,0,3
A_dice_s0,A_dice,test_071.png,2.08,1.04,37,0.82157,0.98173,0,3
A_dice_s0,A_dice,test_071.png,2.08,2.08,75,0.82157,0.98173,0,3
A_dice_s0,A_dice,test_071.png,2.08,5.21,188,0.8202,0.98172,0,3
A_dice_s0,A_dice,test_071.png,2.08,10.42,375,0.81844,0.97979,0,3
A_dice_s0,A_dice,test_072.png,0.0,0.0,0,0.90858,0.96759,26,5
A_dice_s0,A_dice,test_072.png,0.0,0.21,8,0.90863,0.96859,26,4
A_dice_s0,A_dice,test_072.png,0.0,0.52,19,0.9086,0.96859,26,4
A_dice_s0,A_dice,test_072.png,0.0,1.04,37,0.90874,0.96923,26,5
A_dice_s0,A_dice,test_072.png,0.0,2.08,75,0.90876,0.96914,26,5
A_dice_s0,A_dice,test_072.png,0.0,5.21,188,0.90933,0.97019,25,5
A_dice_s0,A_dice,test_072.png,0.0,10.42,375,0.9057,0.96947,25,5
A_dice_s0,A_dice,test_072.png,2.08,0.0,0,0.90922,0.9715,2,5
A_dice_s0,A_dice,test_072.png,2.08,0.21,8,0.90927,0.97254,2,4
A_dice_s0,A_dice,test_072.png,2.08,0.52,19,0.90924,0.97254,2,4
A_dice_s0,A_dice,test_072.png,2.08,1.04,37,0.90937,0.9732,2,5
A_dice_s0,A_dice,test_072.png,2.08,2.08,75,0.9094,0.97313,2,5
A_dice_s0,A_dice,test_072.png,2.08,5.21,188,0.90997,0.97421,2,5
