image,width_multiple,min_size,dice,cldice,betti0_err,betti1_err
test_071.png,0.0,0,0.65039,0.95002,5,12
test_071.png,0.21,8,0.65032,0.95006,1,12
test_071.png,0.52,19,0.65038,0.9503,0,12
test_071.png,1.04,37,0.65038,0.9503,0,12
test_071.png,2.08,75,0.65038,0.9503,0,12
test_071.png,5.21,188,0.65038,0.9503,0,12
test_071.png,10.42,375,0.65038,0.9503,0,12
test_072.png,0.0,0,0.46248,0.89434,36,21
test_072.png,0.21,8,0.46228,0.89516,15,21
test_072.png,0.52,19,0.46196,0.8959,10,21
test_072.png,1.04,37,0.4619,0.89648,7,21
test_072.png,2.08,75,0.46216,0.89749,6,21
test_072.png,5.21,188,0.46131,0.89875,3,21
test_072.png,10.42,375,0.45859,0.89439,2,21
test_073.png,0.0,0,0.81272,0.98604,8,5
test_073.png,0.21,8,0.81275,0.98623,4,5
test_073.png,0.52,19,0.81284,0.9864,2,5
test_073.png,1.04,37,0.81319,0.98707,1,5
test_073.png,2.08,75,0.81319,0.98707,1,5
test_073.png,5.21,188,0.81319,0.98707,1,5
test_073.png,10.42,375,0.81319,0.98707,1,5
test_074.png,0.0,0,0.64775,0.99038,2,3
test_074.png,0.21,8,0.64769,0.99038,1,3
test_074.png,0.52,19,0.64769,0.99038,1,3
test_074.png,1.04,37,0.64779,0.99078,0,3
test_074.png,2.08,75,0.64779,0.99078,0,3
test_074.png,5.21,188,0.64779,0.99078,0,3
test_074.png,10.42,375,0.64779,0.99078,0,3
test_075.png,0.0,0,0.58622,0.98763,2,2
test_075.png,0.21,8,0.58622,0.98763,2,2
test_075.png,0.52,19,0.58636,0.98813,0,2
test_075.png,1.04,37,0.58636,0.98813,0,2
test_075.png,2.08,75,0.58636,0.98813,0,2
test_075.png,5.21,188,0.58636,0.98813,0,2
test_075.png,10.42,375,0.58636,0.98813,0,2
test_076.png,0.0,0,0.87277,0.99543,1,3
test_076.png,0.21,8,0.87276,0.99543,0,3
test_076.png,0.52,19,0.87276,0.99543,0,3
test_076.png,1.04,37,0.87276,0.99543,0,3
test_076.png,2.08,75,0.87276,0.99543,0,3
test_076.png,5.21,188,0.87276,0.99543,0,3
test_076.png,10.42,375,0.87276,0.99543,0,3
test_077.png,0.0,0,0.6592,0.99242,0,2
test_077.png,0.21,8,0.6592,0.99242,0,2
test_077.png,0.52,19,0.6592,0.99242,0,2
test_077.png,1.04,37,0.6592,0.99242,0,2
test_077.png,2.08,75,0.6592,0.99242,0,2
test_077.png,5.21,188,0.6592,0.99242,0,2
test_077.png,10.42,375,0.6592,0.99242,0,2
test_078.png,0.0,0,0.7853,0.97869,0,1
test_078.png,0.21,8,0.7853,0.97869,0,1
test_078.png,0.52,19,0.7853,0.97869,0,1
test_078.png,1.04,37,0.7853,0.97869,0,1
test_078.png,2.08,75,0.7853,0.97869,0,1
test_078.png,5.21,188,0.7853,0.97869,0,1
test_078.png,10.42,375,0.7853,0.97869,0,1
test_079.png,0.0,0,0.41125,0.95918,1,2
test_079.png,0.21,8,0.41125,0.95918,1,2
test_079.png,0.52,19,0.41125,0.95918,1,2
test_079.png,1.04,37,0.41125,0.95918,1,2
test_079.png,2.08,75,0.41125,0.95918,1,2
test_079.png,5.21,188,0.40873,0.95623,0,2
test_079.png,10.42,375,0.40873,0.95623,0,2
test_080.png,0.0,0,0.78009,0.98986,0,4
test_080.png,0.21,8,0.78009,0.98986,0,4
test_080.png,0.52,19,0.78009,0.98986,0,4
test_080.png,1.04,37,0.78009,0.98986,0,4
test_080.png,2.08,75,0.78009,0.98986,0,4
test_080.png,5.21,188,0.78009,0.98986,0,4
test_080.png,10.42,375,0.78009,0.98986,0,4
test_081.png,0.0,0,0.63156,0.94408,13,17
test_081.png,0.21,8,0.63157,0.94458,5,17
test_081.png,0.52,19,0.63158,0.9447,3,17
test_081.png,1.04,37,0.63126,0.94458,2,17
test_081.png,2.08,75,0.63046,0.94362,1,17
test_081.png,5.21,188,0.63046,0.94362,1,17
test_081.png,10.42,375,0.62837,0.94199,0,17
test_082.png,0.0,0,0.81999,0.95466,19,76
test_082.png,0.21,8,0.81986,0.95456,6,76
test_082.png,0.52,19,0.81983,0.95452,3,76
test_082.png,1.04,37,0.81969,0.95425,0,76
test_082.png,2.08,75,0.81969,0.95425,0,76
test_082.png,5.21,188,0.81969,0.95425,0,76
test_082.png,10.42,375,0.81969,0.95425,0,76
test_083.png,0.0,0,0.48457,0.94529,9,20
test_083.png,0.21,8,0.48435,0.94504,3,20
test_083.png,0.52,19,0.48412,0.94485,2,20
test_083.png,1.04,37,0.48412,0.94485,2,20
test_083.png,2.08,75,0.48412,0.94485,2,20
test_083.png,5.21,188,0.48154,0.94152,0,20
test_083.png,10.42,375,0.48154,0.94152,0,20
test_084.png,0.0,0,0.56689,0.9931,0,1
test_084.png,0.21,8,0.56689,0.9931,0,1
