image,width_multiple,min_size,dice,cldice,betti0_err,betti1_err
test_071.png,0.0,0,0.65716,0.94278,13,16
test_071.png,0.21,8,0.65708,0.94291,9,16
test_071.png,0.52,19,0.65694,0.94265,7,16
test_071.png,1.04,37,0.6573,0.94355,5,16
test_071.png,2.08,75,0.6565,0.94235,4,16
test_071.png,5.21,188,0.65461,0.93994,3,16
test_071.png,10.42,375,0.65461,0.93994,3,16
test_072.png,0.0,0,0.46269,0.89234,41,23
test_072.png,0.21,8,0.46261,0.89268,30,23
test_072.png,0.52,19,0.46206,0.89271,24,23
test_072.png,1.04,37,0.46125,0.89239,20,23
test_072.png,2.08,75,0.46076,0.89378,14,23
test_072.png,5.21,188,0.45191,0.88362,7,23
test_072.png,10.42,375,0.44045,0.87016,4,23
test_073.png,0.0,0,0.82683,0.98857,3,4
test_073.png,0.21,8,0.82683,0.98859,1,4
test_073.png,0.52,19,0.82678,0.98859,0,4
test_073.png,1.04,37,0.82663,0.98834,1,4
test_073.png,2.08,75,0.82663,0.98834,1,4
test_073.png,5.21,188,0.82663,0.98834,1,4
test_073.png,10.42,375,0.82663,0.98834,1,4
test_074.png,0.0,0,0.65059,0.98812,0,2
test_074.png,0.21,8,0.65059,0.98812,0,2
test_074.png,0.52,19,0.65059,0.98812,0,2
test_074.png,1.04,37,0.65059,0.98812,0,2
test_074.png,2.08,75,0.65059,0.98812,0,2
test_074.png,5.21,188,0.65059,0.98812,0,2
test_074.png,10.42,375,0.65059,0.98812,0,2
test_075.png,0.0,0,0.59097,0.98762,1,5
test_075.png,0.21,8,0.59097,0.98762,1,5
test_075.png,0.52,19,0.59103,0.98795,0,5
test_075.png,1.04,37,0.59103,0.98795,0,5
test_075.png,2.08,75,0.59103,0.98795,0,5
test_075.png,5.21,188,0.59103,0.98795,0,5
test_075.png,10.42,375,0.59103,0.98795,0,5
test_076.png,0.0,0,0.88735,0.99724,4,0
test_076.png,0.21,8,0.88736,0.99728,2,0
test_076.png,0.52,19,0.88742,0.99735,1,0
test_076.png,1.04,37,0.88753,0.9977,0,0
test_076.png,2.08,75,0.88753,0.9977,0,0
test_076.png,5.21,188,0.88753,0.9977,0,0
test_076.png,10.42,375,0.88753,0.9977,0,0
test_077.png,0.0,0,0.66443,0.99332,0,1
test_077.png,0.21,8,0.66443,0.99332,0,1
test_077.png,0.52,19,0.66443,0.99332,0,1
test_077.png,1.04,37,0.66443,0.99332,0,1
test_077.png,2.08,75,0.66443,0.99332,0,1
test_077.png,5.21,188,0.66443,0.99332,0,1
test_077.png,10.42,375,0.66443,0.99332,0,1
test_078.png,0.0,0,0.78025,0.96829,0,3
test_078.png,0.21,8,0.78025,0.96829,0,3
test_078.png,0.52,19,0.78025,0.96829,0,3
test_078.png,1.04,37,0.78025,0.96829,0,3
test_078.png,2.08,75,0.78025,0.96829,0,3
test_078.png,5.21,188,0.78025,0.96829,0,3
test_078.png,10.42,375,0.78025,0.96829,0,3
test_079.png,0.0,0,0.41997,0.96947,1,1
test_079.png,0.21,8,0.41997,0.96947,1,1
test_079.png,0.52,19,0.41997,0.96947,1,1
