image,width_multiple,min_size,dice,cldice,betti0_err,betti1_err
test_071.png,0.0,0,0.65226,0.95404,10,10
test_071.png,0.21,8,0.65219,0.95388,4,10
test_071.png,0.52,19,0.65205,0.9537,2,10
test_071.png,1.04,37,0.65205,0.9537,2,10
test_071.png,2.08,75,0.65123,0.95291,1,10
test_071.png,5.21,188,0.65123,0.95291,1,10
test_071.png,10.42,375,0.65123,0.95291,1,10
test_072.png,0.0,0,0.46226,0.90183,30,19
test_072.png,0.21,8,0.46214,0.90255,14,19
test_072.png,0.52,19,0.46193,0.90297,10,19
test_072.png,1.04,37,0.46156,0.9031,8,19
test_072.png,2.08,75,0.46156,0.9031,8,19
test_072.png,5.21,188,0.45618,0.89865,2,19
test_072.png,10.42,375,0.45198,0.89414,1,19
test_073.png,0.0,0,0.82017,0.98659,7,7
test_073.png,0.21,8,0.82016,0.98664,2,7
test_073.png,0.52,19,0.82023,0.98676,1,7
test_073.png,1.04,37,0.82049,0.98724,1,7
test_073.png,2.08,75,0.82049,0.98724,1,7
test_073.png,5.21,188,0.82049,0.98724,1,7
test_073.png,10.42,375,0.82049,0.98724,1,7
test_074.png,0.0,0,0.64715,0.99151,4,1
test_074.png,0.21,8,0.64716,0.99162,1,1
test_074.png,0.52,19,0.64712,0.99154,0,1
test_074.png,1.04,37,0.64712,0.99154,0,1
test_074.png,2.08,75,0.64712,0.99154,0,1
test_074.png,5.21,188,0.64712,0.99154,0,1
test_074.png,10.42,375,0.64712,0.99154,0,1
test_075.png,0.0,0,0.58902,0.99004,2,4
test_075.png,0.21,8,0.58902,0.99004,2,4
test_075.png,0.52,19,0.58912,0.99032,1,4
test_075.png,1.04,37,0.58924,0.99092,0,4
test_075.png,2.08,75,0.58924,0.99092,0,4
test_075.png,5.21,188,0.58924,0.99092,0,4
test_075.png,10.42,375,0.58924,0.99092,0,4
test_076.png,0.0,0,0.87463,0.99604,1,1
test_076.png,0.21,8,0.87463,0.99604,1,1
test_076.png,0.52,19,0.8747,0.99634,0,1
test_076.png,1.04,37,0.8747,0.99634,0,1
test_076.png,2.08,75,0.8747,0.99634,0,1
test_076.png,5.21,188,0.8747,0.99634,0,1
test_076.png,10.42,375,0.8747,0.99634,0,1
test_077.png,0.0,0,0.65705,0.99468,0,1
test_077.png,0.21,8,0.65705,0.99468,0,1
test_077.png,0.52,19,0.65705,0.99468,0,1
test_077.png,1.04,37,0.65705,0.99468,0,1
test_077.png,2.08,75,0.65705,0.99468,0,1
test_077.png,5.21,188,0.65705,0.99468,0,1
test_077.png,10.42,375,0.65705,0.99468,0,1
test_078.png,0.0,0,0.77398,0.96576,2,1
test_078.png,0.21,8,0.77405,0.96609,0,1
test_078.png,0.52,19,0.77405,0.96609,0,1
test_078.png,1.04,37,0.77405,0.96609,0,1
test_078.png,2.08,75,0.77405,0.96609,0,1
test_078.png,5.21,188,0.77405,0.96609,0,1
test_078.png,10.42,375,0.77405,0.96609,0,1
test_079.png,0.0,0,0.41106,0.95315,3,2
test_079.png,0.21,8,0.411,0.95315,2,2
test_079.png,0.52,19,0.411,0.95315,2,2
test_079.png,1.04,37,0.411,0.95315,2,2
test_079.png,2.08,75,0.411,0.95315,2,2
test_079.png,5.21,188,0.40762,0.94872,1,2
test_079.png,10.42,375,0.40762,0.94872,1,2
test_080.png,0.0,0,0.76961,0.98705,1,4
test_080.png,0.21,8,0.76964,0.9871,0,4
test_080.png,0.52,19,0.76964,0.9871,0,4
test_080.png,1.04,37,0.76964,0.9871,0,4
test_080.png,2.08,75,0.76964,0.9871,0,4
test_080.png,5.21,188,0.76964,0.9871,0,4
test_080.png,10.42,375,0.76964,0.9871,0,4
test_081.png,0.0,0,0.63432,0.94788,16,21
test_081.png,0.21,8,0.63428,0.9481,11,21
test_081.png,0.52,19,0.63405,0.94801,7,21
test_081.png,1.04,37,0.63447,0.94916,4,21
test_081.png,2.08,75,0.63315,0.94803,2,21
test_081.png,5.21,188,0.63181,0.94662,1,21
test_081.png,10.42,375,0.63181,0.94662,1,21
test_082.png,0.0,0,0.83605,0.96348,26,47
test_082.png,0.21,8,0.83592,0.96346,9,47
test_082.png,0.52,19,0.83596,0.96367,1,47
test_082.png,1.04,37,0.83596,0.96367,1,47
test_082.png,2.08,75,0.83588,0.96336,0,47
test_082.png,5.21,188,0.83588,0.96336,0,47
test_082.png,10.42,375,0.83588,0.96336,0,47
test_083.png,0.0,0,0.48114,0.95612,9,17
test_083.png,0.21,8,0.48103,0.95612,5,17
test_083.png,0.52,19,0.48103,0.95612,5,17
test_083.png,1.04,37,0.4801,0.95446,2,17
test_083.png,2.08,75,0.4794,0.95372,1,17
test_083.png,5.21,188,0.478,0.9515,0,17
test_083.png,10.42,375,0.478,0.9515,0,17
test_084.png,0.0,0,0.56177,0.99539,0,1
test_084.png,0.21,8,0.56177,0.99539,0,1
test_084.png,0.52,19,0.56177,0.99539,0,1
test_084.png,1.04,37,0.56177,0.99539,0,1
test_084.png,2.08,75,0.56177,0.99539,0,1
test_084.png,5.21,188,0.56177,0.99539,0,1
test_084.png,10.42,375,0.56177,0.99539,0,1
test_085.png,0.0,0,0.61761,0.99556,0,0
test_085.png,0.21,8,0.61761,0.99556,0,0
test_085.png,0.52,19,0.61761,0.99556,0,0
test_085.png,1.04,37,0.61761,0.99556,0,0
test_085.png,2.08,75,0.61761,0.99556,0,0
test_085.png,5.21,188,0.61761,0.99556,0,0
test_085.png,10.42,375,0.61761,0.99556,0,0
test_086.png,0.0,0,0.60109,0.98922,2,2
test_086.png,0.21,8,0.6011,0.98927,1,2
test_086.png,0.52,19,0.60098,0.98942,0,2
test_086.png,1.04,37,0.60098,0.98942,0,2
test_086.png,2.08,75,0.60098,0.98942,0,2
test_086.png,5.21,188,0.60098,0.98942,0,2
test_086.png,10.42,375,0.60098,0.98942,0,2
test_087.png,0.0,0,0.64598,0.93031,22,5
test_087.png,0.21,8,0.64608,0.93122,10,5
test_087.png,0.52,19,0.64603,0.93129,7,5
test_087.png,1.04,37,0.64616,0.932,3,5
test_087.png,2.08,75,0.64577,0.93143,1,5
test_087.png,5.21,188,0.64577,0.93143,1,5
test_087.png,10.42,375,0.64577,0.93143,1,5
test_088.png,0.0,0,0.48913,0.97677,1,2
