run,config,image,component_multiple,hole_multiple,hole_area,dice,cldice,betti0_err,betti1_err
A_dice_s0,A_dice,test_071.png,0.0,0.0,0,0.65491,0.94608,12,14
A_dice_s0,A_dice,test_071.png,0.0,0.21,8,0.65491,0.94608,12,14
A_dice_s0,A_dice,test_071.png,0.0,0.52,19,0.65491,0.94608,12,14
A_dice_s0,A_dice,test_071.png,0.0,1.04,37,0.6553,0.94608,12,14
A_dice_s0,A_dice,test_071.png,0.0,2.08,75,0.6553,0.94608,12,14
A_dice_s0,A_dice,test_071.png,0.0,5.21,188,0.6553,0.94608,12,14
A_dice_s0,A_dice,test_071.png,0.0,10.42,375,0.65518,0.94541,12,14
A_dice_s0,A_dice,test_071.png,2.08,0.0,0,0.65439,0.94613,1,14
A_dice_s0,A_dice,test_071.png,2.08,0.21,8,0.65439,0.94613,1,14
A_dice_s0,A_dice,test_071.png,2.08,0.52,19,0.65439,0.94613,1,14
A_dice_s0,A_dice,test_071.png,2.08,1.04,37,0.65478,0.94613,1,14
A_dice_s0,A_dice,test_071.png,2.08,2.08,75,0.65478,0.94613,1,14
A_dice_s0,A_dice,test_071.png,2.08,5.21,188,0.65478,0.94613,1,14
A_dice_s0,A_dice,test_071.png,2.08,10.42,375,0.65466,0.94546,1,14
A_dice_s0,A_dice,test_072.png,0.0,0.0,0,0.4637,0.88101,43,23
A_dice_s0,A_dice,test_072.png,0.0,0.21,8,0.46373,0.88101,43,23
A_dice_s0,A_dice,test_072.png,0.0,0.52,19,0.46373,0.88101,43,23
A_dice_s0,A_dice,test_072.png,0.0,1.04,37,0.46398,0.88101,43,23
A_dice_s0,A_dice,test_072.png,0.0,2.08,75,0.46398,0.88101,43,23
A_dice_s0,A_dice,test_072.png,0.0,5.21,188,0.46509,0.88101,43,23
A_dice_s0,A_dice,test_072.png,0.0,10.42,375,0.46665,0.88074,43,23
A_dice_s0,A_dice,test_072.png,2.08,0.0,0,0.46145,0.88115,13,23
