image,width_multiple,min_size,dice,cldice,betti0_err,betti1_err
test_071.png,0.0,0,0.76706,0.93223,23,29
test_071.png,0.21,8,0.76721,0.93366,4,29
test_071.png,0.52,19,0.76728,0.9338,3,29
test_071.png,1.04,37,0.76739,0.93431,2,29
test_071.png,2.08,75,0.7676,0.93535,0,29
test_071.png,5.21,188,0.7676,0.93535,0,29
test_071.png,10.42,375,0.7676,0.93535,0,29
test_072.png,0.0,0,0.88631,0.93527,58,24
test_072.png,0.21,8,0.88682,0.93959,14,24
test_072.png,0.52,19,0.88734,0.94287,5,24
test_072.png,1.04,37,0.88738,0.94331,3,24
test_072.png,2.08,75,0.88758,0.94425,2,24
test_072.png,5.21,188,0.88889,0.94757,0,23
test_072.png,10.42,375,0.88889,0.94757,0,23
test_073.png,0.0,0,0.9142,0.9728,8,25
test_073.png,0.21,8,0.91433,0.97329,1,25
test_073.png,0.52,19,0.91447,0.97362,1,25
test_073.png,1.04,37,0.91447,0.97362,1,25
test_073.png,2.08,75,0.91447,0.97362,1,25
test_073.png,5.21,188,0.91447,0.97362,1,25
test_073.png,10.42,375,0.91447,0.97362,1,25
test_074.png,0.0,0,0.97166,0.99621,1,4
test_074.png,0.21,8,0.97168,0.99633,0,4
test_074.png,0.52,19,0.97168,0.99633,0,4
test_074.png,1.04,37,0.97168,0.99633,0,4
test_074.png,2.08,75,0.97168,0.99633,0,4
test_074.png,5.21,188,0.97168,0.99633,0,4
test_074.png,10.42,375,0.97168,0.99633,0,4
test_075.png,0.0,0,0.88921,0.98693,10,6
test_075.png,0.21,8,0.8893,0.98786,2,6
test_075.png,0.52,19,0.88934,0.98791,1,6
test_075.png,1.04,37,0.88947,0.98834,0,6
test_075.png,2.08,75,0.88947,0.98834,0,6
test_075.png,5.21,188,0.88947,0.98834,0,6
test_075.png,10.42,375,0.88947,0.98834,0,6
test_076.png,0.0,0,0.92519,0.99622,4,0
test_076.png,0.21,8,0.92521,0.99628,1,0
test_076.png,0.52,19,0.9253,0.99667,0,0
test_076.png,1.04,37,0.9253,0.99667,0,0
test_076.png,2.08,75,0.9253,0.99667,0,0
test_076.png,5.21,188,0.9253,0.99667,0,0
test_076.png,10.42,375,0.9253,0.99667,0,0
test_077.png,0.0,0,0.9049,0.99668,2,4
test_077.png,0.21,8,0.90491,0.99681,0,4
test_077.png,0.52,19,0.90491,0.99681,0,4
test_077.png,1.04,37,0.90491,0.99681,0,4
test_077.png,2.08,75,0.90491,0.99681,0,4
test_077.png,5.21,188,0.90491,0.99681,0,4
test_077.png,10.42,375,0.90491,0.99681,0,4
test_078.png,0.0,0,0.74122,0.93616,13,6
test_078.png,0.21,8,0.7413,0.93665,7,6
test_078.png,0.52,19,0.74136,0.93703,6,6
test_078.png,1.04,37,0.74189,0.93778,2,6
test_078.png,2.08,75,0.74189,0.93778,2,6
test_078.png,5.21,188,0.74297,0.93894,0,6
test_078.png,10.42,375,0.74297,0.93894,0,6
test_079.png,0.0,0,0.92498,0.98811,7,3
test_079.png,0.21,8,0.92506,0.98893,3,3
test_079.png,0.52,19,0.92526,0.991,0,3
test_079.png,1.04,37,0.92526,0.991,0,3
test_079.png,2.08,75,0.92526,0.991,0,3
test_079.png,5.21,188,0.92526,0.991,0,3
test_079.png,10.42,375,0.92526,0.991,0,3
test_080.png,0.0,0,0.84224,0.98228,20,1
test_080.png,0.21,8,0.84247,0.98371,6,1
test_080.png,0.52,19,0.84257,0.98406,5,1
test_080.png,1.04,37,0.84275,0.98419,4,1
test_080.png,2.08,75,0.84327,0.98497,2,1
test_080.png,5.21,188,0.84423,0.98566,1,1
test_080.png,10.42,375,0.84547,0.98693,0,0
test_081.png,0.0,0,0.79523,0.94218,23,9
test_081.png,0.21,8,0.79537,0.94372,4,9
test_081.png,0.52,19,0.79549,0.94411,2,9
test_081.png,1.04,37,0.79563,0.94439,1,9
test_081.png,2.08,75,0.79563,0.94439,1,9
test_081.png,5.21,188,0.79599,0.94497,0,9
test_081.png,10.42,375,0.79599,0.94497,0,9
test_082.png,0.0,0,0.78939,0.94811,30,26
test_082.png,0.21,8,0.78947,0.94865,7,26
test_082.png,0.52,19,0.78937,0.94868,3,26
test_082.png,1.04,37,0.7892,0.94857,2,27
test_082.png,2.08,75,0.78925,0.94846,0,27
test_082.png,5.21,188,0.78925,0.94846,0,27
test_082.png,10.42,375,0.78925,0.94846,0,27
test_083.png,0.0,0,0.88787,0.98544,13,1
test_083.png,0.21,8,0.888,0.9868,2,1
test_083.png,0.52,19,0.88807,0.98713,1,1
test_083.png,1.04,37,0.88817,0.98746,0,1
test_083.png,2.08,75,0.88817,0.98746,0,1
test_083.png,5.21,188,0.88817,0.98746,0,1
test_083.png,10.42,375,0.88817,0.98746,0,1
test_084.png,0.0,0,0.96153,0.99559,4,2
test_084.png,0.21,8,0.96156,0.99587,0,2
test_084.png,0.52,19,0.96156,0.99587,0,2
test_084.png,1.04,37,0.96156,0.99587,0,2
test_084.png,2.08,75,0.96156,0.99587,0,2
test_084.png,5.21,188,0.96156,0.99587,0,2
test_084.png,10.42,375,0.96156,0.99587,0,2
test_085.png,0.0,0,0.87937,0.9915,5,6
test_085.png,0.21,8,0.87943,0.99189,0,6
test_085.png,0.52,19,0.87943,0.99189,0,6
test_085.png,1.04,37,0.87943,0.99189,0,6
test_085.png,2.08,75,0.87943,0.99189,0,6
test_085.png,5.21,188,0.87943,0.99189,0,6
test_085.png,10.42,375,0.87943,0.99189,0,6
test_086.png,0.0,0,0.87685,0.97926,9,6
test_086.png,0.21,8,0.87692,0.9796,4,6
test_086.png,0.52,19,0.87703,0.9801,2,6
test_086.png,1.04,37,0.87735,0.98069,0,6
test_086.png,2.08,75,0.87735,0.98069,0,6
test_086.png,5.21,188,0.87735,0.98069,0,6
test_086.png,10.42,375,0.87735,0.98069,0,6
test_087.png,0.0,0,0.80155,0.93589,20,29
test_087.png,0.21,8,0.8017,0.93699,3,29
test_087.png,0.52,19,0.80173,0.93707,2,29
test_087.png,1.04,37,0.80194,0.93801,0,29
test_087.png,2.08,75,0.80194,0.93801,0,29
test_087.png,5.21,188,0.80194,0.93801,0,29
test_087.png,10.42,375,0.80194,0.93801,0,29
test_088.png,0.0,0,0.8887,0.98654,3,2
test_088.png,0.21,8,0.88871,0.98671,2,2
test_088.png,0.52,19,0.88889,0.98853,0,2
