image,width_multiple,min_size,dice,cldice,betti0_err,betti1_err
test_071.png,0.0,0,0.75334,0.94333,5,18
test_071.png,0.21,8,0.75337,0.94357,2,18
test_071.png,0.52,19,0.7535,0.94406,0,18
test_071.png,1.04,37,0.7535,0.94406,0,18
test_071.png,2.08,75,0.7535,0.94406,0,18
test_071.png,5.21,188,0.7535,0.94406,0,18
test_071.png,10.42,375,0.7535,0.94406,0,18
test_072.png,0.0,0,0.87861,0.94929,15,17
test_072.png,0.21,8,0.87872,0.95026,7,17
test_072.png,0.52,19,0.87882,0.95064,5,17
test_072.png,1.04,37,0.87882,0.95064,5,17
test_072.png,2.08,75,0.87968,0.95297,1,17
test_072.png,5.21,188,0.88016,0.9539,0,17
test_072.png,10.42,375,0.88016,0.9539,0,17
test_073.png,0.0,0,0.90849,0.97133,3,27
test_073.png,0.21,8,0.9085,0.9714,0,27
test_073.png,0.52,19,0.90855,0.97154,1,27
test_073.png,1.04,37,0.90855,0.97154,1,27
test_073.png,2.08,75,0.90855,0.97154,1,27
test_073.png,5.21,188,0.90855,0.97154,1,27
test_073.png,10.42,375,0.90855,0.97154,1,27
test_074.png,0.0,0,0.96823,0.99624,0,2
test_074.png,0.21,8,0.96823,0.99624,0,2
test_074.png,0.52,19,0.96823,0.99624,0,2
test_074.png,1.04,37,0.96823,0.99624,0,2
test_074.png,2.08,75,0.96823,0.99624,0,2
test_074.png,5.21,188,0.96823,0.99624,0,2
test_074.png,10.42,375,0.96823,0.99624,0,2
test_075.png,0.0,0,0.88628,0.9872,3,2
test_075.png,0.21,8,0.88629,0.98725,2,2
test_075.png,0.52,19,0.88642,0.98796,0,2
test_075.png,1.04,37,0.88642,0.98796,0,2
test_075.png,2.08,75,0.88642,0.98796,0,2
test_075.png,5.21,188,0.88642,0.98796,0,2
test_075.png,10.42,375,0.88642,0.98796,0,2
test_076.png,0.0,0,0.92234,0.99648,1,0
test_076.png,0.21,8,0.92235,0.9965,0,0
test_076.png,0.52,19,0.92235,0.9965,0,0
test_076.png,1.04,37,0.92235,0.9965,0,0
test_076.png,2.08,75,0.92235,0.9965,0,0
test_076.png,5.21,188,0.92235,0.9965,0,0
test_076.png,10.42,375,0.92235,0.9965,0,0
test_077.png,0.0,0,0.89977,0.99866,0,1
test_077.png,0.21,8,0.89977,0.99866,0,1
test_077.png,0.52,19,0.89977,0.99866,0,1
test_077.png,1.04,37,0.89977,0.99866,0,1
test_077.png,2.08,75,0.89977,0.99866,0,1
test_077.png,5.21,188,0.89977,0.99866,0,1
test_077.png,10.42,375,0.89977,0.99866,0,1
test_078.png,0.0,0,0.72613,0.94805,5,4
test_078.png,0.21,8,0.72615,0.94818,2,4
test_078.png,0.52,19,0.7262,0.94835,1,4
test_078.png,1.04,37,0.72633,0.94897,0,4
test_078.png,2.08,75,0.72633,0.94897,0,4
test_078.png,5.21,188,0.72633,0.94897,0,4
test_078.png,10.42,375,0.72633,0.94897,0,4
test_079.png,0.0,0,0.90169,0.98212,3,343
test_079.png,0.21,8,0.9017,0.9823,2,343
test_079.png,0.52,19,0.9017,0.9823,2,343
test_079.png,1.04,37,0.90183,0.98265,1,343
test_079.png,2.08,75,0.9022,0.98475,0,343
test_079.png,5.21,188,0.9022,0.98475,0,343
test_079.png,10.42,375,0.9022,0.98475,0,343
test_080.png,0.0,0,0.81655,0.98642,7,1
test_080.png,0.21,8,0.81661,0.98677,4,1
test_080.png,0.52,19,0.8167,0.98694,3,1
test_080.png,1.04,37,0.81686,0.98721,2,1
test_080.png,2.08,75,0.8172,0.98765,1,1
