image,width_multiple,min_size,dice,cldice,betti0_err,betti1_err
test_071.png,0.0,0,0.75021,0.93153,25,20
test_071.png,0.21,8,0.75039,0.93311,7,20
test_071.png,0.52,19,0.75062,0.93391,3,20
test_071.png,1.04,37,0.75062,0.93391,3,20
test_071.png,2.08,75,0.75128,0.93577,0,19
test_071.png,5.21,188,0.75128,0.93577,0,19
test_071.png,10.42,375,0.75128,0.93577,0,19
test_072.png,0.0,0,0.87945,0.92675,54,41
test_072.png,0.21,8,0.87988,0.93095,11,41
test_072.png,0.52,19,0.88018,0.9326,5,41
test_072.png,1.04,37,0.88027,0.93306,4,41
test_072.png,2.08,75,0.88104,0.93618,1,40
test_072.png,5.21,188,0.88182,0.9376,0,39
test_072.png,10.42,375,0.88182,0.9376,0,39
test_073.png,0.0,0,0.90615,0.96551,17,43
test_073.png,0.21,8,0.90631,0.96616,1,43
test_073.png,0.52,19,0.9064,0.96649,1,43
test_073.png,1.04,37,0.9064,0.96649,1,43
test_073.png,2.08,75,0.9064,0.96649,1,43
test_073.png,5.21,188,0.9064,0.96649,1,43
test_073.png,10.42,375,0.9064,0.96649,1,43
test_074.png,0.0,0,0.9712,0.99603,2,3
test_074.png,0.21,8,0.97121,0.9961,0,3
test_074.png,0.52,19,0.97121,0.9961,0,3
test_074.png,1.04,37,0.97121,0.9961,0,3
test_074.png,2.08,75,0.97121,0.9961,0,3
test_074.png,5.21,188,0.97121,0.9961,0,3
test_074.png,10.42,375,0.97121,0.9961,0,3
test_075.png,0.0,0,0.88664,0.9824,10,4
test_075.png,0.21,8,0.88671,0.98299,1,4
test_075.png,0.52,19,0.88679,0.98336,0,4
test_075.png,1.04,37,0.88679,0.98336,0,4
test_075.png,2.08,75,0.88679,0.98336,0,4
test_075.png,5.21,188,0.88679,0.98336,0,4
test_075.png,10.42,375,0.88679,0.98336,0,4
test_076.png,0.0,0,0.92723,0.99659,1,4
test_076.png,0.21,8,0.92724,0.99663,0,4
test_076.png,0.52,19,0.92724,0.99663,0,4
test_076.png,1.04,37,0.92724,0.99663,0,4
test_076.png,2.08,75,0.92724,0.99663,0,4
test_076.png,5.21,188,0.92724,0.99663,0,4
test_076.png,10.42,375,0.92724,0.99663,0,4
test_077.png,0.0,0,0.91267,0.998,3,1
test_077.png,0.21,8,0.91269,0.99822,0,1
test_077.png,0.52,19,0.91269,0.99822,0,1
test_077.png,1.04,37,0.91269,0.99822,0,1
test_077.png,2.08,75,0.91269,0.99822,0,1
test_077.png,5.21,188,0.91269,0.99822,0,1
test_077.png,10.42,375,0.91269,0.99822,0,1
test_078.png,0.0,0,0.71495,0.9363,26,8
test_078.png,0.21,8,0.7151,0.93758,7,8
test_078.png,0.52,19,0.71531,0.93831,3,8
test_078.png,1.04,37,0.71552,0.93941,1,8
test_078.png,2.08,75,0.71575,0.93995,0,8
test_078.png,5.21,188,0.71575,0.93995,0,8
test_078.png,10.42,375,0.71575,0.93995,0,8
test_079.png,0.0,0,0.91817,0.98795,10,1
test_079.png,0.21,8,0.91824,0.9889,4,1
test_079.png,0.52,19,0.91848,0.99144,1,1
test_079.png,1.04,37,0.91868,0.9925,0,1
test_079.png,2.08,75,0.91868,0.9925,0,1
test_079.png,5.21,188,0.91868,0.9925,0,1
test_079.png,10.42,375,0.91868,0.9925,0,1
test_080.png,0.0,0,0.84183,0.98692,15,0
test_080.png,0.21,8,0.84201,0.98775,4,0
test_080.png,0.52,19,0.84207,0.98792,3,0
test_080.png,1.04,37,0.84223,0.9881,2,0
test_080.png,2.08,75,0.84257,0.98849,1,0
test_080.png,5.21,188,0.84356,0.98946,0,0
test_080.png,10.42,375,0.84356,0.98946,0,0
test_081.png,0.0,0,0.77985,0.94396,25,15
test_081.png,0.21,8,0.78007,0.94565,2,15
test_081.png,0.52,19,0.78018,0.94622,0,15
test_081.png,1.04,37,0.78018,0.94622,0,15
test_081.png,2.08,75,0.78018,0.94622,0,15
test_081.png,5.21,188,0.78018,0.94622,0,15
test_081.png,10.42,375,0.78018,0.94622,0,15
test_082.png,0.0,0,0.76363,0.93298,38,46
test_082.png,0.21,8,0.76385,0.93414,3,46
test_082.png,0.52,19,0.76387,0.93408,0,46
test_082.png,1.04,37,0.76387,0.93408,0,46
test_082.png,2.08,75,0.76387,0.93408,0,46
test_082.png,5.21,188,0.76387,0.93408,0,46
test_082.png,10.42,375,0.76387,0.93408,0,46
test_083.png,0.0,0,0.91643,0.99175,8,6
test_083.png,0.21,8,0.9164,0.99174,4,6
test_083.png,0.52,19,0.91642,0.99229,2,6
test_083.png,1.04,37,0.91652,0.99285,1,6
test_083.png,2.08,75,0.91685,0.99379,0,6
test_083.png,5.21,188,0.91685,0.99379,0,6
test_083.png,10.42,375,0.91685,0.99379,0,6
test_084.png,0.0,0,0.96102,0.99687,1,0
test_084.png,0.21,8,0.96102,0.99687,1,0
test_084.png,0.52,19,0.96102,0.99687,1,0
test_084.png,1.04,37,0.96113,0.99783,0,0
test_084.png,2.08,75,0.96113,0.99783,0,0
test_084.png,5.21,188,0.96113,0.99783,0,0
test_084.png,10.42,375,0.96113,0.99783,0,0
test_085.png,0.0,0,0.89088,0.9925,5,4
test_085.png,0.21,8,0.89098,0.99305,1,4
test_085.png,0.52,19,0.89103,0.99349,0,4
test_085.png,1.04,37,0.89103,0.99349,0,4
test_085.png,2.08,75,0.89103,0.99349,0,4
test_085.png,5.21,188,0.89103,0.99349,0,4
test_085.png,10.42,375,0.89103,0.99349,0,4
test_086.png,0.0,0,0.88696,0.97473,5,8
test_086.png,0.21,8,0.88698,0.97487,2,8
test_086.png,0.52,19,0.88715,0.97527,0,8
test_086.png,1.04,37,0.88715,0.97527,0,8
test_086.png,2.08,75,0.88715,0.97527,0,8
test_086.png,5.21,188,0.88715,0.97527,0,8
test_086.png,10.42,375,0.88715,0.97527,0,8
test_087.png,0.0,0,0.77445,0.91251,30,45
test_087.png,0.21,8,0.77468,0.9143,1,45
test_087.png,0.52,19,0.77472,0.91451,0,45
test_087.png,1.04,37,0.77472,0.91451,0,45
test_087.png,2.08,75,0.77472,0.91451,0,45
test_087.png,5.21,188,0.77472,0.91451,0,45
test_087.png,10.42,375,0.77472,0.91451,0,45
test_088.png,0.0,0,0.88077,0.99008,5,1
test_088.png,0.21,8,0.88085,0.99095,1,1
test_088.png,0.52,19,0.88091,0.99175,0,1
test_088.png,1.04,37,0.88091,0.99175,0,1
test_088.png,2.08,75,0.88091,0.99175,0,1
test_088.png,5.21,188,0.88091,0.99175,0,1
test_088.png,10.42,375,0.88091,0.99175,0,1
test_089.png,0.0,0,0.80397,0.98362,4,9
test_089.png,0.21,8,0.80403,0.98403,1,9
test_089.png,0.52,19,0.80403,0.98403,1,9
test_089.png,1.04,37,0.80417,0.98561,0,9
test_089.png,2.08,75,0.80417,0.98561,0,9
test_089.png,5.21,188,0.80417,0.98561,0,9
test_089.png,10.42,375,0.80252,0.9791,1,8
test_090.png,0.0,0,0.78031,0.93264,33,7
test_090.png,0.21,8,0.78055,0.93481,2,7
test_090.png,0.52,19,0.78059,0.93475,0,7
test_090.png,1.04,37,0.78059,0.93475,0,7
test_090.png,2.08,75,0.78059,0.93475,0,7
test_090.png,5.21,188,0.78059,0.93475,0,7
test_090.png,10.42,375,0.78059,0.93475,0,7
test_091.png,0.0,0,0.82239,0.92772,21,38
test_091.png,0.21,8,0.82251,0.92896,5,38
test_091.png,0.52,19,0.82269,0.92997,1,38
test_091.png,1.04,37,0.82277,0.93025,0,38
test_091.png,2.08,75,0.82277,0.93025,0,38
test_091.png,5.21,188,0.82277,0.93025,0,38
test_091.png,10.42,375,0.82277,0.93025,0,38
test_092.png,0.0,0,0.92717,0.99613,1,0
test_092.png,0.21,8,0.92718,0.9963,0,0
test_092.png,0.52,19,0.92718,0.9963,0,0
test_092.png,1.04,37,0.92718,0.9963,0,0
