run,config,image,component_multiple,hole_multiple,hole_area,dice,cldice,betti0_err,betti1_err
A_dice_s0,A_dice,test_071.png,0.0,0.0,0,0.76706,0.93223,23,29
A_dice_s0,A_dice,test_071.png,0.0,0.21,8,0.76682,0.9382,23,8
A_dice_s0,A_dice,test_071.png,0.0,0.52,19,0.76655,0.94041,23,5
A_dice_s0,A_dice,test_071.png,0.0,1.04,37,0.76637,0.94038,23,4
A_dice_s0,A_dice,test_071.png,0.0,2.08,75,0.76607,0.94036,23,3
A_dice_s0,A_dice,test_071.png,0.0,5.21,188,0.76485,0.94036,23,3
A_dice_s0,A_dice,test_071.png,0.0,10.42,375,0.76054,0.93603,23,3
A_dice_s0,A_dice,test_071.png,2.08,0.0,0,0.7676,0.93535,0,29
A_dice_s0,A_dice,test_071.png,2.08,0.21,8,0.76736,0.94141,0,8
A_dice_s0,A_dice,test_071.png,2.08,0.52,19,0.76709,0.94363,0,5
A_dice_s0,A_dice,test_071.png,2.08,1.04,37,0.76691,0.94361,0,4
A_dice_s0,A_dice,test_071.png,2.08,2.08,75,0.7666,0.9436,0,3
A_dice_s0,A_dice,test_071.png,2.08,5.21,188,0.76539,0.94361,0,3
A_dice_s0,A_dice,test_071.png,2.08,10.42,375,0.76107,0.93928,0,3
A_dice_s0,A_dice,test_072.png,0.0,0.0,0,0.88631,0.93527,58,24
A_dice_s0,A_dice,test_072.png,0.0,0.21,8,0.88632,0.93819,58,4
A_dice_s0,A_dice,test_072.png,0.0,0.52,19,0.88646,0.93926,58,2
A_dice_s0,A_dice,test_072.png,0.0,1.04,37,0.88645,0.94112,58,4
A_dice_s0,A_dice,test_072.png,0.0,2.08,75,0.88645,0.94112,58,4
A_dice_s0,A_dice,test_072.png,0.0,5.21,188,0.88508,0.94036,54,4
A_dice_s0,A_dice,test_072.png,0.0,10.42,375,0.88269,0.93971,54,4
A_dice_s0,A_dice,test_072.png,2.08,0.0,0,0.88758,0.94425,2,24
A_dice_s0,A_dice,test_072.png,2.08,0.21,8,0.88759,0.94731,2,4
A_dice_s0,A_dice,test_072.png,2.08,0.52,19,0.88773,0.9485,2,2
A_dice_s0,A_dice,test_072.png,2.08,1.04,37,0.88772,0.95041,2,4
A_dice_s0,A_dice,test_072.png,2.08,2.08,75,0.88772,0.95041,2,4
A_dice_s0,A_dice,test_072.png,2.08,5.21,188,0.88625,0.94913,2,4
A_dice_s0,A_dice,test_072.png,2.08,10.42,375,0.88386,0.94853,2,4
A_dice_s0,A_dice,test_073.png,0.0,0.0,0,0.9142,0.9728,8,25
A_dice_s0,A_dice,test_073.png,0.0,0.21,8,0.91418,0.97343,8,19
A_dice_s0,A_dice,test_073.png,0.0,0.52,19,0.9142,0.97343,8,19
A_dice_s0,A_dice,test_073.png,0.0,1.04,37,0.91389,0.97365,8,18
A_dice_s0,A_dice,test_073.png,0.0,2.08,75,0.91251,0.97214,8,14
A_dice_s0,A_dice,test_073.png,0.0,5.21,188,0.90442,0.96813,8,10
A_dice_s0,A_dice,test_073.png,0.0,10.42,375,0.8173,0.90727,3,35
A_dice_s0,A_dice,test_073.png,2.08,0.0,0,0.91447,0.97362,1,25
A_dice_s0,A_dice,test_073.png,2.08,0.21,8,0.91445,0.97426,1,19
A_dice_s0,A_dice,test_073.png,2.08,0.52,19,0.91447,0.97426,1,19
A_dice_s0,A_dice,test_073.png,2.08,1.04,37,0.91416,0.97448,1,18
A_dice_s0,A_dice,test_073.png,2.08,2.08,75,0.91278,0.97298,1,14
A_dice_s0,A_dice,test_073.png,2.08,5.21,188,0.90468,0.96898,1,10
A_dice_s0,A_dice,test_073.png,2.08,10.42,375,0.81872,0.90701,1,35
A_dice_s0,A_dice,test_074.png,0.0,0.0,0,0.97166,0.99621,1,4
A_dice_s0,A_dice,test_074.png,0.0,0.21,8,0.97164,0.99621,1,3
A_dice_s0,A_dice,test_074.png,0.0,0.52,19,0.97164,0.99621,1,3
A_dice_s0,A_dice,test_074.png,0.0,1.04,37,0.97149,0.99621,1,3
A_dice_s0,A_dice,test_074.png,0.0,2.08,75,0.97022,0.99621,1,3
A_dice_s0,A_dice,test_074.png,0.0,5.21,188,0.96589,0.99438,1,2
A_dice_s0,A_dice,test_074.png,0.0,10.42,375,0.95392,0.98771,1,1
A_dice_s0,A_dice,test_074.png,2.08,0.0,0,0.97168,0.99633,0,4
A_dice_s0,A_dice,test_074.png,2.08,0.21,8,0.97166,0.99632,0,3
A_dice_s0,A_dice,test_074.png,2.08,0.52,19,0.97166,0.99632,0,3
A_dice_s0,A_dice,test_074.png,2.08,1.04,37,0.97151,0.99632,0,3
A_dice_s0,A_dice,test_074.png,2.08,2.08,75,0.97024,0.99632,0,3
A_dice_s0,A_dice,test_074.png,2.08,5.21,188,0.96591,0.99449,0,2
A_dice_s0,A_dice,test_074.png,2.08,10.42,375,0.95394,0.98782,0,1
A_dice_s0,A_dice,test_075.png,0.0,0.0,0,0.88921,0.98693,10,6
A_dice_s0,A_dice,test_075.png,0.0,0.21,8,0.88917,0.98758,10,2
A_dice_s0,A_dice,test_075.png,0.0,0.52,19,0.88909,0.98806,10,1
A_dice_s0,A_dice,test_075.png,0.0,1.04,37,0.88892,0.98806,10,1
A_dice_s0,A_dice,test_075.png,0.0,2.08,75,0.88841,0.98858,9,1
A_dice_s0,A_dice,test_075.png,0.0,5.21,188,0.88742,0.98724,9,1
A_dice_s0,A_dice,test_075.png,0.0,10.42,375,0.88547,0.98639,9,1
A_dice_s0,A_dice,test_075.png,2.08,0.0,0,0.88947,0.98834,0,6
A_dice_s0,A_dice,test_075.png,2.08,0.21,8,0.88944,0.98899,0,2
A_dice_s0,A_dice,test_075.png,2.08,0.52,19,0.88936,0.98948,0,1
