kind,pair,trained_on,image,band,n_px,contested_frac,auroc_single,mean_single_contested,mean_single_agreed,auroc_ens_mean,mean_ens_mean_contested,mean_ens_mean_agreed,auroc_disagree,mean_disagree_contested,mean_disagree_agreed
seed,ah_f0,ah,im0162,Q1_dimmest,8081,0.89147,0.18698,0.02742,0.14117,0.16346,0.04622,0.25275,0.17257,0.03497,0.18055
seed,ah_f0,ah,im0162,Q2,11449,0.68836,0.27752,0.07502,0.16934,0.25798,0.12174,0.29325,0.26949,0.08491,0.20992
seed,ah_f0,ah,im0162,Q3,12944,0.33915,0.49631,0.16875,0.15845,0.53354,0.2526,0.21831,0.53325,0.16146,0.14032
seed,ah_f0,ah,im0162,Q4_clearest,17112,0.05932,0.84158,0.24787,0.04977,0.86873,0.35185,0.06605,0.84309,0.20056,0.04039
seed,ah_f0,ah,im0163,Q1_dimmest,5186,0.85885,0.21942,0.0585,0.20526,0.20962,0.07905,0.2863,0.22799,0.05336,0.17329
seed,ah_f0,ah,im0163,Q2,9046,0.74652,0.3678,0.12383,0.2015,0.36347,0.18522,0.2948,0.37177,0.12112,0.19316
seed,ah_f0,ah,im0163,Q3,12344,0.42158,0.64215,0.25233,0.15296,0.66694,0.31521,0.18534,0.64013,0.16987,0.10909
seed,ah_f0,ah,im0163,Q4_clearest,23265,0.06082,0.90087,0.2364,0.02829,0.91232,0.28471,0.03181,0.87828,0.13093,0.01663
seed,ah_f0,ah,im0235,Q1_dimmest,13323,0.81506,0.21477,0.04545,0.16008,0.18268,0.06332,0.26016,0.19096,0.04452,0.17309
seed,ah_f0,ah,im0235,Q2,13930,0.58227,0.3405,0.09347,0.16266,0.33706,0.13266,0.2347,0.34828,0.08418,0.14602
seed,ah_f0,ah,im0235,Q3,14288,0.29171,0.58104,0.17446,0.13105,0.58658,0.22659,0.17233,0.58385,0.12702,0.09573
seed,ah_f0,ah,im0235,Q4_clearest,19285,0.05476,0.88685,0.26549,0.03929,0.89557,0.32354,0.04966,0.86838,0.15684,0.02794
seed,ah_f0,ah,im0236,Q1_dimmest,12278,0.78319,0.26064,0.0555,0.16638,0.24382,0.08315,0.24644,0.25584,0.05983,0.16137
seed,ah_f0,ah,im0236,Q2,12694,0.53387,0.37791,0.11667,0.1735,0.36534,0.15841,0.24762,0.3712,0.09538,0.15149
seed,ah_f0,ah,im0236,Q3,15124,0.23969,0.61907,0.18675,0.1151,0.63204,0.24092,0.14836,0.62736,0.13207,0.08284
seed,ah_f0,ah,im0236,Q4_clearest,17583,0.04311,0.84984,0.22948,0.04494,0.88054,0.31409,0.06162,0.85354,0.17321,0.03957
seed,ah_f0,ah,im0239,Q1_dimmest,10232,0.75352,0.38795,0.03659,0.09438,0.32487,0.04629,0.1805,0.32506,0.0338,0.14006
seed,ah_f0,ah,im0239,Q2,13453,0.5482,0.32491,0.06271,0.1421,0.26517,0.08602,0.26578,0.27011,0.06005,0.20216
seed,ah_f0,ah,im0239,Q3,17219,0.24299,0.48144,0.1428,0.12811,0.45606,0.19246,0.21262,0.45807,0.11974,0.1504
seed,ah_f0,ah,im0239,Q4_clearest,13841,0.04183,0.79515,0.21817,0.05523,0.79089,0.28285,0.0886,0.76864,0.16567,0.06297
seed,ah_f0,ah,im0240,Q1_dimmest,25455,0.65842,0.32292,0.03253,0.09535,0.28214,0.0523,0.20717,0.28108,0.03955,0.17193
seed,ah_f0,ah,im0240,Q2,20238,0.37084,0.32181,0.07683,0.14256,0.29722,0.11846,0.25681,0.30089,0.07844,0.18887
seed,ah_f0,ah,im0240,Q3,13823,0.11777,0.65011,0.20104,0.10291,0.65185,0.25487,0.14678,0.63634,0.13534,0.09052
seed,ah_f0,ah,im0240,Q4_clearest,7375,0.00841,0.86958,0.19566,0.02476,0.87542,0.18356,0.02595,0.84459,0.07848,0.01314
seed,ah_f0,ah,im0255,Q1_dimmest,12113,0.83035,0.24857,0.03412,0.11994,0.23493,0.05023,0.19609,0.24333,0.0348,0.13486
seed,ah_f0,ah,im0255,Q2,14210,0.55876,0.29698,0.08148,0.1713,0.29747,0.13555,0.27098,0.3113,0.09198,0.18024
seed,ah_f0,ah,im0255,Q3,14708,0.20118,0.5416,0.18549,0.14355,0.56544,0.25216,0.1991,0.57023,0.15386,0.12174
seed,ah_f0,ah,im0255,Q4_clearest,16385,0.02673,0.8935,0.27115,0.04556,0.9122,0.37157,0.05291,0.88213,0.20613,0.03118
seed,ah_f0,ah,im0291,Q1_dimmest,10378,0.64733,0.30575,0.05302,0.11508,0.28257,0.08607,0.21331,0.28889,0.0609,0.16261
seed,ah_f0,ah,im0291,Q2,8228,0.29375,0.42482,0.12592,0.1349,0.4231,0.19007,0.22557,0.42264,0.1234,0.16145
seed,ah_f0,ah,im0291,Q3,6036,0.08764,0.68697,0.2225,0.10055,0.6799,0.27792,0.14632,0.65189,0.13792,0.09557
seed,ah_f0,ah,im0291,Q4_clearest,3979,0.00251,0.93747,0.31841,0.02494,0.92683,0.28517,0.04809,0.90645,0.08235,0.03693
seed,ah_f0,ah,im0319,Q1_dimmest,10024,0.72676,0.33539,0.07296,0.13025,0.32217,0.12093,0.23738,0.32372,0.0905,0.1879
seed,ah_f0,ah,im0319,Q2,9867,0.40022,0.48439,0.15296,0.13911,0.47619,0.22737,0.23372,0.47062,0.1531,0.17396
seed,ah_f0,ah,im0319,Q3,6553,0.14894,0.76629,0.23646,0.07357,0.77465,0.3152,0.11232,0.75339,0.19363,0.07963
seed,ah_f0,ah,im0319,Q4_clearest,2090,0.01531,0.89012,0.09493,0.01334,0.89758,0.0828,0.01214,0.85904,0.03864,0.00766
seed,ah_f0,ah,im0324,Q1_dimmest,16445,0.70721,0.36372,0.04639,0.08933,0.36068,0.07827,0.15951,0.36347,0.06231,0.12747
seed,ah_f0,ah,im0324,Q2,14329,0.46563,0.40632,0.09342,0.10995,0.39555,0.15125,0.20662,0.40099,0.11418,0.16468
seed,ah_f0,ah,im0324,Q3,10272,0.21739,0.59054,0.15991,0.094,0.59029,0.24207,0.16556,0.58632,0.16465,0.12257
seed,ah_f0,ah,im0324,Q4_clearest,4535,0.03462,0.78951,0.17001,0.03544,0.8112,0.22974,0.06106,0.81009,0.13028,0.04373
seed,vk_f0,vk,im0162,Q1_dimmest,8081,0.89147,0.47107,0.21057,0.1923,0.44943,0.27506,0.2843,0.45268,0.16613,0.17877
seed,vk_f0,vk,im0162,Q2,11449,0.68836,0.69885,0.23073,0.10452,0.69964,0.31687,0.15057,0.66972,0.18788,0.09612
seed,vk_f0,vk,im0162,Q3,12944,0.33915,0.7729,0.13591,0.03384,0.7892,0.20726,0.056,0.75514,0.12817,0.03752
seed,vk_f0,vk,im0162,Q4_clearest,17112,0.05932,0.83643,0.06395,0.00878,0.84541,0.10605,0.02624,0.81275,0.06753,0.0219
seed,vk_f0,vk,im0163,Q1_dimmest,5186,0.85885,0.66596,0.26467,0.15554,0.64747,0.33652,0.21282,0.64141,0.20407,0.12858
seed,vk_f0,vk,im0163,Q2,9046,0.74652,0.73466,0.23728,0.09297,0.74501,0.3305,0.13481,0.71743,0.19349,0.08099
seed,vk_f0,vk,im0163,Q3,12344,0.42158,0.77779,0.13187,0.02789,0.78589,0.18829,0.04727,0.75753,0.10735,0.02937
seed,vk_f0,vk,im0163,Q4_clearest,23265,0.06082,0.87186,0.07983,0.00871,0.87816,0.11647,0.01627,0.84435,0.06833,0.01118
seed,vk_f0,vk,im0235,Q1_dimmest,13323,0.81506,0.49645,0.21454,0.20428,0.45071,0.27806,0.30968,0.45917,0.18205,0.20126
seed,vk_f0,vk,im0235,Q2,13930,0.58227,0.71443,0.25097,0.11506,0.69737,0.34833,0.18068,0.68461,0.21836,0.1152
seed,vk_f0,vk,im0235,Q3,14288,0.29171,0.80909,0.19959,0.04661,0.8098,0.30197,0.08391,0.78149,0.18581,0.05569
seed,vk_f0,vk,im0235,Q4_clearest,19285,0.05476,0.86541,0.0763,0.01131,0.86831,0.12358,0.02561,0.82968,0.07541,0.01932
seed,vk_f0,vk,im0236,Q1_dimmest,12278,0.78319,0.47935,0.22303,0.21486,0.42252,0.29357,0.3581,0.43151,0.19809,0.25835
