run,config,image,erl,skel_px,erl_Q1_dimmest,share_Q1_dimmest,erl_Q2,share_Q2,erl_Q3,share_Q3,erl_Q4_clearest,share_Q4_clearest
A_dice_s0,A_dice,01,2121.719,9312,1.727,0.2364,3.96,0.831,7.26,0.9812,109.101,0.9831
A_dice_s0,A_dice,02,2565.435,9289,1.654,0.1666,3.523,0.7604,10.054,0.9937,98.583,0.923
A_dice_s0,A_dice,03,886.83,9221,2.042,0.1113,5.22,0.898,8.523,0.9809,39.307,1.0
A_dice_s0,A_dice,04,2502.803,8926,2.674,0.0815,3.688,0.851,7.654,0.9898,376.653,1.0
A_dice_s0,A_dice,05,892.303,9586,1.184,0.0684,3.633,0.8386,7.67,0.9945,47.557,0.9996
A_dice_s0,A_dice,06,914.313,9989,2.097,0.0648,2.9,0.767,7.291,0.9958,35.665,1.0
A_dice_s0,A_dice,07,2508.112,8968,1.187,0.0654,3.621,0.7832,6.85,0.9855,80.779,0.8286
A_dice_s0,A_dice,08,473.769,8585,1.549,0.0686,3.945,0.8483,8.807,0.9927,38.187,0.9928
A_dice_s0,A_dice,09,1034.345,8726,2.364,0.143,4.036,0.8422,9.115,0.9911,62.437,0.9877
A_dice_s0,A_dice,10,2101.649,9137,2.088,0.149,4.309,0.8623,8.341,0.9884,95.0,0.9847
A_dice_s0,A_dice,11,3223.748,10456,0.999,0.0968,2.741,0.7487,5.767,0.9691,334.331,0.9813
A_dice_s0,A_dice,12,1415.735,8712,2.326,0.1791,3.593,0.8155,5.722,0.9775,42.87,0.9841
A_dice_s0,A_dice,13,1253.883,10186,1.709,0.1622,4.029,0.8227,6.612,0.9745,105.965,1.0
A_dice_s0,A_dice,14,3436.009,8358,1.778,0.2398,3.518,0.7813,6.357,0.99,68.134,1.0
A_dice_s0,A_dice,15,2720.102,7651,2.029,0.2166,4.115,0.8737,6.098,0.9809,270.655,0.9999
A_dice_s0,A_dice,16,3811.745,8812,2.065,0.2733,4.57,0.8739,7.76,0.9943,229.871,1.0
A_dice_s0,A_dice,17,1704.032,7984,2.616,0.1662,4.597,0.8269,5.847,0.9929,27.799,0.998
A_dice_s0,A_dice,18,1711.667,7659,2.819,0.2723,3.66,0.8517,7.474,0.9937,67.055,0.9621
A_dice_s0,A_dice,19,4609.929,8476,3.692,0.3478,3.955,0.8988,7.946,0.9898,33.918,1.0
A_dice_s0,A_dice,20,1125.642,7373,3.157,0.3146,4.246,0.8929,8.618,0.9928,45.781,0.9998
