run,config,image,erl,skel_px,erl_Q1_dimmest,share_Q1_dimmest,erl_Q2,share_Q2,erl_Q3,share_Q3,erl_Q4_clearest,share_Q4_clearest
A_dice_s0,A_dice,01,4136.323,9312,1.81,0.2478,4.183,0.8777,7.199,0.9729,110.978,1.0
A_dice_s0,A_dice,02,4852.987,9289,2.362,0.238,3.906,0.843,10.088,0.9972,106.805,1.0
A_dice_s0,A_dice,03,1054.541,9221,2.278,0.1242,5.307,0.913,8.544,0.9834,39.305,0.9999
A_dice_s0,A_dice,04,2883.488,8926,2.673,0.0815,3.749,0.865,7.685,0.9938,376.645,0.9999
A_dice_s0,A_dice,05,2813.088,9586,1.255,0.0724,3.923,0.9055,7.679,0.9957,47.572,0.9999
A_dice_s0,A_dice,06,1362.522,9989,2.603,0.0805,3.001,0.7936,7.308,0.9982,35.665,1.0
A_dice_s0,A_dice,07,2771.359,8968,1.399,0.077,3.841,0.8308,6.866,0.9878,97.164,0.9967
A_dice_s0,A_dice,08,687.732,8585,1.776,0.0787,4.058,0.8726,8.796,0.9916,38.44,0.9994
A_dice_s0,A_dice,09,1121.734,8726,2.658,0.1607,4.36,0.91,9.11,0.9905,62.833,0.994
A_dice_s0,A_dice,10,2774.784,9137,2.325,0.166,4.431,0.8869,8.412,0.9969,96.476,1.0
A_dice_s0,A_dice,11,3357.584,10456,1.06,0.1028,2.927,0.7996,5.769,0.9694,340.087,0.9982
A_dice_s0,A_dice,12,1459.04,8712,2.774,0.2137,3.772,0.8561,5.767,0.9852,43.521,0.9991
A_dice_s0,A_dice,13,1977.011,10186,1.797,0.1705,4.067,0.8305,6.631,0.9773,105.965,1.0
A_dice_s0,A_dice,14,4180.492,8358,1.762,0.2376,3.904,0.867,6.392,0.9955,68.134,1.0
A_dice_s0,A_dice,15,3567.293,7651,2.705,0.2888,4.235,0.8992,6.213,0.9994,270.675,1.0
A_dice_s0,A_dice,16,4344.119,8812,2.145,0.284,4.781,0.9141,7.781,0.9971,229.871,1.0
A_dice_s0,A_dice,17,2387.113,7984,2.923,0.1857,5.0,0.8995,5.843,0.9924,27.808,0.9983
A_dice_s0,A_dice,18,3650.31,7659,3.148,0.3041,3.761,0.8754,7.469,0.9931,69.69,0.9999
A_dice_s0,A_dice,19,4980.219,8476,4.234,0.3989,4.157,0.9446,7.998,0.9963,33.918,1.0
A_dice_s0,A_dice,20,1086.513,7373,3.113,0.3103,4.433,0.9321,8.605,0.9914,45.792,1.0
A_dice_s1,A_dice,01,4315.004,9312,2.07,0.2833,4.279,0.8979,7.236,0.9781,108.805,0.9804
A_dice_s1,A_dice,02,4864.221,9289,2.166,0.2182,4.008,0.8649,10.089,0.9972,106.805,1.0
A_dice_s1,A_dice,03,1229.317,9221,2.198,0.1198,5.253,0.9036,8.57,0.9863,39.308,1.0
A_dice_s1,A_dice,04,3009.445,8926,3.065,0.0935,3.864,0.8916,7.66,0.9905,376.671,1.0
A_dice_s1,A_dice,05,3036.275,9586,1.37,0.0791,3.906,0.9016,7.689,0.9969,47.572,0.9999
A_dice_s1,A_dice,06,2888.1,9989,2.55,0.0789,3.127,0.827,7.304,0.9977,35.665,1.0
A_dice_s1,A_dice,07,3011.788,8968,1.566,0.0863,3.883,0.8398,6.895,0.9919,97.147,0.9965
A_dice_s1,A_dice,08,850.705,8585,2.078,0.0921,4.169,0.8965,8.803,0.9923,38.443,0.9995
A_dice_s1,A_dice,09,1456.357,8726,3.006,0.1818,4.375,0.913,9.196,0.9999,63.094,0.9981
A_dice_s1,A_dice,10,2740.077,9137,2.169,0.1549,4.455,0.8917,8.418,0.9975,96.476,1.0
A_dice_s1,A_dice,11,3620.607,10456,1.566,0.1517,2.987,0.816,5.82,0.9779,340.694,1.0
A_dice_s1,A_dice,12,1948.307,8712,2.888,0.2225,3.867,0.8777,5.8,0.9909,43.562,1.0
A_dice_s1,A_dice,13,1787.045,10186,1.817,0.1724,4.174,0.8524,6.704,0.988,105.965,1.0
A_dice_s1,A_dice,14,3968.014,8358,1.739,0.2346,3.849,0.8549,6.38,0.9936,68.134,1.0
A_dice_s1,A_dice,15,3900.146,7651,2.432,0.2597,4.313,0.9157,6.213,0.9993,270.675,1.0
A_dice_s1,A_dice,16,2412.165,8812,2.402,0.318,4.805,0.9189,7.782,0.9971,225.446,0.9807
A_dice_s1,A_dice,17,1170.426,7984,2.799,0.1778,4.984,0.8965,5.815,0.9875,27.816,0.9986
A_dice_s1,A_dice,18,3691.938,7659,4.098,0.3959,3.919,0.912,7.509,0.9984,69.695,1.0
A_dice_s1,A_dice,19,4851.607,8476,4.326,0.4076,4.157,0.9446,8.009,0.9976,33.916,0.9999
A_dice_s1,A_dice,20,1092.899,7373,3.271,0.326,4.453,0.9364,8.632,0.9944,45.792,1.0
