epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,1.1427,0.7749,0.8025,156.0,25.6,7.9238,0.6
20,1.0053,0.7634,0.7853,202.8,20.4,9.1104,1.1
30,0.9468,0.7924,0.8256,106.2,23.0,5.2686,1.7
40,0.9004,0.7872,0.8165,118.2,25.4,6.4591,2.2
50,0.8689,0.7832,0.8047,154.6,22.2,6.709,2.7
60,0.8561,0.7995,0.8248,110.6,27.2,4.9604,3.3
70,0.8354,0.8044,0.8285,102.2,28.8,4.4641,3.8
80,0.8196,0.8019,0.8271,104.2,26.2,4.4383,4.4
90,0.8088,0.8014,0.823,114.4,25.4,4.9021,4.9
100,0.797,0.7973,0.8181,123.0,25.6,5.6735,5.5
