epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4305,0.8201,0.8296,75.4,32.8,3.7683,0.8
20,0.4058,0.8209,0.8264,85.6,31.0,3.5646,1.5
30,0.3952,0.8203,0.8287,87.6,29.8,3.1367,2.2
40,0.3827,0.8158,0.8171,79.2,33.4,4.0017,3.0
50,0.3699,0.8186,0.8206,84.0,31.0,3.5417,3.7
60,0.3654,0.8166,0.8174,75.6,29.2,3.9119,4.4
70,0.3545,0.8169,0.8177,85.8,29.8,3.5417,5.1
80,0.3518,0.812,0.8126,87.2,30.0,3.8894,5.9
90,0.3462,0.8099,0.8122,96.2,32.0,3.7141,6.6
100,0.341,0.8121,0.8106,102.6,32.0,3.6008,7.3
