epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4123,0.8253,0.8368,57.6,29.4,3.6849,0.7
20,0.3717,0.8191,0.8253,87.2,30.8,3.2284,1.5
30,0.3331,0.8169,0.8182,93.4,30.8,3.6254,2.2
40,0.3119,0.8114,0.8101,82.0,33.6,3.3277,2.9
50,0.2888,0.8108,0.8097,111.0,27.4,3.3903,3.6
60,0.2765,0.8055,0.8057,109.4,33.2,3.5219,4.3
70,0.2627,0.8085,0.8086,108.0,33.8,3.4008,5.0
80,0.2572,0.8078,0.8035,105.4,33.4,3.8939,5.7
90,0.2487,0.8079,0.8064,110.6,28.6,3.4066,6.4
100,0.2412,0.8078,0.8049,111.2,34.0,3.2345,7.1
