epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4205,0.8244,0.8309,48.2,28.6,4.5733,1.3
20,0.3701,0.8248,0.8308,68.2,30.8,3.28,2.6
30,0.3226,0.8187,0.8227,75.4,29.8,3.3314,3.9
40,0.2804,0.8125,0.8111,103.8,26.4,3.2797,5.2
50,0.2412,0.8091,0.8093,109.8,33.8,3.3665,6.6
60,0.2113,0.8059,0.804,121.0,29.4,3.4008,7.9
70,0.1954,0.8042,0.8021,120.6,32.4,3.7322,9.2
80,0.1818,0.7995,0.7985,106.8,34.0,3.8325,10.5
90,0.1707,0.8072,0.8046,124.6,33.4,3.6698,11.8
100,0.1613,0.8095,0.8077,114.4,29.4,3.386,13.1
