epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.416,0.8182,0.8369,66.4,35.0,3.767,1.0
20,0.3968,0.8195,0.8302,64.2,32.0,4.0636,1.9
30,0.3734,0.8193,0.8342,66.2,32.8,3.6105,2.8
40,0.3641,0.8209,0.8301,64.4,34.6,3.5139,3.8
50,0.358,0.8197,0.8254,65.0,28.6,3.5417,4.8
60,0.348,0.8181,0.8259,65.0,31.8,3.7193,5.7
70,0.345,0.8149,0.8184,69.8,32.0,3.5981,6.7
80,0.3355,0.8153,0.8195,76.8,30.4,3.6008,7.6
90,0.3291,0.8177,0.8208,79.2,28.6,3.6329,8.6
100,0.3285,0.8147,0.8135,80.2,33.2,3.6876,9.7
